TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.356647,0.828939,-2.503481,0.1972598,-0.004478269,0.9797003,0.03543874,355.9168,157.2211,0.2990742,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.356535,0.8293179,-2.503821,0.1973933,-0.004264377,0.9796717,0.03551263,355.9134,157.2045,0.3253826,1.939177,0.781041,-2.225127,0.1094346,-0.1374426,0.6914513,0.7007344,272.391,278.2816,241.6068,1.85018,0.7821456,-2.274575,0.1436404,-0.1497295,0.6829521,0.7003749,271.4954,328.7623,187.2904
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.352253,0.8275638,-2.505854,0.1969386,-0.006135596,0.9797819,0.0347153,355.9605,157.2664,0.09480058,1.93966,0.781276,-2.225072,0.1094261,-0.1375381,0.6914557,0.7007127,272.3983,278.1667,241.7146,1.850127,0.7823757,-2.274524,0.1438178,-0.1495705,0.6828374,0.7004844,271.5036,329.9701,186.0811
0.0507642,1,0,-1.64,0,0,1,0,0,180,0,1.561195,0.8506224,-2.455396,-0.01912267,-0.1278802,0.9853252,0.1114242,347.6028,183.8855,344.7883,1.354148,0.8279237,-2.504493,0.1965139,-0.006403871,0.9798788,0.03433436,355.9973,157.3177,0.05423792,1.939488,0.7812005,-2.225058,0.1094778,-0.1375915,0.69145,0.7006997,272.3983,278.1481,241.7246,1.850205,0.7822928,-2.274572,0.1438596,-0.1495806,0.6828753,0.7004366,271.4966,329.9794,186.0676
0.0768689,1,0,-1.64,0,0,1,0,0,180,0,1.562027,0.8510522,-2.454954,-0.01911493,-0.1279485,0.9853112,0.1114702,347.5977,183.8862,344.78,1.354889,0.8283379,-2.50427,0.196235,-0.006857277,0.9799469,0.03389453,356.0365,157.3528,359.9921,1.940079,0.7817534,-2.224829,0.1098203,-0.1375696,0.6914336,0.7006666,272.3698,278.327,241.5193,1.850108,0.7822898,-2.27465,0.1439287,-0.149538,0.6828448,0.7004612,271.498,330.3603,185.6844
0.092672,1,0,-1.64,0,0,1,0,0,180,0,1.560613,0.8507529,-2.455253,-0.01915409,-0.1280264,0.9852713,0.1117271,347.5693,183.896,344.7685,1.354616,0.8284737,-2.504611,0.1964791,-0.006721115,0.9798924,0.03408387,356.0183,157.3234,0.01272724,1.939939,0.7816036,-2.224958,0.1098669,-0.1376352,0.6914709,0.7006096,272.3686,278.1353,241.7018,1.850081,0.7822003,-2.274607,0.1440189,-0.1494897,0.6827826,0.7005135,271.5032,330.873,185.1683
0.1076237,1,0,-1.64,0,0,1,0,0,180,0,1.560635,0.850845,-2.455189,-0.0191355,-0.1280833,0.9852699,0.111677,347.575,183.8937,344.7624,1.355439,0.8283656,-2.504175,0.19631,-0.007082301,0.9799377,0.03367923,356.0556,157.3452,359.9622,1.939966,0.7816222,-2.22495,0.1097944,-0.1376419,0.6914734,0.7006171,272.3749,278.0989,241.7437,1.849927,0.7821264,-2.274691,0.1438056,-0.1494892,0.6828563,0.7004858,271.5009,330.1605,185.8985
0.1267468,1,0,-1.64,0,0,1,0,0,180,0,1.560622,0.850293,-2.454998,-0.01895991,-0.1277981,0.9853127,0.1116561,347.5735,183.8694,344.7982,1.355781,0.8285017,-2.504101,0.1961748,-0.007422511,0.9799742,0.03332997,356.0872,157.3628,359.9155,1.939572,0.7813537,-2.225181,0.1096771,-0.1376332,0.6915538,0.7005579,272.38,277.7792,242.0736,1.849843,0.7821474,-2.274695,0.1436585,-0.1494245,0.6827934,0.700591,271.5158,330.0869,185.9895
0.1379044,1,0,-1.64,0,0,1,0,0,180,0,1.561199,0.8508242,-2.455134,-0.01926854,-0.1277215,0.985328,0.111556,347.5894,183.9025,344.8041,1.355443,0.8287275,-2.504428,0.1963347,-0.007158708,0.9799414,0.03341158,356.084,157.343,359.9477,1.939576,0.7813637,-2.225203,0.1096907,-0.1376271,0.6915717,0.7005394,272.3775,277.7228,242.1294,1.84981,0.7821239,-2.274714,0.1436584,-0.1493555,0.6828343,0.7005659,271.5092,330.2289,185.8533
0.1603824,1,0,-1.64,0,0,1,0,0,180,0,1.561309,0.8508577,-2.455117,-0.01926688,-0.1277128,0.9853324,0.1115269,347.5926,183.9017,344.8054,1.355145,0.8288976,-2.504428,0.1964746,-0.006902827,0.9799052,0.0337031,356.057,157.3252,359.9836,1.939462,0.7816016,-2.225001,0.109695,-0.1376115,0.6914834,0.7006289,272.3805,278.0655,241.7877,1.84999,0.7820955,-2.274662,0.1436488,-0.1494248,0.6827978,0.7005886,271.5153,330.0518,186.0254
