"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",38.53525,1.913265,1.854388,-2.066836,0.4929777,-0.8614168,0.1056754,-0.06137412,303.2436,157.484,206.2629,"Calibration","B5",NA,-0.072679104,-0.683245771,-0.270327363,-0.1219068,0.0008749,-0.9714526,0.0511983,-0.8419851,NA,NA,-0.0010204,-0.0020974,-0.9696677,-0.1239336,-0.909545,NA,NA
"2",38.54692,1.913315,1.854455,-2.067003,0.4929025,-0.8614936,0.1053471,-0.06146346,303.247,157.506,206.2055,"Calibration","B5",NA,-0.076079104,-0.661245771,-0.327727363,-0.1212469,0.0007527,-0.9715352,0.0440481,-0.8809068,4.6071555,NA,-0.0014616,-0.0023538,-0.9696665,-0.139084,-0.9356141,3.7365341,NA
"3",38.5686,1.913471,1.854371,-2.067086,0.492651,-0.8616911,0.1047161,-0.06178989,303.271,157.5311,206.0997,"Calibration","B5",NA,-0.100079104,-0.636145771,-0.433527363,-0.1198074,0.0002885,-0.9717141,0.0168846,-0.9657944,5.8356313,35.8374319,-0.0025362,-0.0031031,-0.9696622,-0.1833556,-0.9991094,4.7141147,13.1946988
"4",38.59081,1.913582,1.854424,-2.067324,0.4924852,-0.8618678,0.1040119,-0.0618369,303.2746,157.6041,205.9632,"Calibration","B5",NA,-0.103679104,-0.563145771,-0.570027363,-0.118527,7.3e-06,-0.9718712,0.0004286,-1.0412824,6.1690223,-174.9188152,-0.0032361,-0.0036396,-0.9696583,-0.2150576,-1.0404689,4.2987442,-86.0221738
"5",38.60207,1.913768,1.854455,-2.067307,0.4925147,-0.8618655,0.1038376,-0.06192732,303.2692,157.6018,205.943,"Calibration","B5",NA,-0.098279104,-0.565445771,-0.590227363,-0.1181525,0.0001008,-0.9719168,0.0058982,-1.063363,2.0608284,NA,-0.0035617,-0.0036259,-0.9696572,-0.2142443,-1.0597037,2.5721089,-11.481122
"6",38.62415,1.913947,1.85444,-2.067394,0.4922518,-0.8619329,0.1041124,-0.06261279,303.328,157.4801,206.0305,"Calibration","B5",NA,-0.157079104,-0.687145771,-0.502727363,-0.1179111,-0.0004759,-0.9719459,-0.0278525,-1.0775937,NA,NA,-0.004379,-0.0042395,-0.9696513,-0.2505064,-1.1079989,5.4509025,27.5033442
"7",38.63552,1.913907,1.854378,-2.067413,0.4924208,-0.8617174,0.1046486,-0.06335356,303.343,157.2848,206.2087,"Calibration","B5",NA,-0.172079104,-0.882445771,-0.324527363,-0.1181643,-0.0001138,-0.9719154,-0.0066611,-1.0626661,2.9321146,NA,-0.0051578,-0.0038445,-0.9696492,-0.227165,-1.1540172,4.5939063,-59.0943557
"8",38.65729,1.913997,1.854363,-2.067512,0.4925057,-0.8614627,0.1057138,-0.06438038,303.3905,156.9982,206.4989,"Calibration","B5",NA,-0.219579104,-1.169045771,-0.034327363,-0.1190278,1.38e-05,-0.97181,0.0008084,-1.0117608,3.7439444,-53.4630352,-0.0058957,-0.0035519,-0.9696461,-0.2098772,-1.1976199,3.6618182,-98.7584984
"9",38.66883,1.914002,1.854393,-2.067494,0.4926612,-0.861369,0.1057384,-0.06440294,303.3731,156.9775,206.5197,"Calibration","B5",NA,-0.202179104,-1.189745771,-0.013527363,-0.1190861,0.0003603,-0.9718027,0.021084,-1.0083229,2.0796769,-34.9945724,-0.0059519,-0.0032056,-0.9696469,-0.1894111,-1.200938,1.8765601,-83.127853
"10",38.68003,1.914039,1.854339,-2.067599,0.4927488,-0.861361,0.1054742,-0.06427353,303.3518,157.0165,206.4691,"Calibration","B5",NA,-0.180879104,-1.150745771,-0.064127363,-0.11878,0.0005807,-0.9718401,0.0339833,-1.0263645,2.9110321,46.1539337,-0.0060089,-0.0030543,-0.9696471,-0.1804697,-1.2043089,1.7471557,30.3215023
"11",38.70253,1.914041,1.854324,-2.06776,0.4927962,-0.8616084,0.1040635,-0.06287741,303.2686,157.3881,206.0954,"Calibration","B5",NA,-0.097679104,-0.779145771,-0.437827363,-0.1177079,0.0007667,-0.9719704,0.0448693,-1.0895686,3.3178259,-25.4001424,-0.0050173,-0.0030807,-0.9696526,-0.1820311,-1.1457145,3.3715875,6.1978728
"12",38.72403,1.91407,1.854259,-2.067833,0.4928602,-0.8616791,0.1035508,-0.06225197,303.2295,157.54,205.9527,"Calibration","B5",NA,-0.058579104,-0.627245771,-0.580527363,-0.1174405,0.0009313,-0.9720027,0.0544978,-1.1053308,1.8369057,27.1375502,-0.0044709,-0.0029697,-0.9696556,-0.1754763,-1.113426,2.0858612,-24.7976089
"13",38.74591,1.914027,1.854272,-2.067896,0.4930232,-0.8614725,0.1043277,-0.06252187,303.2374,157.4048,206.1309,"Calibration","B5",NA,-0.066479104,-0.762445771,-0.402327363,-0.1185458,0.0012181,-0.9718681,0.0712857,-1.0401686,4.5315395,35.9253163,-0.004232,-0.0024671,-0.9696581,-0.1457748,-1.0993097,2.3091686,2.6174642
"14",38.76838,1.914062,1.854248,-2.067991,0.4932517,-0.8612012,0.1052036,-0.06298786,303.2459,157.2199,206.3506,"Calibration","B5",NA,-0.074979104,-0.947345771,-0.182627363,-0.119651,0.0016519,-0.971732,0.0966709,-0.9750037,3.3787279,-60.4183833,-0.0042472,-0.0018221,-0.9696595,-0.1076656,-1.1002067,2.1974685,5.5827126
"15",38.79048,1.913956,1.854269,-2.068037,0.4933638,-0.8611762,0.1050693,-0.06267565,303.2197,157.2767,206.3085,"Calibration","B5",NA,-0.048779104,-0.890545771,-0.224727363,-0.1197431,0.0018988,-0.9717203,0.1111209,-0.9695687,1.8420643,-83.1725037,-0.0038828,-0.001562,-0.9696615,-0.0922958,-1.078676,2.5540852,-28.5744362
