"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","eyepitch","eyeyaw"
"1",41.47683,1.850479,1.811889,-1.220205,0.04576481,0.04973792,0.9797938,-0.1882441,21.92752,175.6133,4.961887,"Calibration","B5",NA,0.368958934,1.345580607,0.21306852,"closed","closed","closed","closed","closed","closed","closed",0.1150379,0.0071486,0.9890724,0.4113327,0.2979897,NA,NA,0.1089393,-0.0063066,0.9910728,-0.3624096,1.2647159,NA,NA,NA,NA
"2",41.49913,1.850933,1.811887,-1.220412,0.04593981,0.05024658,0.9796962,-0.1885742,21.96916,175.6052,5.018586,"Calibration","B5",NA,0.327318934,1.337480607,0.26976752,"closed","closed","closed","closed","closed","closed","closed",0.1160699,0.0064214,0.9889569,0.3694852,0.2382369,5.3836585,NA,0.1094517,-0.0055521,0.9910208,-0.3190517,1.2351191,4.2104949,NA,NA,NA
"3",41.52135,1.851323,1.811862,-1.220563,0.04649934,0.05087272,0.9795786,-0.1888799,22.0105,175.5532,5.080569,"Calibration","B5",NA,0.285978934,1.285480607,0.33175052,"closed","closed","closed","closed","closed","closed","closed",0.1174811,0.0056786,0.9887948,0.3267457,0.1564993,6.2588115,-186.2919254,0.110758,-0.0047996,0.9908796,-0.2758099,1.159619,6.7279762,-138.0892192,NA,NA
"4",41.53302,1.851491,1.811919,-1.220595,0.04669489,0.05081572,0.9795513,-0.1889885,22.02392,175.5286,5.068737,"Calibration","B5",NA,0.272558934,1.260880607,0.31991852,"closed","closed","closed","closed","closed","closed","closed",0.1174389,0.0054338,0.9888012,0.3126609,0.1589592,1.4511254,-177.845318,0.1111059,-0.0045727,0.9908417,-0.2627667,1.1395083,2.1827863,-170.7342321,NA,NA
"5",41.55486,1.851878,1.811957,-1.220663,0.04703289,0.05048534,0.9795523,-0.1889881,22.02409,175.4798,5.020665,"Calibration","B5",NA,0.272388934,1.212080607,0.27184652,"closed","closed","closed","closed","closed","closed","closed",0.1169294,0.0054072,0.9888618,0.3111306,0.1884816,2.6802596,NA,0.1116345,-0.0045956,0.9907822,-0.264088,1.1089399,3.2312802,0.9734999,NA,NA
"6",41.56608,1.852034,1.811956,-1.220654,0.04727274,0.05037778,0.9795284,-0.1890805,22.03559,175.4485,5.001683,"Calibration","B5",NA,0.260888934,1.180780607,0.25286452,"None","1.820537","1.712968","-1.225553","0.000674879","-0.05185055","-0.9986425",0.1168072,0.0051923,0.9888771,0.2987617,0.1955672,NA,NA,0.1120513,-0.0044058,0.990736,-0.2531792,1.0848409,2.7144762,-56.5137651,2.9721865,172.4237613
"7",41.57718,1.852214,1.811921,-1.220667,0.04736863,0.05036669,0.9795375,-0.1890125,22.0281,175.4363,4.998276,"Calibration","B5",NA,0.268378934,1.168580607,0.24945752,"B5","1.876989","1.713995","-1.223896","-0.03700924","-0.06112007","-0.9974383",0.116828,0.0053164,0.9888742,0.3059062,0.1943584,2.3072255,NA,0.1122398,-0.0045379,0.9907141,-0.2607698,1.073932,1.9711473,-25.4589226,3.5041262,174.587426
"8",41.58853,1.852358,1.811951,-1.220736,0.04747845,0.05055111,0.9795049,-0.1891047,22.04027,175.4277,5.017802,"Calibration","B5",NA,0.256208934,1.159980607,0.26898352,"B5","1.877163","1.71398","-1.223886","-0.04534508","-0.05591359","-0.9973978",0.1172217,0.0051008,0.9888287,0.2934997,0.1715517,2.2491597,-15.7343953,0.1125167,-0.0043158,0.9906837,-0.2480053,1.0579281,2.1533003,-5.9704849,3.2053086,175.0655492
"9",41.61062,1.852532,1.811997,-1.220681,0.04777412,0.05074265,0.9794976,-0.189017,22.03246,175.396,5.034341,"Calibration","B5",NA,0.264018934,1.128280607,0.28552252,"B5","1.823672","1.712945","-1.225667","-0.008047533","-0.06816377","-0.9976376",0.1177149,0.0052209,0.9887697,0.3004112,0.1429735,1.667025,14.2229503,0.1131732,-0.0044427,0.9906083,-0.2552999,1.0199543,1.535008,-12.4336768,3.908543,172.9246531
"10",41.63307,1.852805,1.812045,-1.220671,0.04769482,0.05052192,0.9795389,-0.1888821,22.01529,175.3999,5.00982,"Calibration","B5",NA,0.281188934,1.132180607,0.26100152,"B5","1.823548","1.712947","-1.225629","-0.0055486","-0.08761446","-0.9961266",0.1172658,0.0055211,0.9888215,0.3176824,0.1689848,2.8972572,25.9127753,0.1129448,-0.0047545,0.9906329,-0.2732175,1.0331517,1.6051045,12.852383,5.0264458,172.7816259
"11",41.65515,1.853142,1.812065,-1.220822,0.04756139,0.04996957,0.979585,-0.1888232,22.00515,175.4029,4.946097,"Calibration","B5",NA,0.291328934,1.135180607,0.19727852,"B5","1.823935","1.712951","-1.22573","-0.01138541","-0.07913267","-0.9967927",0.1161465,0.0056986,0.9889523,0.3278969,0.2338301,2.8316087,-32.0875253,0.112475,-0.0049648,0.9906854,-0.2853027,1.0603194,2.1037245,12.2310647,4.5387422,173.1168881
"12",41.67695,1.853411,1.81208,-1.220929,0.04731874,0.04996673,0.9796093,-0.188759,21.99644,175.432,4.951658,"Calibration","B5",NA,0.300038934,1.164280607,0.20283952,"B5","1.854736","1.713489","-1.224963","-0.03265639","-0.07581104","-0.9965794",0.1160512,0.0058644,0.9889626,0.3374376,0.2393442,1.4974086,-44.7127343,0.1120082,-0.0051134,0.9907375,-0.2938388,1.0873087,2.144702,-38.8031349,4.3478584,174.3393055
"13",41.68822,1.85359,1.812063,-1.220844,0.04723774,0.05006088,0.9796178,-0.1887102,21.99078,175.4439,4.965136,"Calibration","B5",NA,0.305698934,1.176180607,0.21631752,"B5","1.855177","1.713493","-1.224954","-0.03234059","-0.07548115","-0.9966186",0.1162059,0.0059686,0.9889438,0.3434293,0.2303758,1.1793283,NA,0.1118908,-0.0052047,0.9907503,-0.2990847,1.0940955,1.2488951,-37.0977785,4.328886,174.3210956
"14",41.71017,1.853747,1.812097,-1.220929,0.04702624,0.05016407,0.9796556,-0.1885392,21.97025,175.4714,4.983137,"Calibration","B5",NA,0.326228934,1.203680607,0.23431852,"B5","1.839865","1.71318","-1.225468","-0.02215446","-0.07402489","-0.9970092",0.1163362,0.0063385,0.9889261,0.3647181,0.2228101,NA,NA,0.1115332,-0.0055521,0.9907887,-0.3190528,1.1147643,1.3650197,-9.1441874,4.2452014,173.735437
"15",41.73272,1.854,1.812072,-1.220874,0.04692298,0.05022033,0.9796526,-0.1885653,21.97301,175.4853,4.992315,"Calibration","B5",NA,0.323468934,1.217580607,0.24349652,"B5","1.825109","1.713019","-1.225736","-0.01397428","-0.07429461","-0.9971311",0.1164032,0.0062971,0.9889183,0.3623325,0.2189307,NA,NA,0.1113531,-0.0054992,0.9908093,-0.3160127,1.1251837,0.833318,-10.5638089,4.2607245,173.2654
"16",41.7544,1.854291,1.812212,-1.220765,0.04694235,0.05027815,0.9796264,-0.1886812,21.9869,175.4847,4.998541,"Calibration","B5",NA,0.309578934,1.216980607,0.24972252,"B5","1.827344","1.713051","-1.22569","-0.01466238","-0.06966197","-0.9974509",0.1165145,0.0060558,0.9889068,0.3484475,0.2124931,1.1501171,NA,0.1114044,-0.0052543,0.9908048,-0.301939,1.1222248,0.8864594,15.2014857,3.99462,173.3046604
"17",41.77657,1.85447,1.812225,-1.220764,0.04712468,0.05021543,0.979606,-0.1887583,21.99652,175.4614,4.986413,"Calibration","B5",NA,0.299958934,1.193680607,0.23759452,"B5","1.828412","1.713075","-1.225661","-0.01668097","-0.06602144","-0.9976745",0.1164582,0.0058772,0.9889144,0.3381748,0.215761,NA,NA,0.1117278,-0.0050935,0.9907693,-0.2926967,1.1035264,1.5061508,19.5962122,3.7855195,173.4203693
"18",41.79914,1.854665,1.81224,-1.220771,0.04733118,0.05011756,0.9795986,-0.188771,21.99859,175.4341,4.969635,"Calibration","B5",NA,0.297888934,1.166380607,0.22081652,"B5","1.827154","1.713046","-1.225729","-0.0154309","-0.06498989","-0.9977607",0.1163478,0.0058279,0.9889277,0.3353348,0.2221582,0.5683622,NA,0.1120898,-0.0050664,0.9907285,-0.2911415,1.0825904,1.7598517,24.5056079,3.7262946,173.3485207
"19",41.82147,1.854874,1.812149,-1.220843,0.04766201,0.05020089,0.979568,-0.1888245,22.00691,175.3961,4.971799,"Calibration","B5",NA,0.289568934,1.128380607,0.22298052,"B5","1.826458","1.713072","-1.225784","-0.01316687","-0.06249661","-0.997951",0.1166344,0.005665,0.9888949,0.3259613,0.2055607,1.0975365,41.6717573,0.1127611,-0.0049206,0.9906531,-0.2827599,1.043771,2.603269,15.5524699,3.5831533,173.2183928
"20",41.8435,1.855018,1.812172,-1.220855,0.04795903,0.05023827,0.979571,-0.1887241,21.99688,175.3606,4.969648,"Calibration","B5",NA,0.299598934,1.092880607,0.22082952,"B5","1.831191","1.713166","-1.225691","-0.0155145","-0.06409594","-0.9978204",0.1168301,0.0058215,0.9888712,0.3349652,0.194216,2.4115292,-26.6338736,0.1133607,-0.0050962,0.9905837,-0.2928502,1.0090852,2.4564247,-42.340864,3.6749561,173.3532669
"21",41.85525,1.855109,1.812189,-1.22084,0.04803478,0.05028601,0.9795602,-0.1887481,22.00028,175.3526,4.973584,"Calibration","B5",NA,0.296198934,1.084880607,0.22476552,"B5","1.845896","1.713415","-1.225397","-0.02601516","-0.06972325","-0.9972201",0.1169505,0.0057583,0.9888573,0.3313308,0.1872462,1.0847973,-46.2583295,0.1135249,-0.0050349,0.9905653,-0.2893317,0.9995929,1.5397358,-25.5558551,3.9981197,173.9568567
"22",41.87703,1.855391,1.812123,-1.220777,0.04824975,0.05046423,0.9795767,-0.1885598,21.98027,175.3301,4.990734,"Calibration","B5",NA,0.316208934,1.062380607,0.24191552,"B5","1.861766","1.713681","-1.225059","-0.0352543","-0.07482486","-0.9965641",0.1173942,0.0060947,0.9888025,0.3506849,0.1615216,1.5290373,35.3348723,0.1140262,-0.0053738,0.9905059,-0.3088052,0.9705847,2.1257129,49.6561816,4.2911987,174.4885235
"23",41.90224,1.855572,1.812124,-1.220702,0.04853213,0.05061401,0.9795659,-0.1885034,21.97585,175.2991,5.002445,"Calibration","B5",NA,0.320628934,1.031380607,0.25362652,"B5","1.860791","1.713702","-1.225101","-0.03408066","-0.07584686","-0.9965287",0.1177991,0.0061559,0.9887541,0.3542083,0.1380558,2.7964209,77.370345,0.1146388,-0.0054444,0.9904348,-0.3128629,0.9351421,3.9511185,34.7891934,4.349918,174.4211981
"24",41.91711,1.855705,1.812136,-1.220616,0.04888242,0.05051292,0.9796486,-0.1880096,21.9196,175.2525,4.983507,"Calibration","B5",NA,0.376878934,0.984780607,0.23468852,"B5","1.860529","1.713705","-1.225128","-0.03484331","-0.07518928","-0.9965478",0.1177774,0.0071095,0.9887503,0.4090812,0.1392704,4.3498547,132.9934773,0.1153197,-0.0064328,0.9903498,-0.3696637,0.8957139,3.9090422,-76.078926,4.312152,174.4649563
"25",41.93901,1.855709,1.812212,-1.220556,0.0489269,0.04969986,0.9796912,-0.1879928,21.91392,175.228,4.883886,"Calibration","B5",NA,0.382558934,0.960280607,0.13506752,"B5","1.860534","1.713756","-1.225127","-0.03474377","-0.07343851","-0.9966914",0.1162188,0.0071957,0.9889341,0.414038,0.2295738,7.8871277,NA,0.1150899,-0.0065843,0.9903755,-0.3783653,0.9090001,0.6387537,-63.4508617,4.2115205,174.4589528
"26",41.95027,1.855758,1.812243,-1.220541,0.04900739,0.04932441,0.9797046,-0.1880006,21.91339,175.2094,4.836432,"Calibration","B5",NA,0.383088934,0.941680607,0.08761352,"B5","1.861357","1.713815","-1.225117","-0.03511366","-0.07339721","-0.9966703",0.1155213,0.0071953,0.9890156,0.4140143,0.2699846,NA,NA,0.1151003,-0.0066182,0.9903741,-0.3803144,0.9084016,0.8912763,54.0321325,4.2091948,174.4802329
"27",41.97219,1.855758,1.812319,-1.220479,0.04924187,0.0493226,0.9797174,-0.187873,21.89967,175.1805,4.831138,"Calibration","B5",NA,0.396808934,0.912780607,0.08231952,"B5","1.863537","1.713875","-1.22504","-0.03691459","-0.0719528","-0.9967149",0.1156193,0.0074188,0.9890025,0.4268757,0.264292,2.1918903,NA,0.1155649,-0.0068596,0.9903184,-0.3941848,0.881507,2.7684557,-12.6007612,4.1261977,174.5835334
"28",41.98354,1.855835,1.812397,-1.220435,0.04933227,0.0496322,0.9796829,-0.1879477,21.91035,175.1771,4.866325,"Calibration","B5",NA,0.386128934,0.909380607,0.11750652,"B5","1.863731","1.713906","-1.22503","-0.03646515","-0.07181469","-0.9967426",0.1162495,0.0072316,0.98893,0.4161031,0.2277934,3.1546938,28.9622287,0.1158545,-0.0066555,0.9902859,-0.3824603,0.864761,1.51043,-40.3474998,4.118259,174.5576743
"29",42.00584,1.855991,1.812429,-1.220358,0.04939551,0.04985941,0.9797139,-0.1877092,21.88398,175.1739,4.89319,"Calibration","B5",NA,0.412498934,0.906180607,0.14437152,"B5","1.863259","1.7139","-1.225037","-0.03465955","-0.06872264","-0.997023",0.1167336,0.0076879,0.9888696,0.4423599,0.1997238,2.5547336,-39.2227383,0.1160857,-0.0071001,0.9902558,-0.4080096,0.8513641,2.1826472,19.2876163,3.9406647,174.4534553
"30",42.02784,1.856066,1.81245,-1.22024,0.04956866,0.04998656,0.9797466,-0.1874588,21.85629,175.1551,4.905388,"Calibration","B5",NA,0.440188934,0.887380607,0.15656952,"B5","1.875408","1.714097","-1.224813","-0.04460476","-0.06658854","-0.9967687",0.1170675,0.0081591,0.9888262,0.4694728,0.1803475,1.4208221,-24.9006759,0.1164903,-0.0075753,0.9902047,-0.4353171,0.8279304,2.3681284,-14.8867828,3.818122,175.0247216
"31",42.0391,1.856104,1.812438,-1.220267,0.04959601,0.04995466,0.9797528,-0.1874277,21.85265,175.1509,4.900984,"Calibration","B5",NA,0.443828934,0.883180607,0.15216552,"B5","1.876642","1.714119","-1.224803","-0.04550066","-0.06853274","-0.9966012",0.1170188,0.0082202,0.9888315,0.4729913,0.1831676,1.4404154,10.0704188,0.116534,-0.0076409,0.9901991,-0.4390881,0.8254001,1.9379454,47.7026693,3.9297544,175.076553
"32",42.05045,1.856138,1.812481,-1.220277,0.04984222,0.04982368,0.9797764,-0.1872739,21.8353,175.1175,4.879866,"Calibration","B5",NA,0.461178934,0.849780607,0.13104752,"B5","1.875116","1.7141","-1.224891","-0.04413324","-0.06894121","-0.9966289",0.1168733,0.008504,0.9888464,0.4893229,0.1915809,1.649264,20.329149,0.1169725,-0.0079538,0.9901449,-0.4570649,0.8000065,3.4544174,87.5673497,3.9532359,174.9980267
"33",42.07212,1.856252,1.812504,-1.220304,0.05038695,0.05002218,0.9797313,-0.1873114,21.84337,175.0562,4.891086,"Calibration","B5",NA,0.453108934,0.788480607,0.14226752,"B5","1.866007","1.713946","-1.225092","-0.03752384","-0.06772704","-0.9969906",0.1174689,0.0083314,0.9887775,0.4793903,0.1570834,2.1315849,NA,0.1181055,-0.0078075,0.9900116,-0.4486616,0.7344524,4.3542605,26.9987246,3.883475,174.6179115
"34",42.09424,1.856396,1.812505,-1.220397,0.05090844,0.04999878,0.9797216,-0.1872272,21.83604,174.9921,4.876363,"Calibration","B5",NA,0.460438934,0.724380607,0.12754452,"B5","1.855708","1.713793","-1.225332","-0.02971628","-0.06595605","-0.9973764",0.1176346,0.0084246,0.9887568,0.4847536,0.1474728,NA,NA,0.1191164,-0.0079427,0.9898894,-0.4564305,0.6759355,4.6301548,68.8382043,3.7817619,174.1690729
"35",42.11645,1.856545,1.812353,-1.220406,0.05169415,0.04995764,0.9796914,-0.1871806,21.83429,174.8957,4.853196,"Calibration","B5",NA,0.462188934,0.627980607,0.10437752,"B5","1.858776","1.713871","-1.225263","-0.03106394","-0.06606456","-0.9973302",0.1178665,0.0084027,0.9887292,0.4834913,0.1340327,NA,NA,0.1206299,-0.0079852,0.9897057,-0.4588735,0.5883234,7.410931,-53.3973199,3.787985,174.246502
"36",42.12773,1.856569,1.812351,-1.220417,0.05201241,0.04993482,0.9796977,-0.1870659,21.82239,174.8562,4.843418,"Calibration","B5",NA,0.474088934,0.588480607,0.09459952,"B5","1.861404","1.713929","-1.225218","-0.03333037","-0.06643109","-0.9972203",0.1179565,0.0085878,0.9887171,0.494145,0.1288095,2.5478267,NA,0.1212479,-0.0081973,0.9896285,-0.4710593,0.5525297,4.7939887,-208.0460204,3.809079,174.3767817
