"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",35.77966,1.914239,1.930647,-2.094593,-0.56223,0.8145963,0.04967444,-0.1336515,295.4843,219.486,147.4946,"Calibration","B5",NA,-0.0616154,0.0302754,-0.9697422,1.7845986,1.8874178,NA,NA,0.1670457,0.0181426,-0.9640037,1.0623554,3.0072695,NA,NA
"2",35.79094,1.913814,1.930736,-2.094365,-0.5623844,0.8145292,0.05002381,-0.13328,295.4684,219.4765,147.4439,"Calibration","B5",NA,-0.0606182,0.0304533,-0.9697994,1.7950901,1.8285213,7.2593225,NA,0.1661178,0.0185629,-0.964156,1.0869674,2.9522071,7.5006329,NA
"3",35.81321,1.913476,1.930623,-2.09427,-0.5629435,0.814259,0.05073832,-0.1322972,295.3996,219.4554,147.3229,"Calibration","B5",NA,-0.0582706,0.0313049,-0.9699162,1.8453073,1.6899294,9.1300218,3.1703105,0.1639223,0.0200232,-0.9645025,1.1724868,2.8220507,9.4088936,-18.6071362
"4",35.83641,1.913394,1.930563,-2.094463,-0.5633075,0.8140661,0.05149421,-0.1316413,295.3671,219.4718,147.1886,"Calibration","B5",NA,-0.0562543,0.0318204,-0.9700185,1.875703,1.5708852,7.3283041,-47.5586824,0.1621641,0.020994,-0.964779,1.2293417,2.7178232,6.5575724,-67.8550044
"5",35.85814,1.912965,1.930409,-2.094475,-0.5630543,0.8142083,0.05233451,-0.1315137,295.4285,219.495,147.0857,"Calibration","B5",NA,-0.0548436,0.0310782,-0.9701234,1.8319349,1.4874871,6.9489609,26.3196784,0.1610159,0.0204623,-0.9649828,1.1982061,2.6495283,6.2792495,52.5396781
"6",35.88087,1.912321,1.930277,-2.094588,-0.5618736,0.8148353,0.05320074,-0.1323304,295.6323,219.5473,147.0319,"Calibration","B5",NA,-0.0546649,0.0285138,-0.9702123,1.68073,1.4766693,8.5422538,-46.839855,0.1611282,0.0176482,-0.9650196,1.0333997,2.6556597,8.9588344,-34.464211
"7",35.90258,1.91129,1.930512,-2.09406,-0.561387,0.8150543,0.05406619,-0.1326951,295.7401,219.6316,146.9073,"Calibration","B5",NA,-0.053798,0.0274055,-0.9702926,1.6153861,1.4253728,4.9866728,-97.840372,0.1606897,0.0165188,-0.9651127,0.9672626,2.6294328,4.9030588,-82.798094
"8",35.92463,1.910851,1.930465,-2.093914,-0.5608385,0.8152941,0.05453545,-0.1333476,295.8482,219.7189,146.8366,"Calibration","B5",NA,-0.0538904,0.0263097,-0.9703178,1.550779,1.4307315,4.2831773,55.6255544,0.1611136,0.0151879,-0.9650639,0.8893234,2.6543892,5.3709559,58.4907224
"9",35.94683,1.910829,1.93044,-2.094242,-0.560447,0.8155105,0.0542688,-0.1337789,295.897,219.707,146.9074,"Calibration","B5",NA,-0.0548958,0.0255907,-0.9702807,1.5083882,1.490037,7.4612331,103.0242613,0.161988,0.0142023,-0.9649325,0.8316056,2.7061604,7.4968639,46.0231613
"10",35.9587,1.910763,1.930404,-2.094301,-0.5600588,0.8157714,0.05398103,-0.1339298,295.9337,219.636,147.0153,"Calibration","B5",NA,-0.0556462,0.0247773,-0.970259,1.4604358,1.5342779,8.2077713,100.9700932,0.1624236,0.013256,-0.9648727,0.7761936,2.7318963,7.4527633,37.446921
"11",35.98024,1.911201,1.92995,-2.094994,-0.5590653,0.8164931,0.05306437,-0.1340492,296.0097,219.3812,147.3575,"Calibration","B5",NA,-0.0575826,0.0226191,-0.9701987,1.3332011,1.6484462,11.2028508,30.4376293,0.1632993,0.0108544,-0.9647549,0.6355631,2.7836049,9.1460042,-28.5967705
"12",36.0022,1.911232,1.929843,-2.095105,-0.558467,0.8170326,0.05167346,-0.1337988,296.0066,219.0692,147.7645,"Calibration","B5",NA,-0.0597706,0.0213019,-0.9700962,1.2555524,1.7775601,9.4861921,-102.2023753,0.16418,0.0093953,-0.9646208,0.5501272,2.8357673,6.1637773,-116.740777
"13",36.02445,1.911424,1.929702,-2.095202,-0.5580115,0.8174784,0.05047191,-0.1334345,295.992,218.7801,148.1231,"Calibration","B5",NA,-0.0614852,0.0202505,-0.9700115,1.1935683,1.8787485,6.677515,-124.3970319,0.1647188,0.0083011,-0.9645389,0.4860578,2.8676723,3.9904224,-59.0485345
"14",36.04647,1.911496,1.929592,-2.095167,-0.5578316,0.8176507,0.04987644,-0.1333551,295.9835,218.6656,148.2805,"Calibration","B5",NA,-0.0624235,0.0198741,-0.9699594,1.1713836,1.9341452,3.9787133,-65.752508,0.1651647,0.0078567,-0.9644664,0.4600343,2.8941252,3.5408137,13.7562317
"15",36.06842,1.911501,1.929592,-2.094981,-0.5572847,0.8179134,0.05015619,-0.1339248,296.0792,218.7192,148.2524,"Calibration","B5",NA,-0.0627394,0.018782,-0.9699608,1.1070073,1.9527246,3.7824006,-18.2638481,0.1656507,0.0065287,-0.964393,0.3822723,2.9228958,4.5928917,-37.268659
"16",36.09083,1.911565,1.929666,-2.094695,-0.5570462,0.8180525,0.05010759,-0.1340857,296.1103,218.7055,148.284,"Calibration","B5",NA,-0.0630624,0.0182939,-0.9699493,1.0782313,1.9717646,3.1642417,-31.1843881,0.1658987,0.005949,-0.9643541,0.348331,2.9375932,1.8483843,-97.1461784
"17",36.10225,1.911654,1.929646,-2.094589,-0.5570996,0.8181126,0.04963205,-0.1336735,296.0682,218.5769,148.4173,"Calibration","B5",NA,-0.063386,0.0183198,-0.9699277,1.0797614,1.9908827,2.7670003,9.2156596,0.1657416,0.0060949,-0.9643802,0.3568764,2.9282703,1.0281499,-26.6348013
"18",36.12409,1.911618,1.929686,-2.094145,-0.5569263,0.8184115,0.04857432,-0.1329524,296.0157,218.2797,148.7418,"Calibration","B5",NA,-0.0644027,0.0177719,-0.9698709,1.0474635,2.0509054,3.9292384,-24.6707701,0.1656317,0.0057139,-0.9644014,0.3345644,2.9217187,1.4333862,-3.8715961
"19",36.14648,1.911853,1.92958,-2.093991,-0.5567945,0.8186002,0.0480133,-0.1325455,295.9918,218.1098,148.9242,"Calibration","B5",NA,-0.0649289,0.0173792,-0.9698428,1.0243141,2.081961,1.6329744,-46.1831992,0.1655238,0.0054221,-0.9644216,0.3174773,2.9152886,0.8445747,9.4349109
"20",36.16892,1.911938,1.929542,-2.093723,-0.5570549,0.8184988,0.04761024,-0.1322227,295.9328,218.0419,148.998,"Calibration","B5",NA,-0.065161,0.0179123,-0.9698176,1.0557393,2.0957162,1.8616643,-22.1524071,0.1654915,0.006047,-0.9644234,0.3540711,2.9134101,1.8581399,2.8022687
"21",36.19072,1.911852,1.929457,-2.093225,-0.5571236,0.8185002,0.04738475,-0.1320056,295.9074,217.983,149.0571,"Calibration","B5",NA,-0.065278,0.0180177,-0.9698078,1.0619504,2.102633,0.6736518,-8.4921244,0.165391,0.00622,-0.9644396,0.3642008,2.9074469,0.995661,-4.5295881
"22",36.21334,1.911938,1.929445,-2.092941,-0.5572016,0.8184454,0.04750135,-0.1319737,295.9023,218.003,149.0247,"Calibration","B5",NA,-0.0650318,0.0181733,-0.9698214,1.0711257,2.0881034,1.5221673,76.0853708,0.1652379,0.0064112,-0.9644646,0.375396,2.8983673,1.6856632,71.9662773
"23",36.23503,1.912147,1.929383,-2.092615,-0.5575348,0.8182771,0.047211,-0.1317151,295.842,217.9734,149.0562,"Calibration","B5",NA,-0.0651261,0.0188871,-0.9698016,1.1132028,2.0937254,4.0091211,105.9541283,0.1652111,0.0072071,-0.9644635,0.4219956,2.8968271,4.1459269,106.4662984
"24",36.25737,1.9119,1.929506,-2.091682,-0.5582032,0.8178678,0.04696734,-0.1315128,295.7473,218.0184,149.0132,"Calibration","B5",NA,-0.0650968,0.0203979,-0.9697729,1.2022567,2.0921137,6.1816694,56.9772128,0.1653108,0.0087828,-0.9644334,0.5142613,2.9028798,6.3688489,56.2736155
"25",36.2796,1.912222,1.929464,-2.091444,-0.5588973,0.8174063,0.04668579,-0.1315344,295.6559,218.1108,148.9448,"Calibration","B5",NA,-0.0653524,0.0220578,-0.9697193,1.3001086,2.1073615,6.5530254,12.8582472,0.1658231,0.0103972,-0.9643294,0.6087933,2.9334779,6.6587973,15.80357
"26",36.3017,1.911946,1.929564,-2.090758,-0.5596026,0.8169603,0.04651696,-0.1313658,295.5612,218.1789,148.8754,"Calibration","B5",NA,-0.0652264,0.0236601,-0.96969,1.3945668,2.1000678,6.7521756,11.4793557,0.1659091,0.0120635,-0.9642952,0.7063677,2.9387813,7.0690623,20.6717916
"27",36.32423,1.911565,1.92974,-2.090015,-0.5604731,0.81646,0.04605967,-0.1309257,295.4251,218.1863,148.8675,"Calibration","B5",NA,-0.0652355,0.025582,-0.9696406,1.5078773,2.1007957,7.0664103,-44.2232438,0.165895,0.0141353,-0.9642695,0.8276829,2.9382233,7.5822857,-40.157877
"28",36.34615,1.911386,1.929833,-2.08958,-0.5611375,0.816083,0.04568978,-0.1305596,295.3192,218.1833,148.8694,"Calibration","B5",NA,-0.0652465,0.0270414,-0.9696003,1.5939187,2.1016043,4.8219365,-95.7914124,0.1658562,0.0157191,-0.9642516,0.920429,2.9361601,5.3224365,-88.2362192
"29",36.36847,1.91134,1.929923,-2.089422,-0.5614622,0.8159168,0.0457381,-0.1301847,295.2703,218.1673,148.8495,"Calibration","B5",NA,-0.06468,0.0276553,-0.9696209,1.6301119,2.0681981,2.8312392,-18.975814,0.1652775,0.0165225,-0.9643376,0.9674789,2.9019076,3.684659,-5.5531346
"30",36.38768,1.911272,1.929943,-2.089367,-0.5615427,0.8159142,0.04574177,-0.1298518,295.2491,218.1117,148.8768,"Calibration","B5",NA,-0.0643063,0.0277198,-0.9696439,1.6339139,2.0461221,3.8155081,119.3600202,0.1647508,0.0167462,-0.9644238,0.9805761,2.8706515,4.8808822,105.1381508
"31",36.40157,1.911017,1.929967,-2.089152,-0.561437,0.816074,0.04602221,-0.1292049,295.2499,217.9893,148.9221,"Calibration","B5",NA,-0.0632201,0.0272014,-0.9697301,1.6033533,1.9818824,6.4196431,84.0475954,0.1633757,0.0165772,-0.9646606,0.9706826,2.7889405,6.9366778,49.4268339
"32",36.42202,1.910914,1.929924,-2.089139,-0.5613084,0.8161977,0.04659841,-0.1287743,295.274,217.9433,148.8846,"Calibration","B5",NA,-0.0618845,0.0266754,-0.9698308,1.5723405,1.9029175,6.0231681,-20.3020589,0.162038,0.0163451,-0.9648902,0.9570918,2.7094564,5.931524,-20.1956516
"33",36.44385,1.910767,1.930038,-2.089303,-0.5612103,0.8163301,0.04711005,-0.1281748,295.2857,217.8596,148.8761,"Calibration","B5",NA,-0.0604695,0.0261676,-0.9699338,1.5424026,1.8192766,5.56001,15.5447095,0.1605016,0.0161989,-0.9651494,0.9485285,2.6182161,6.1227651,45.0420906
