"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","FocusedObject","RayOrigin_x","RayOrigin_y","RayOrigin_z","RayDirection_x","RayDirection_y","RayDirection_z","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",82.93211,1.856271,1.664584,-1.177211,-0.000322968,0.06009246,0.9884242,-0.1393073,15.98291,181.0359,7.103611,"Calibration","B5",NA,"B5","1.851344","1.572842","-1.188883","-0.001927645","0.01878363","-0.9998134",0.1180687,0.0288244,0.9918193,1.6530058,-0.4145532,NA,NA,0.0194963,-0.0283539,0.9925124,-1.6360513,1.2494995,NA,NA
"2",82.95388,1.856541,1.664578,-1.177787,-0.000472776,0.06088666,0.9881722,-0.1407422,16.14669,181.0781,7.204623,"Calibration","B5",NA,"B5","1.858178","1.572846","-1.189927","-0.004523898","0.01585656","-0.9998538",0.1196059,0.0259652,0.9917139,1.4890005,-0.5028205,10.0945497,NA,0.0192937,-0.0254543,0.9925949,-1.4687031,1.2377121,9.8729801,NA
"3",82.97619,1.856772,1.664532,-1.178105,-0.000742525,0.06019354,0.9880922,-0.141598,16.24436,181.1049,7.12988,"Calibration","B5",NA,"B5","1.858283","1.572635","-1.190297","-0.003489323","0.01601212","-0.9998524",0.1181765,0.02426,0.9919283,1.3911909,-0.4199547,8.9238504,-28.0733874,0.0184365,-0.0238104,0.992652,-1.3738345,1.1881934,8.0516913,-26.0453267
"4",82.99825,1.856873,1.664468,-1.17847,-0.00089703,0.05987595,0.9879336,-0.1428328,16.38625,181.1274,7.098927,"Calibration","B5",NA,"B5","1.849082","1.572137","-1.189688","0.000310629","0.01855327","-0.9998136",0.1175297,0.0217837,0.9920625,1.2491678,-0.3822094,8.8428333,-74.3353381,0.0178833,-0.0213729,0.9927176,-1.2331675,1.1562005,8.7034514,-60.4626913
"5",83.02053,1.856906,1.664364,-1.178746,-0.001064184,0.05959932,0.9878306,-0.1436574,16.48065,181.1489,7.071728,"Calibration","B5",NA,"B5","1.857239","1.572263","-1.190566","-0.001637335","0.01907999","-0.9998108",0.1169506,0.0201356,0.9921658,1.1546458,-0.3485288,5.6122757,-96.1367249,0.0173674,-0.0197551,0.9927603,-1.1398154,1.1263924,5.3509739,-119.003645
"6",83.04349,1.856953,1.664299,-1.178872,-0.001370236,0.05918006,0.9878133,-0.143947,16.51244,181.18,7.028237,"Calibration","B5",NA,"B5","1.866065","1.572379","-1.19153","-0.005410446","0.01201751","-0.9999058",0.1160352,0.0195783,0.9922845,1.1226815,-0.2955944,4.5268336,-7.5814682,0.0166001,-0.0192317,0.9927837,-1.1096082,1.0821014,3.3411238,-41.2808207
"7",83.06563,1.856987,1.664238,-1.179023,-0.001610218,0.05854211,0.9878262,-0.1441173,16.53119,181.1987,6.957315,"Calibration","B5",NA,"B5","1.862604","1.572146","-1.191275","-0.004239631","0.0123124","-0.9999036",0.1147096,0.0192493,0.9924454,1.1038139,-0.2190158,5.2378025,-10.7880263,0.0159038,-0.0189507,0.9928005,-1.0933949,1.0419127,3.4512788,22.9643136
"8",83.08823,1.857226,1.66401,-1.178944,-0.002049909,0.0580598,0.987808,-0.1444306,16.56491,181.2447,6.908741,"Calibration","B5",NA,"B5","1.846945","1.571583","-1.189749","0.002662134","0.02030952","-0.9997796",0.113628,0.0186563,0.9925808,1.0698055,-0.1565072,4.0244431,-53.8549119,0.0148516,-0.0183964,0.9928272,-1.0614113,0.9811795,4.3768221,-5.9659221
"9",83.10993,1.857313,1.663904,-1.179097,-0.002344894,0.05789055,0.9877602,-0.1448209,16.60818,181.2796,6.895073,"Calibration","B5",NA,"B5","1.842842","1.57133","-1.189416","0.00319256","0.02118342","-0.9997633",0.1132097,0.0178979,0.9926428,1.0263126,-0.1322692,2.8521797,-0.1617295,0.0141748,-0.0176554,0.9928506,-1.0186503,0.9421114,3.2292157,-8.046866
"10",83.13184,1.857433,1.663786,-1.179164,-0.002660461,0.05763335,0.9877995,-0.14465,16.58657,181.3111,6.86942,"Calibration","B5",NA,"B5","1.846622","1.571357","-1.189811","0.000342957","0.01900307","-0.9998076",0.112599,0.0182711,0.9927055,1.0477125,-0.0970639,4.0287006,-0.1470476,0.0134945,-0.0180452,0.992853,-1.041144,0.9028563,4.0353143,1.6063415
"11",83.14314,1.857525,1.663695,-1.179188,-0.00278898,0.05750976,0.987834,-0.1444606,16.56395,181.3227,6.856321,"Calibration","B5",NA,"B5","1.850558","1.571461","-1.190238","0.000255873","0.01707892","-0.9998409",0.1123103,0.0186641,0.9927307,1.0702513,-0.0804508,3.4185911,-33.889503,0.0132249,-0.0184448,0.9928493,-1.0642064,0.8873041,3.6558753,-12.2219918
"12",83.16468,1.857735,1.663775,-1.179241,-0.003201874,0.05718417,0.9879205,-0.1439893,16.50707,181.3623,6.82317,"Calibration","B5",NA,"B5","1.850818","1.57141","-1.190354","-0.000635785","0.01733133","-0.9998355",0.111526,0.0196511,0.9928002,1.1268564,-0.0353037,3.1216188,-23.0116383,0.0123651,-0.0194499,0.9928412,-1.1222028,0.8377024,3.8526365,-42.8392545
"13",83.18707,1.857945,1.663818,-1.179373,-0.003474182,0.05751882,0.9878971,-0.14401,16.50711,181.4003,6.867536,"Calibration","B5",NA,"B5","1.851151","1.571403","-1.190457","-0.001275846","0.01483071","-0.99988",0.1120949,0.0196457,0.9927361,1.126548,-0.0681392,2.3998489,-8.0921538,0.0119395,-0.0194224,0.992847,-1.120617,0.8131403,1.729769,-43.6529699
"14",83.20928,1.858171,1.663874,-1.179558,-0.003758497,0.05797839,0.987861,-0.1440661,16.51097,181.4422,6.927033,"Calibration","B5",NA,"B5","1.851031","1.571382","-1.190568","-0.001286705","0.01509656","-0.9998807",0.112906,0.0195735,0.9926455,1.1224043,-0.1149455,2.7563628,34.4138469,0.0115257,-0.0193194,0.9928539,-1.114671,0.7892568,1.8965052,22.8105908
