"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",31.19665,1.899826,2.065424,-2.020862,0.6416509,-0.7646785,0.02774892,0.05273409,280.1856,194.7552,171.7956,"Calibration","B5",NA,-0.1111073,-0.0229818,-0.9927767,-1.3178794,-0.4670042,NA,NA,0.1156629,-0.0226686,-0.9927279,-1.2993152,0.4983521,NA,NA
"2",31.21838,1.899687,2.065294,-2.02162,0.6408642,-0.7652946,0.02788425,0.05329019,280.3043,194.8438,171.764,"Calibration","B5",NA,-0.1120832,-0.024914,-0.9926205,-1.4286994,-0.410378,10.9250179,NA,0.1166443,-0.0247044,-0.9925645,-1.4160292,0.4413778,11.0887458,NA
"3",31.22985,1.899567,2.065292,-2.021958,0.6404844,-0.7656065,0.02807266,0.05327712,280.3562,194.7003,171.922,"Calibration","B5",NA,-0.1123677,-0.0259026,-0.992563,-1.4854056,-0.3937926,6.752039,-86.335248,0.1168574,-0.0256701,-0.9925149,-1.4713902,0.4289154,6.3903581,-115.8972229
"4",31.2516,1.899285,2.065363,-2.022727,0.6397718,-0.7661734,0.02878893,0.05330686,280.4475,194.3191,172.3646,"Calibration","B5",NA,-0.1135117,-0.027742,-0.9923831,-1.5909151,-0.3274265,10.9094715,-94.5596488,0.1178202,-0.0274363,-0.9923538,-1.5726513,0.373013,10.2581517,-52.0726117
"5",31.2629,1.899213,2.065335,-2.023026,0.6394383,-0.7664329,0.02901026,0.05345669,280.4938,194.2532,172.4609,"Calibration","B5",NA,-0.1140561,-0.0285753,-0.9922969,-1.6387158,-0.2958378,6.61247,-253.5802836,0.1183216,-0.0282767,-0.9922706,-1.6208396,0.3439014,7.0718363,-202.4710656
"6",31.27438,1.898987,2.065288,-2.023166,0.639188,-0.7666164,0.0289306,0.05386099,280.5359,194.4401,172.3008,"Calibration","B5",NA,-0.1144839,-0.029142,-0.9922312,-1.671223,-0.2710323,5.155716,-21.5456771,0.1188129,-0.0289379,-0.9921928,-1.6587464,0.3154001,5.6601715,-25.4953549
"7",31.29628,1.898782,2.065279,-2.023805,0.6384994,-0.7671543,0.02900602,0.05432801,280.64,194.5275,172.2581,"Calibration","B5",NA,-0.1152493,-0.0308305,-0.9920917,-1.7680826,-0.2264924,6.9910147,-2.6244578,0.119582,-0.0307191,-0.9920469,-1.7608819,0.270618,7.2364592,-10.3470019
"8",31.31788,1.898497,2.065272,-2.024192,0.6379398,-0.7675919,0.02913724,0.05465016,280.7226,194.5439,172.2791,"Calibration","B5",NA,-0.1159001,-0.0322124,-0.991972,-1.8473626,-0.1886163,5.0674805,-75.4551918,0.1202139,-0.0321559,-0.9919249,-1.8432656,0.2338062,5.234774,-59.7477293
"9",31.34018,1.898179,2.065214,-2.024579,0.6376246,-0.7678332,0.02904388,0.05498566,280.7738,194.6892,172.1539,"Calibration","B5",NA,-0.1162219,-0.0329591,-0.9919096,-1.8902002,-0.1698613,3.6880499,-67.1067528,0.1205797,-0.0329862,-0.9918533,-1.8908777,0.2124875,4.6365799,-94.1904026
"10",31.35151,1.898213,2.065234,-2.024725,0.6375254,-0.7679002,0.02921621,0.05510832,280.7863,194.6662,172.2009,"Calibration","B5",NA,-0.116645,-0.0331885,-0.9918523,-1.9033587,-0.1453681,2.8682606,-25.4973155,0.1209839,-0.0332228,-0.9917962,-1.9044471,0.1890841,2.8061509,-70.7169651
"11",31.37341,1.898228,2.06505,-2.024847,0.6374927,-0.7678983,0.02952928,0.05534735,280.7876,194.6549,172.2573,"Calibration","B5",NA,-0.1174268,-0.0332193,-0.9917591,-1.9051264,-0.100202,3.3360665,32.4931261,0.121753,-0.0332699,-0.9917005,-1.9071467,0.1446383,3.2468233,33.917754
