"","Time","X","Y","Z","wquat","xquat","yquat","zquat","xrot","yrot","zrot","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",47.19894,1.883374,1.841609,-2.108846,0.6215748,-0.7813197,0.019367,0.05300112,283.2572,194.8429,171.0631,"Calibration","B5",NA,0.910480342,0.479374074,-0.276673789,-0.095198,0.0158761,-0.9935513,0.9112895,0.1889797,NA,NA,0.1074428,0.0158733,-0.9934011,0.9101282,0.2100197,NA,NA
"2",47.22106,1.883338,1.841563,-2.108807,0.6216616,-0.7812692,0.0193122,0.05274836,283.243,194.7722,171.1086,"Calibration","B5",NA,0.924680342,0.408674074,-0.231173789,-0.0947986,0.0160472,-0.9935869,0.921107,0.1659628,1.8109265,NA,0.106981,0.0160907,-0.9934475,0.9225986,0.1834094,1.7902791,NA
"3",47.24345,1.88319,1.841605,-2.108768,0.6216457,-0.7812903,0.01911093,0.05269621,283.2484,194.8104,171.0497,"Calibration","B5",NA,0.919280342,0.446874074,-0.290073789,-0.0944199,0.015993,-0.9936238,0.9179968,0.1441201,1.6706962,3.1010408,0.1066533,0.0160331,-0.9934836,0.9192909,0.1645039,1.4975122,4.4752751
"4",47.26549,1.88309,1.841552,-2.108724,0.62145,-0.7814564,0.01894333,0.05260282,283.2785,194.7992,171.0397,"Calibration","B5",NA,0.889180342,0.435674074,-0.300073789,-0.0940579,0.0154735,-0.9936664,0.8881784,0.1232018,1.9454283,-8.2675911,0.1062931,0.0155202,-0.9935304,0.8898828,0.1436782,1.9829727,-1.9024932
"5",47.28836,1.883126,1.841563,-2.108689,0.6215314,-0.781409,0.01887408,0.05236941,283.2655,194.7397,171.0744,"Calibration","B5",NA,0.902180342,0.376174074,-0.265373789,-0.0936596,0.0156346,-0.9937015,0.8974252,0.1002474,1.2821905,-23.0649186,0.105844,0.0157234,-0.9935751,0.9015324,0.1177976,1.3922103,-22.3732838
"6",47.30999,1.883077,1.841577,-2.108644,0.6215362,-0.7814125,0.01887033,0.05226196,283.2636,194.6997,171.1054,"Calibration","B5",NA,0.904080342,0.336174074,-0.234373789,-0.0935229,0.0156262,-0.9937146,0.8969387,0.092369,0.9116795,-11.9269956,0.1056715,0.0157375,-0.9935933,0.9023418,0.1078554,0.9830736,-3.7265177
"7",47.33237,1.883,1.841523,-2.108551,0.6215155,-0.7814413,0.01887299,0.05207504,283.2645,194.6235,171.1665,"Calibration","B5",NA,0.903180342,0.259974074,-0.173273789,-0.0933019,0.0155376,-0.9937366,0.891858,0.0796171,0.7611853,14.3776134,0.1053777,0.0156854,-0.9936253,0.8993558,0.0909096,1.2395978,3.8754587
"8",47.35431,1.88281,1.841484,-2.108594,0.6215101,-0.7814564,0.01866549,0.05198723,283.2681,194.6511,171.1148,"Calibration","B5",NA,0.899580342,0.287574074,-0.224973789,-0.0928693,0.0155035,-0.9937777,0.8898953,0.0546726,1.5396104,13.7359699,0.1049871,0.0156543,-0.9936671,0.8975692,0.0683817,1.1581721,-4.7499796
"9",47.37663,1.882792,1.841465,-2.108519,0.6214553,-0.7815005,0.0184616,0.05205398,283.2805,194.7313,171.0235,"Calibration","B5",NA,0.887180342,0.367774074,-0.316273789,-0.0926337,0.0153731,-0.9938018,0.8824105,0.0410775,1.3608767,-9.672217,0.1048433,0.0154955,-0.9936848,0.8884687,0.0600732,1.028969,0.0600083
"10",47.39885,1.882699,1.841423,-2.10835,0.6214687,-0.7814995,0.01825063,0.0519829,283.2817,194.7688,170.963,"Calibration","B5",NA,0.885980342,0.405274074,-0.376773789,-0.0922145,0.0153899,-0.9938405,0.8833752,0.0169116,1.1089763,NA,0.1044761,0.0155117,-0.9937232,0.889394,0.0389072,1.16026,-3.2697155
