TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.087355,1.304075,-1.839939,-0.06963889,0.01660245,0.9758416,0.2064172,336.098,188.1153,0.22896,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.087428,1.304363,-1.839254,-0.0695754,0.01713321,0.9759282,0.2059849,336.1441,188.0924,0.2993714,2.079986,1.353585,-1.850953,0.437377,-0.8973144,0.02444212,0.0541365,308.0404,187.0633,179.6754,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.085611,1.25765,-1.826314,-0.02241481,-0.04250418,-0.9988359,1.257584,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.086976,1.24963,-1.851353,-0.03721137,-0.007230908,0.9983664,-0.04275199,4.92792,184.2413,359.3526,2.079913,1.353431,-1.850771,0.4368928,-0.8975936,0.02385437,0.05367916,308.1065,187.0292,179.6211,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.086372,1.250342,-1.824925,-0.02394172,-0.0418825,-0.9988272,1.316609,0,0,0
0.0402819,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.087006,1.249619,-1.851096,-0.03661554,-0.007499429,0.9983623,-0.04331175,4.992815,184.1712,359.3212,2.079932,1.353386,-1.850698,0.4367065,-0.8977137,0.02361232,0.05329261,308.1319,186.9821,179.6147,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.085431,1.250266,-1.824721,-0.02055974,-0.04269934,-0.9988631,1.458361,0,0,0
0.0525371,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.087349,1.249583,-1.851094,-0.03556168,-0.007774804,0.9983831,-0.04365989,5.033119,184.0486,359.2856,2.078192,1.353278,-1.850001,0.4367643,-0.8976962,0.02330456,0.05324855,308.1269,187.0002,179.5663,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.084356,1.250242,-1.82467,-0.01952975,-0.04258718,-0.9988984,1.489839,0,0,0
0.0713498,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.086773,1.249612,-1.850791,-0.03527514,-0.007859277,0.9983972,-0.04355371,5.021081,184.0152,359.2741,2.078232,1.353419,-1.849677,0.4368777,-0.8976696,0.02295344,0.05291871,308.1151,186.9746,179.5332,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.081475,1.250183,-1.824175,-0.01985126,-0.04161065,-0.9989275,1.543437,0,0,0
0.0935996,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.086746,1.249517,-1.850771,-0.03484078,-0.007943414,0.9984041,-0.04372945,5.041245,183.9648,359.2629,2.078081,1.35339,-1.849597,0.4369221,-0.897674,0.02259026,0.05263326,308.1121,186.9567,179.4954,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.076627,1.250071,-1.823719,-0.01677343,-0.04074562,-0.999025,1.478254,0,0,0
0.1156986,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.086356,1.249388,-1.850497,-0.03451132,-0.007976235,0.9984077,-0.04390412,5.061153,183.9266,359.2581,2.077964,1.353321,-1.849444,0.4364519,-0.8979386,0.02242575,0.05208756,308.1728,186.8737,179.5185,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.071803,1.249873,-1.823124,-0.01390441,-0.03995995,-0.9990959,1.267097,0,0,0
0.1379826,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.086749,1.249454,-1.850647,-0.0344678,-0.008131578,0.9984143,-0.04375933,5.045134,183.9209,359.2395,2.077595,1.353344,-1.849565,0.4363713,-0.8979952,0.02212371,0.05191606,308.1853,186.8685,179.4833,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.074155,1.249873,-1.823383,-0.01471213,-0.03691258,-0.9991965,1.314976,0,0,0
0.1603038,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.085735,1.249698,-1.85024,-0.03491319,-0.008268957,0.9984152,-0.04335596,4.999779,183.9716,359.2244,2.077533,1.353368,-1.849704,0.4365987,-0.8978527,0.02210552,0.05247277,308.1568,186.9655,179.4321,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.0793,1.250082,-1.823477,-0.02236514,-0.03260155,-0.9992096,1.422026,0,0,0
0.1822341,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.086332,1.249696,-1.850491,-0.03515992,-0.00826758,0.9984148,-0.04316646,4.978243,184.0001,359.2251,2.077424,1.353642,-1.849312,0.4369563,-0.8976552,0.02208427,0.05288421,308.1118,187.0399,179.3903,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.083831,1.250166,-1.823931,-0.02679655,-0.02820124,-0.9992346,1.490968,0,0,0
0.2044737,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.086092,1.249745,-1.850351,-0.0354678,-0.00813366,0.9984193,-0.04283433,4.939869,184.0363,359.2407,2.075653,1.353313,-1.848541,0.4371227,-0.8975278,0.02195264,0.05371912,308.0923,187.192,179.2981,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.084952,1.250271,-1.82406,-0.02796304,-0.02773752,-0.9992173,1.591303,0,0,0
0.2273548,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.085761,1.249958,-1.850199,-0.03607504,-0.008113866,0.9984181,-0.0423576,4.885605,184.1064,359.244,2.075161,1.353603,-1.848325,0.4375348,-0.8972984,0.02208326,0.05414104,308.0392,187.2569,179.2797,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.078308,1.250227,-1.823361,-0.02459173,-0.03121437,-0.9992073,1.535779,0,0,0
0.248764,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.085726,1.250021,-1.850249,-0.036467,-0.008421085,0.9984198,-0.0419202,4.837044,184.1501,359.2089,2.074878,1.353922,-1.847972,0.438134,-0.8969744,0.02212808,0.05464334,307.963,187.3444,179.2376,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.061225,1.249994,-1.821842,-0.01420315,-0.03422192,-0.9993097,1.496851,0,0,0
0.2600681,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.085885,1.250053,-1.85029,-0.03660917,-0.00875349,0.9984148,-0.04184603,4.83004,184.1649,359.1711,2.074625,1.353964,-1.847933,0.4382572,-0.8969071,0.02199062,0.05481555,307.9486,187.3859,179.1988,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.060406,1.250037,-1.821759,-0.01290399,-0.03552658,-0.999277,1.452648,0,0,0
0.2712769,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.085872,1.250054,-1.850277,-0.03662686,-0.008878899,0.9984138,-0.04182789,4.828499,184.1664,359.1567,2.074391,1.354003,-1.847975,0.438194,-0.8969365,0.02188227,0.05488279,307.9576,187.4053,179.1761,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.060799,1.250093,-1.821822,-0.01152811,-0.03744413,-0.9992236,1.390458,0,0,0
0.2932211,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.08612,1.250048,-1.850311,-0.03690777,-0.00941765,0.9984048,-0.04167808,4.813829,184.1961,359.0956,2.073968,1.354027,-1.847872,0.4381398,-0.8969467,0.02147258,0.05530957,307.9683,187.5094,179.0736,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.072318,1.250314,-1.822827,-0.01789821,-0.03348454,-0.9992783,1.261114,0,0,0
0.3044586,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.085894,1.25008,-1.850326,-0.03712472,-0.009662699,0.9984075,-0.04136366,4.779024,184.2201,359.0672,2.073204,1.353921,-1.847668,0.4383847,-0.8968067,0.0214236,0.05565671,307.9379,187.5747,179.0333,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.080773,1.250492,-1.823643,-0.02573496,-0.03000512,-0.9992175,1.283752,0,0,0
0.315766,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.085814,1.250137,-1.850239,-0.03719133,-0.00984965,0.9984099,-0.04120036,4.761162,184.2269,359.0453,2.07298,1.353971,-1.847566,0.4385646,-0.8967067,0.02132321,0.05588888,307.9161,187.6241,178.9948,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.082325,1.250555,-1.823782,-0.02774166,-0.02912866,-0.9991771,1.322194,0,0,0
0.3380771,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.085175,1.25016,-1.850061,-0.0373878,-0.01029835,0.9984022,-0.04109902,4.751643,184.2475,358.9944,2.073837,1.354377,-1.847954,0.4387969,-0.8965732,0.02111076,0.05628514,307.8889,187.7109,178.9232,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.082199,1.25064,-1.823671,-0.02574244,-0.03197398,-0.9991418,1.481205,0,0,0
0.3599702,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.08404,1.250065,-1.8496,-0.03772067,-0.01062359,0.9983688,-0.04152233,4.801887,184.2839,358.9604,2.072991,1.354109,-1.847792,0.4385337,-0.8966869,0.02071134,0.05667285,307.9263,187.805,178.8289,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.080969,1.250642,-1.82313,-0.02423309,-0.03645668,-0.9990346,1.436709,0,0,0
0.3820999,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.083742,1.249918,-1.849593,-0.03797094,-0.01053686,0.9983394,-0.0420212,4.858948,184.3127,358.9737,2.071918,1.353629,-1.847322,0.4379087,-0.8969936,0.02058867,0.05669729,308.0068,187.8108,178.8163,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.077689,1.250496,-1.822774,-0.02240492,-0.0397237,-0.9989513,1.415826,0,0,0
0.4044845,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.083507,1.249956,-1.849589,-0.03815295,-0.01060324,0.9983227,-0.04223358,4.883763,184.3332,358.9678,2.072529,1.354005,-1.847799,0.4376715,-0.8971118,0.02052343,0.05668126,308.0375,187.8102,178.8104,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.057051,1.249994,-1.82098,-0.009090744,-0.04792417,-0.9988079,1.455194,0,0,0
0.42668,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.083847,1.249921,-1.849957,-0.03818006,-0.01066398,0.9983069,-0.04256751,4.922328,184.3358,358.9624,2.072077,1.354134,-1.847797,0.4375189,-0.8971465,0.02078496,0.05721309,308.0554,187.8761,178.813,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.055255,1.250026,-1.820761,-0.007782951,-0.04818674,-0.9988049,1.295042,0,0,0
