TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.06745,1.298692,-1.692751,0.003108628,0.02112001,0.9782203,0.2064689,336.1832,179.0728,2.669201,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.067494,1.29889,-1.692449,0.003484296,0.02110237,0.9782644,0.2062556,336.2092,179.028,2.676251,2.08401,1.358761,-1.318997,0.4812974,-0.8753049,0.02530656,0.03941794,302.3753,184.7827,180.6804,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.087777,1.26056,-1.298834,-0.05115115,-0.01122701,-0.9986258,0.913895,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.093776,1.256187,-1.325269,-0.04450519,-0.01053218,0.9989309,-0.006747462,0.8261173,185.0936,358.8286,2.083433,1.358584,-1.319199,0.4813322,-0.875258,0.02517195,0.04011603,302.371,184.9279,180.5828,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.096491,1.254593,-1.298109,-0.06047619,-0.01030073,-0.9981089,0.9164556,0,0,0
0.0404853,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.093162,1.256262,-1.325298,-0.04521019,-0.01084918,0.9988977,-0.006465153,0.7962673,185.1745,358.7914,2.083324,1.358158,-1.319359,0.4815155,-0.8751281,0.02504019,0.04082554,302.3474,185.0761,180.483,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.072636,1.253816,-1.296367,-0.03478603,-0.00953023,-0.9993348,0.9505439,0,0,0
0.0524554,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.093255,1.256096,-1.325708,-0.04603564,-0.01138456,0.9988523,-0.006731343,0.8305557,185.2684,358.7322,2.083232,1.358096,-1.319396,0.4814764,-0.8751333,0.02493105,0.04123954,302.3529,185.1648,180.4202,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.068848,1.253693,-1.296158,-0.03183503,-0.008542533,-0.9994518,0.9609471,0,0,0
0.0696246,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.09291,1.256086,-1.325899,-0.04635335,-0.0119584,0.9988281,-0.007132286,0.879896,185.3039,358.6689,2.082836,1.357844,-1.319706,0.4812939,-0.8752217,0.02484993,0.04154212,302.3771,185.2284,180.3756,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.067919,1.253612,-1.296186,-0.0312866,-0.008384573,-0.9994711,0.9318533,0,0,0
0.0919521,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.093009,1.256011,-1.326165,-0.0467722,-0.01258973,0.9987946,-0.00796304,0.9789219,185.3503,358.6014,2.083254,1.357649,-1.320318,0.480646,-0.8755279,0.0251284,0.04241359,302.4597,185.3576,180.3448,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.084216,1.254131,-1.297709,-0.05105482,-0.009053346,-0.9986418,1.000209,0,0,0
0.1142136,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.093489,1.255735,-1.326534,-0.0471523,-0.01310444,0.9987596,-0.009176682,1.121144,185.3918,358.5493,2.082971,1.357612,-1.320774,0.4798911,-0.8759156,0.02472248,0.04318719,302.5605,185.5369,180.198,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.089397,1.254119,-1.298414,-0.05622841,-0.009468431,-0.998364,1.015585,0,0,0
0.1363094,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.093653,1.255526,-1.326777,-0.04737311,-0.01323519,0.998732,-0.01073055,1.300031,185.4148,358.543,2.083173,1.357606,-1.321306,0.4786697,-0.8765529,0.02473423,0.04380165,302.7197,185.6387,180.1514,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.088747,1.253941,-1.298592,-0.05646038,-0.01027915,-0.9983379,1.003051,0,0,0
0.1586933,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.093807,1.255253,-1.327049,-0.04763297,-0.01301111,0.9987039,-0.01234272,1.483723,185.4429,358.5777,2.083176,1.357775,-1.321862,0.4770632,-0.8774085,0.02481212,0.0441515,302.9285,185.6803,180.1491,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.090901,1.253782,-1.299048,-0.05758764,-0.01303253,-0.998251,0.9673843,0,0,0
