TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.087586,1.265189,-2.025303,0.01204783,0.004841235,0.9879018,0.1545363,342.2288,178.4776,0.7995809,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.087553,1.265326,-2.025099,0.01206109,0.004627908,0.9879251,0.1543927,342.2451,178.4801,0.7741992,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.095929,1.246057,-1.720275,0.04092019,-0.05911327,-0.9973976,1.213666,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.1042,1.2376,-1.744376,-0.005584682,-0.0112995,0.9998632,-0.01071312,1.234792,180.6262,358.7118,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.091108,1.241252,-1.718407,0.04139331,-0.06199208,-0.9972132,1.023638,0,0,0
0.048308,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.104303,1.237945,-1.743193,-0.004216108,-0.01192639,0.999877,-0.009278376,1.068917,180.4705,358.6376,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.090835,1.24163,-1.717275,0.03962855,-0.05718236,-0.9975654,1.07679,0,0,0
0.065202,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.106145,1.238811,-1.741422,-0.001183507,-0.0158907,0.9998605,-0.005016895,0.5769785,180.1265,358.1796,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.08943,1.241796,-1.716881,0.0495785,-0.06756677,-0.9964796,1.066858,0,0,0
0.0783399,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.106157,1.239172,-1.740376,0.0009772814,-0.01777188,0.9998364,-0.003238895,0.3691017,179.8814,357.963,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.090915,1.241995,-1.716238,0.04661744,-0.06702509,-0.9966579,0.9061253,0,0,0
0.0962669,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.107805,1.239341,-1.739714,0.00315348,-0.01801024,0.9998301,-0.002347,0.2623934,179.6339,357.9352,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.095985,1.242349,-1.715522,0.04152624,-0.06508581,-0.9970108,1.035315,0,0,0
0.1186967,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.10806,1.239479,-1.738981,0.005054154,-0.01655618,0.9998493,-0.001373702,0.1478023,179.4183,358.1019,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.084202,1.242476,-1.71474,0.05201612,-0.06374381,-0.9965991,0.883091,0,0,0
0.1408197,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.108638,1.239576,-1.738369,0.00693685,-0.01488472,0.999865,-0.0006091403,0.05796099,179.2041,358.2938,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.114985,1.243418,-1.712702,0.01373279,-0.05901501,-0.9981506,0.9791408,0,0,0
0.1630673,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.109848,1.239381,-1.738134,0.008378315,-0.01259947,0.9998856,-2.49568E-05,359.9908,179.0399,358.5562,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.131869,1.24381,-1.711345,0.004502725,-0.05445146,-0.9984988,1.035446,0,0,0
