TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.124319,1.282869,-1.822658,-0.02063555,0.03344013,0.9924424,0.1162498,346.5779,181.9551,3.629603,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.124141,1.283291,-1.82208,-0.02072301,0.03333459,0.9924809,0.1159358,346.614,181.9678,3.616414,2.106092,1.359245,-1.629222,0.4491065,-0.8919358,0.04257997,0.03067295,306.5093,181.5864,184.6668,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.082354,1.256822,-1.599076,-0.02769664,-0.07175779,-0.9970239,0.8647716,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.111298,1.256447,-1.629909,-0.06057786,-0.006190006,0.9973806,-0.03903917,4.509465,186.9342,359.5622,2.106128,1.359103,-1.629202,0.4490085,-0.8920304,0.04209284,0.03002235,306.5261,181.5175,184.6388,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.083614,1.252108,-1.598897,-0.0284923,-0.07002321,-0.9971243,0.7940962,0,0,0
0.0405854,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111572,1.256406,-1.629971,-0.05952802,-0.006166319,0.9974286,-0.03942999,4.55358,186.8135,359.5628,2.106166,1.359064,-1.629218,0.4489363,-0.8920962,0.04183665,0.02949988,306.5385,181.4504,184.6396,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.084526,1.252143,-1.598933,-0.03704245,-0.07406683,-0.9965637,0.9094317,0,0,0
0.0531312,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111699,1.256297,-1.630007,-0.05781394,-0.00619021,0.997507,-0.03998862,4.61694,186.6162,359.5559,2.106071,1.35894,-1.629162,0.4487952,-0.892204,0.04151593,0.02883057,306.5606,181.3642,184.6416,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.092453,1.252505,-1.600019,-0.04633312,-0.0723957,-0.9962923,0.9363662,0,0,0
0.0677097,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111447,1.256124,-1.629797,-0.05693399,-0.006350798,0.9975399,-0.04040352,4.665099,186.5143,359.5361,2.105748,1.358792,-1.62912,0.448405,-0.892452,0.04086585,0.02814905,306.6151,181.306,184.5869,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.108136,1.253307,-1.601951,-0.06433522,-0.07159732,-0.9953439,0.9976535,0,0,0
0.0899883,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111571,1.2561,-1.62967,-0.05661231,-0.006471977,0.9975386,-0.04086412,4.718475,186.4767,359.5237,2.105737,1.3587,-1.628994,0.4479523,-0.8927023,0.04057566,0.02783872,306.6751,181.2809,184.5617,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.13396,1.254492,-1.605214,-0.09096963,-0.06685598,-0.9935944,0.9603067,0,0,0
0.1120114,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111529,1.256022,-1.629428,-0.05647559,-0.006660794,0.9975147,-0.04160229,4.804157,186.4601,359.5061,2.106188,1.35877,-1.629,0.4474241,-0.8929895,0.04033015,0.02747694,306.745,181.2436,184.5483,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.123769,1.253913,-1.603809,-0.07956382,-0.06898087,-0.9944276,0.9663529,0,0,0
0.1342843,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.11154,1.255949,-1.629096,-0.05659067,-0.007218442,0.9974641,-0.04255391,4.916795,186.4707,359.4489,2.106086,1.358792,-1.629139,0.4466907,-0.8933739,0.03974247,0.02776932,306.8383,181.3487,184.4195,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.123503,1.253772,-1.603625,-0.08095525,-0.06987247,-0.9942594,0.8830985,0,0,0
0.1564703,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111401,1.255932,-1.628626,-0.05678047,-0.007705551,0.9974329,-0.04294437,4.964777,186.4901,359.3964,2.105921,1.358787,-1.628902,0.4458889,-0.8937785,0.03938882,0.02813502,306.9397,181.4461,184.3248,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.122335,1.253605,-1.60331,-0.08436896,-0.05905367,-0.9946812,0.8916826,0,0,0
0.1679593,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111425,1.256059,-1.628478,-0.05695697,-0.007755133,0.9974224,-0.04294649,4.965449,186.5102,359.3916,2.1058,1.358908,-1.628721,0.4457798,-0.893829,0.03931896,0.02835686,306.9527,181.4905,184.2936,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.117833,1.253355,-1.60267,-0.07292845,-0.06614541,-0.9951311,0.8600403,0,0,0
0.1897534,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111111,1.256413,-1.627969,-0.05738729,-0.007776761,0.9974056,-0.04275878,4.944358,186.5596,359.3901,2.105706,1.35916,-1.628342,0.4461043,-0.8936585,0.03925771,0.02871119,306.9096,181.5543,184.2542,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.098575,1.252469,-1.59981,-0.05865423,-0.06856659,-0.9959188,0.9165758,0,0,0
0.2120679,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.110749,1.256745,-1.627558,-0.05799891,-0.007866061,0.9973702,-0.0427433,4.943551,186.6296,359.3828,2.105265,1.359321,-1.627966,0.4464281,-0.8934789,0.03933715,0.02915488,306.8659,181.6215,184.231,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.101777,1.252861,-1.599873,-0.06353542,-0.06954382,-0.9955406,0.9495512,0,0,0
0.2238118,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.110546,1.256929,-1.627365,-0.05812375,-0.007750064,0.9973526,-0.04300436,4.972751,186.6445,359.3984,2.105054,1.359464,-1.6278,0.4460866,-0.8936363,0.03949875,0.02933906,306.9084,181.641,184.2418,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.114846,1.253678,-1.601341,-0.07508954,-0.06675714,-0.9949249,0.8447962,0,0,0
0.2453725,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.110456,1.257258,-1.627239,-0.05837247,-0.007224602,0.9973457,-0.04291848,4.959558,186.6757,359.4594,2.104888,1.359712,-1.627443,0.446036,-0.8936395,0.04001579,0.02930883,306.9142,181.592,184.3326,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.116059,1.254061,-1.601113,-0.08011886,-0.0653374,-0.9946378,0.8854032,0,0,0
0.2565796,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.110074,1.257414,-1.627263,-0.05856752,-0.006895807,0.9973579,-0.04242156,4.900563,186.6998,359.4948,2.104647,1.359825,-1.627323,0.4463062,-0.893496,0.04026045,0.02923705,306.8795,181.5573,184.3814,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.127176,1.254775,-1.602406,-0.09175269,-0.0681367,-0.9934428,0.8115481,0,0,0
0.278625,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.109625,1.257887,-1.627459,-0.05924865,-0.006889937,0.9973598,-0.04142223,4.78645,186.7782,359.492,2.104598,1.360234,-1.627245,0.4476371,-0.892805,0.04078427,0.02927347,306.7079,181.5106,184.473,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.129018,1.255279,-1.6026,-0.09669023,-0.0653078,-0.9931657,0.8335451,0,0,0
0.3009552,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.109171,1.258031,-1.627781,-0.06000326,-0.007569819,0.9973544,-0.04033094,4.666564,186.8618,359.4102,2.103616,1.360341,-1.626992,0.4484849,-0.8923528,0.04084069,0.02999727,306.5956,181.6248,184.4236,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.132159,1.25578,-1.603106,-0.1006945,-0.06355308,-0.9928716,0.7334641,0,0,0
0.323459,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.108269,1.258127,-1.627949,-0.06038095,-0.008641711,0.9973601,-0.03939936,4.567545,186.9004,359.2827,2.103035,1.360538,-1.627097,0.4494364,-0.891857,0.04022564,0.03130407,306.4684,181.8974,184.2079,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.110621,1.254815,-1.600548,-0.06765138,-0.06676878,-0.9954627,0.994222,0,0,0
0.3452641,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.107374,1.257982,-1.627933,-0.06030344,-0.009750258,0.9973513,-0.03948144,4.584524,186.8864,359.1558,2.102093,1.360479,-1.627145,0.450087,-0.8915442,0.03931498,0.03201735,306.3837,182.0964,183.9905,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.083328,1.253533,-1.596856,-0.03714565,-0.07764341,-0.9962866,0.880141,0,0,0
0.3564667,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.107141,1.257786,-1.627861,-0.06024741,-0.01038504,0.9973234,-0.0401059,4.66033,186.8768,359.087,2.101647,1.360384,-1.627205,0.4500933,-0.8915516,0.03881183,0.03233228,306.3827,182.1945,183.8763,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.082351,1.253393,-1.596967,-0.03948618,-0.08375085,-0.9957011,1.034551,0,0,0
0.3677667,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.107033,1.257544,-1.627818,-0.06033514,-0.01121631,0.9972703,-0.04105741,4.775064,186.8826,358.9986,2.101493,1.360337,-1.627262,0.4492582,-0.8919895,0.03826198,0.03252665,306.4904,182.279,183.7634,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.081642,1.253249,-1.596917,-0.03872135,-0.08026126,-0.9960154,0.9626887,0,0,0
0.3897495,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.106672,1.25702,-1.627419,-0.06037521,-0.01265879,0.9971734,-0.0428923,4.995107,186.8793,358.8458,2.100752,1.359933,-1.627385,0.4472632,-0.8930203,0.03676181,0.03345239,306.7466,182.5735,183.4242,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.080227,1.252908,-1.596765,-0.03828597,-0.08505201,-0.9956329,1.057903,0,0,0
0.4118007,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.106234,1.25683,-1.626938,-0.05999031,-0.01366398,0.9971133,-0.04449283,5.18479,186.8289,358.7393,2.100335,1.359648,-1.62738,0.4459251,-0.8937047,0.03574243,0.03413454,306.9185,182.7802,183.1917,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.079554,1.252618,-1.596519,-0.03565419,-0.07657317,-0.9964138,0.9357786,0,0,0
0.4340383,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.106008,1.256715,-1.62625,-0.05922323,-0.01393867,0.9970754,-0.04624891,5.386763,186.738,358.7155,2.10026,1.359324,-1.627206,0.4446304,-0.8943984,0.03480182,0.03382515,307.0882,182.8095,183.0583,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.07933,1.252453,-1.596175,-0.03995673,-0.07553794,-0.9963304,1.034343,0,0,0
0.4562903,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.106264,1.256524,-1.625477,-0.05833053,-0.01386323,0.9970429,-0.04807165,5.593863,186.6344,358.7313,2.100071,1.359187,-1.626947,0.4429896,-0.895259,0.03429394,0.03309952,307.3021,182.7316,183.0343,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.100381,1.25344,-1.59865,-0.06422663,-0.06797336,-0.9956157,1.02868,0,0,0
0.4788505,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.106668,1.25647,-1.62464,-0.05730743,-0.01357326,0.9970233,-0.04976122,5.784197,186.5172,358.7697,2.10018,1.359228,-1.626348,0.4413228,-0.8961338,0.03389095,0.03209149,307.5197,182.5977,183.051,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.101021,1.25339,-1.598064,-0.06454098,-0.0758272,-0.9950286,0.9571328,0,0,0
0.5008061,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.107182,1.256553,-1.623683,-0.05629109,-0.01324193,0.9970355,-0.05075677,5.894866,186.4014,358.8081,2.100562,1.359026,-1.625677,0.4401697,-0.896753,0.03368588,0.030821,307.6719,182.4029,183.1219,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.099043,1.253202,-1.59721,-0.06212429,-0.07521401,-0.9952268,1.277539,0,0,0
0.5229754,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.107495,1.256573,-1.622564,-0.05548418,-0.01325092,0.9970686,-0.05099129,5.920825,186.3083,358.8037,2.101189,1.3591,-1.624913,0.4398099,-0.8969678,0.03348378,0.02991495,307.7215,182.268,183.1626,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.084653,1.252275,-1.594456,-0.04204899,-0.07194244,-0.9965131,1.140617,0,0,0
0.5452746,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.10781,1.256611,-1.621389,-0.0552186,-0.01339772,0.9970748,-0.0511208,5.936266,186.2767,358.7861,2.10106,1.359283,-1.62382,0.439664,-0.8970678,0.03295446,0.02964776,307.7424,182.2671,183.0955,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.082154,1.252202,-1.593016,0.007175908,-0.06515143,-0.9978449,1.526259,0,0,0
0.5673204,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.10812,1.25677,-1.620224,-0.05542896,-0.01391173,0.9970722,-0.05080518,5.903604,186.2981,358.7263,2.100874,1.359411,-1.622389,0.4397045,-0.8970558,0.03269252,0.02969898,307.7377,182.2972,183.0473,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.083856,1.252337,-1.592193,0.005988796,-0.0589633,-0.9982386,1.54421,0,0,0
0.5787083,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.108131,1.256875,-1.619696,-0.05548663,-0.01426222,0.9970893,-0.05030841,5.848977,186.303,358.6833,2.10141,1.359556,-1.621953,0.4398826,-0.8969685,0.03258203,0.02982066,307.7148,182.3264,183.0187,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.083141,1.252347,-1.591523,0.008681225,-0.05482006,-0.9984554,1.262105,0,0,0
0.6006995,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.10833,1.257163,-1.618753,-0.05620938,-0.01512329,0.9970998,-0.04902966,5.708943,186.3822,358.5807,2.101354,1.359765,-1.62088,0.4409667,-0.8964235,0.03221731,0.0305844,307.5749,182.4831,182.894,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.104766,1.253865,-1.593246,-0.005258379,-0.04380434,-0.9990208,1.258075,0,0,0
0.6229204,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.108635,1.257402,-1.617937,-0.05758961,-0.01644004,0.997039,-0.048233,5.628269,186.5345,358.4323,2.101504,1.360054,-1.61974,0.4420335,-0.8958648,0.03167954,0.03207919,307.4356,182.7789,182.678,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.108416,1.254194,-1.592653,-0.006353442,-0.03808187,-0.9992521,1.355602,0,0,0
0.6343781,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.108623,1.257456,-1.617445,-0.05844762,-0.01717494,0.9969904,-0.04795014,5.602098,186.6294,358.3509,2.101912,1.360053,-1.619351,0.4421171,-0.8957565,0.03201292,0.03358531,307.4194,183.0057,182.6085,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.10942,1.254277,-1.592355,-0.00873776,-0.03722843,-0.9992643,1.276033,0,0,0
0.6563426,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.10883,1.257645,-1.616704,-0.06012852,-0.01812091,0.996906,-0.04727324,5.53381,186.8185,358.2472,2.101796,1.360282,-1.618538,0.4423332,-0.895575,0.03183766,0.03568172,307.3866,183.375,182.4031,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.10495,1.25407,-1.590988,-0.00391427,-0.03171613,-0.9994812,1.377652,0,0,0
