TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.111219,1.31478,-1.681541,-0.04066335,-0.006945041,0.966305,0.254073,330.6292,185.4068,357.7585,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.111509,1.315003,-1.680259,-0.03988095,-0.00743999,0.9662747,0.2542978,330.6035,185.325,357.7199,2.114454,1.357937,-1.637645,0.4590845,-0.888306,0.006858788,0.01034433,305.3377,181.1968,180.2662,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.099762,1.260566,-1.618276,0.04346971,-0.04018538,-0.9982455,0.7879294,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.126162,1.25457,-1.642102,-0.004822115,0.002533693,0.9996001,-0.02774997,3.178871,180.5613,0.30603,2.114444,1.357923,-1.637643,0.4590798,-0.88831,0.006775727,0.0102619,305.3385,181.1898,180.2591,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.097067,1.252346,-1.61631,0.04659178,-0.04213894,-0.9980177,0.7715706,0,0,0
0.0418341,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.126229,1.254538,-1.642115,-0.004755373,0.002824446,0.9995968,-0.02785378,3.190631,180.5546,0.3392332,2.11373,1.358024,-1.637385,0.4587784,-0.8884633,0.00689238,0.01039104,305.3771,181.2015,180.2685,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.097017,1.252315,-1.616304,0.04769399,-0.04269695,-0.9979376,0.7516343,0,0,0
0.0546557,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.125914,1.254402,-1.641932,-0.004744449,0.002725365,0.9995899,-0.02811231,3.220325,180.5531,0.3279794,2.113564,1.357974,-1.637326,0.4588238,-0.8884397,0.006641343,0.01056455,305.3716,181.2549,180.2085,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.097637,1.252253,-1.616157,0.0446396,-0.04150325,-0.9981296,0.7831795,0,0,0
0.0765521,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.125803,1.254314,-1.641913,-0.004974871,0.002635482,0.9995852,-0.02824848,3.235912,180.5793,0.318492,2.113372,1.357805,-1.637309,0.458666,-0.8885205,0.00657822,0.01065444,305.392,181.2762,180.1896,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.117079,1.252432,-1.61567,0.01866963,-0.03518099,-0.9992017,0.814259,0,0,0
0.0986204,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.125717,1.254289,-1.64195,-0.00524271,0.002445857,0.9995809,-0.02836644,3.249465,180.6095,0.2976787,2.112856,1.357769,-1.637173,0.4585516,-0.8885761,0.006573687,0.01094692,305.4067,181.3278,180.1625,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.121656,1.252416,-1.615578,0.01184682,-0.03513926,-0.9993008,0.7983465,0,0,0
0.1099853,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.125643,1.254269,-1.641973,-0.005314528,0.002242716,0.9995787,-0.02844943,3.259082,180.6171,0.2746589,2.112689,1.357746,-1.637143,0.4584719,-0.8886147,0.006538458,0.01116993,305.417,181.37,180.1363,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.122988,1.252412,-1.615563,0.01048696,-0.03382084,-0.999366,0.8091991,0,0,0
0.1323386,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.125159,1.254369,-1.641905,-0.005790189,0.002097116,0.9995736,-0.02854241,3.269708,180.6712,0.2595709,2.112671,1.357614,-1.637305,0.4582166,-0.8887393,0.00648583,0.01174225,305.45,181.4748,180.0758,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.096563,1.252104,-1.616158,0.04171121,-0.04079489,-0.9982898,0.8051088,0,0,0
0.1436762,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.125058,1.254386,-1.64197,-0.005972739,0.001902816,0.9995738,-0.02851369,3.266502,180.6915,0.2378563,2.112938,1.3577,-1.637425,0.4582675,-0.8887102,0.006600833,0.01189669,305.4432,181.4917,180.0819,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.096145,1.252145,-1.616077,0.04153287,-0.03962863,-0.9983358,0.8090702,0,0,0
