TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,locRayDirection_x,locRayDirection_y,locRayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3326197,0.9431603,2.823456,0.2335927,0.02011271,0.9524572,0.194564,338.8242,150.9489,7.964936,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3325922,0.9431568,2.82349,0.233532,0.02009009,0.9524873,0.1944918,338.8311,150.9584,7.958403,1.878398,1.620618,-1.954848,0.5284868,-0.843203,0.001572766,0.09852897,296.9309,201.2966,167.0511,1.878398,1.620618,-1.954848,0.5284868,-0.843203,0.001572766,0.09852897,296.9309,201.2966,167.0511,None,False,False,-0.3325922,0.9431568,2.82349,0.4526872,0.3611186,-0.8152715,0,0,1,0,0,0,0
0.02,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3309381,0.9420586,2.822769,0.2349762,0.02028352,0.9520686,0.1947825,338.8162,150.7693,8.024355,1.878475,1.620659,-1.954764,0.5286874,-0.8431172,0.002516544,0.09816632,296.8763,201.1175,167.2779,1.878475,1.620659,-1.954764,0.5286874,-0.8431172,0.002516544,0.09816632,296.8763,201.1175,167.2779,None,False,False,-0.3309381,0.9420586,2.822769,0.4553286,0.3613603,-0.8136919,0,0,1,0,0,0,0
0.0595889,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3305621,0.9418308,2.822827,0.2350703,0.02032831,0.9520307,0.1948495,338.8109,150.7554,8.034073,1.878406,1.620669,-1.954574,0.5296051,-0.842459,0.001457194,0.09888957,296.7945,201.4811,166.8847,1.878406,1.620669,-1.954574,0.5296051,-0.842459,0.001457194,0.09888957,296.7945,201.4811,166.8847,None,False,False,-0.3305621,0.9418308,2.822827,0.4555102,0.3614482,-0.8135513,0,0,1,0,0,0,0
0.0763982,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.329733,0.9414648,2.822967,0.2350113,0.02053091,0.9520549,0.1947813,338.8239,150.76,8.053941,1.878425,1.620683,-1.954527,0.5298262,-0.8423085,0.001186659,0.09899108,296.7742,201.5554,166.796,1.878425,1.620683,-1.954527,0.5298262,-0.8423085,0.001186659,0.09899108,296.7742,201.5554,166.796,None,False,False,-0.329733,0.9414648,2.822967,0.4554854,0.3612349,-0.8136599,0,0,1,0,0,0,0
0.0920043,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3296881,0.9413872,2.823053,0.2349822,0.02036989,0.9520311,0.1949494,338.8001,150.7634,8.040359,1.878489,1.620751,-1.954397,0.5299523,-0.8422933,0.001514853,0.0984397,296.7411,201.4061,166.9261,1.878489,1.620751,-1.954397,0.5299523,-0.8422933,0.001514853,0.0984397,296.7411,201.4061,166.9261,None,False,False,-0.3296881,0.9413872,2.823053,0.4553629,0.3616227,-0.8135562,0,0,1,0,0,0,0
0.1033397,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3299148,0.9414832,2.823096,0.2349706,0.02041269,0.9520311,0.1949588,338.8002,150.7638,8.045403,1.87857,1.620695,-1.954394,0.5299679,-0.8423183,0.001754164,0.09813675,296.7285,201.3121,167.0145,1.87857,1.620695,-1.954394,0.5299679,-0.8423183,0.001754164,0.09813675,296.7285,201.3121,167.0145,None,False,False,-0.3299148,0.9414832,2.823096,0.4553579,0.3616209,-0.8135598,0,0,1,0,0,0,0
0.1147643,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3298874,0.9414493,2.823143,0.2349425,0.02040157,0.9520267,0.1950156,338.7933,150.7664,8.045436,1.878624,1.620706,-1.954387,0.5300046,-0.8423209,0.001966431,0.09791261,296.7151,201.2401,167.0853,1.878624,1.620706,-1.954387,0.5300046,-0.8423209,0.001966431,0.09791261,296.7151,201.2401,167.0853,None,False,False,-0.3298874,0.9414493,2.823143,0.4553002,0.3617337,-0.8135419,0,0,1,0,0,0,0
0.1366366,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3297724,0.9414223,2.823207,0.2348496,0.02050364,0.952066,0.1949246,338.8057,150.7777,8.052016,1.878734,1.620518,-1.95444,0.5301185,-0.8423069,0.002442932,0.09740411,296.6809,201.0797,167.2424,1.878734,1.620518,-1.95444,0.5301185,-0.8423069,0.002442932,0.09740411,296.6809,201.0797,167.2424,None,False,False,-0.3297724,0.9414223,2.823207,0.4551779,0.3615317,-0.8137001,0,0,1,0,0,0,0
0.1590387,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3297727,0.9414203,2.8232,0.2349744,0.02041128,0.9520456,0.1948834,338.8087,150.7649,8.042706,1.878881,1.620635,-1.95454,0.5301279,-0.842334,0.002462676,0.09711789,296.6749,201.0162,167.2836,1.878881,1.620635,-1.95454,0.5301279,-0.842334,0.002462676,0.09711789,296.6749,201.0162,167.2836,None,False,False,-0.3297727,0.9414203,2.8232,0.4553684,0.3614835,-0.813615,0,0,1,0,0,0,0
