TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
0,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,-0.4283593,1.231361,-1.883659,0.9977823,-0.0658498,0.008775591,0.004156768
0.0863102,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4308149,1.23355,-1.880453,0.9962108,-0.08674596,0.002512678,0.005750711
0.1971713,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4306299,1.233383,-1.87938,0.9961535,-0.08739449,0.004403415,0.004609539
0.3080112,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4303902,1.233575,-1.87778,0.9958925,-0.08994393,0.007680657,0.007022657
0.4189875,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4271764,1.23057,-1.873521,0.996632,-0.08105921,0.005721774,0.0110193
0.5302738,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4232489,1.23042,-1.876116,0.9975004,-0.07014363,0.007577695,0.003920322
0.6413032,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4211339,1.234189,-1.880405,0.9969342,-0.07603964,0.0171543,0.006773318
0.745243,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4205229,1.234596,-1.882471,0.9969379,-0.07365463,0.02364834,0.01143567
0.8454875,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.42011,1.232666,-1.881443,0.9975438,-0.06348825,0.02816318,0.009086901
0.9456152,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4248465,1.233162,-1.880676,0.9977614,-0.06493847,0.01565157,0.00320791
1.056422,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4284427,1.229043,-1.877656,0.9989076,-0.04592615,-0.0009879832,-0.008577882
1.167308,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4301537,1.221345,-1.875526,0.9995185,-0.02557362,0.01338034,-0.01139664
1.278009,0,0,-2.4,1,0,0,0,0,0,-2.4,1,0,0,0,-0.4309469,1.215055,-1.878248,0.9997071,-0.01838715,0.01267644,-0.009334422
