TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.172524,1.253648,-2.096777,0.09178971,0.02649906,0.9787647,0.1813624,339.5031,168.341,5.216729
0.0650139,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.172418,1.262017,-2.091309,0.09811564,0.02839736,0.9800401,0.1705531,340.8086,167.6497,5.415274
0.1653106,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.169824,1.272633,-2.076135,0.09776486,0.01777409,0.981477,0.163796,341.455,167.962,4.047399
0.2760378,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.167128,1.280663,-2.060361,0.1024595,0.003099717,0.9784915,0.1790165,339.5312,167.5722,2.61537
0.3861692,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.165407,1.279024,-2.049087,0.1048537,0.005345367,0.9806352,0.1653232,341.1481,167.3397,2.734773
0.4985524,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.159399,1.276482,-2.029183,0.107528,0.01149787,0.9857536,0.1288235,345.4335,167.168,2.983325
0.6086017,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.150613,1.276666,-2.00599,0.1014242,0.00781959,0.9879948,0.1162681,346.8113,168.0118,2.297817
0.7086211,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.139884,1.272115,-1.987999,0.08539633,0.00135173,0.9929571,0.08210879,350.6288,170.0896,0.9702929
0.8119455,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.12863,1.270187,-1.968248,0.06888559,-0.001450837,0.9951311,0.07047676,351.9251,172.0524,0.3947959
0.9121782,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.1195,1.267134,-1.952263,0.05903988,-0.006217941,0.9965236,0.0584494,353.2679,173.2375,359.6832
1.012399,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.112765,1.262139,-1.938751,0.05644001,-0.004988061,0.9976396,0.03879331,355.5283,173.5366,359.6797
1.122884,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.109159,1.259326,-1.925444,0.05766364,0.008380249,0.9980407,0.02279426,357.4476,173.3619,1.110214
1.234358,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.103382,1.246509,-1.918841,0.04263839,0.01186446,0.9988218,-0.01990833,2.337257,175.1369,1.261845
1.334472,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.097718,1.227712,-1.905274,0.03793994,0.02357579,0.997718,-0.05063308,5.901812,175.7729,2.489261
1.436321,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.09992,1.229445,-1.903323,0.03992946,-0.00308025,0.9976496,-0.05560227,6.355506,175.3822,359.3897
1.537848,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.100219,1.23926,-1.908387,0.03585105,-0.009862521,0.9942134,-0.1007834,11.51903,175.7113,358.4305
1.647586,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.098028,1.249031,-1.928781,0.03314922,-0.006644858,0.9942666,-0.1014441,11.61208,176.0623,358.8336
1.757369,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.095786,1.25593,-1.954333,0.01069289,-0.01125825,0.9963011,-0.08451716,9.681337,178.6508,358.5909
1.863003,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.091454,1.260348,-1.985182,-0.004189817,-0.008970227,0.9962376,-0.08609642,9.882031,180.3957,359.0024
1.967785,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.087498,1.268399,-2.025889,-0.007921605,-0.01532254,0.9974446,-0.06933129,7.964007,180.7914,358.2949
2.078473,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.083492,1.287607,-2.06432,-0.01309917,-0.01229278,0.9985524,-0.05069995,5.829882,181.435,358.6624
2.181391,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.080046,1.327451,-2.096851,-0.002743926,-0.004463085,0.9984726,-0.05500126,6.307187,180.2876,359.5036
2.28954,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.073491,1.397096,-2.122418,0.000811391,-0.003096259,0.9984205,-0.0560918,6.4307,179.8866,359.6383
2.389853,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.062532,1.470286,-2.120912,-0.01776586,-0.01025759,0.9975005,-0.06761619,7.773588,181.9697,358.9555
2.490615,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.056861,1.548383,-2.107274,-0.02843186,-0.005521712,0.9963952,-0.07973592,9.1611,183.2389,359.6245
2.601044,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.05215,1.617278,-2.080222,-0.02029358,-0.003224562,0.9973658,-0.06956497,7.983871,182.3167,359.7912
2.711677,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.045043,1.640635,-2.054593,-0.01093579,-0.01229613,0.9985927,-0.05041809,5.794639,181.1865,358.6491
2.822491,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.026846,1.642589,-2.040361,-0.01124422,-0.003465012,0.9980128,-0.06190445,7.10227,181.2712,359.681
2.933739,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.010759,1.648435,-2.038457,-0.01884532,-0.000560577,0.998147,-0.05785512,6.633443,182.1668,0.06123055
