TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.268987,0.8684303,-2.461568,-0.04114423,0.00712638,0.9987365,0.02796097,356.7646,184.6987,0.6848692,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.268947,0.8684312,-2.461553,-0.04115888,0.007151154,0.9987366,0.02793106,356.7679,184.7003,0.6878013,2.01573,0.8161832,-2.190568,0.1882923,-0.2318804,0.6786972,0.6709304,273.5879,242.6041,262.8105,1.853059,0.8156278,-2.248381,0.147203,-0.1492405,0.6715825,0.7106585,273.1709,344.9106,170.8802
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.268903,0.8683344,-2.461453,-0.04118457,0.007228421,0.9987305,0.02808995,356.7494,184.703,0.6958333,2.0158,0.8160715,-2.190547,0.1882283,-0.2319126,0.6787041,0.6709302,273.5959,242.618,262.7993,1.852382,0.8157055,-2.24897,0.1468809,-0.149126,0.6716767,0.7106602,273.1643,344.6174,171.2095
0.0551315,1.614412,0.8638423,-2.414952,0.1591623,0.00477273,0.9817971,0.1035332,348.3591,161.3309,2.476969,1.779141,0.8272539,-2.569017,-0.1875974,-0.1550132,0.9445268,0.2205613,338.9924,206.9274,336.2765,1.26888,0.8683403,-2.461473,-0.0412216,0.007281067,0.9987273,0.02813426,356.744,184.707,0.7015406,2.015934,0.8162766,-2.190478,0.1882113,-0.2320218,0.6786967,0.6709048,273.6061,242.6199,262.7895,1.853007,0.8163667,-2.248727,0.1467766,-0.1491141,0.6718428,0.7105272,273.1406,344.4604,171.3763
0.0861996,1.614711,0.8638995,-2.414738,0.1592926,0.004767692,0.9817777,0.1035171,348.3611,161.3157,2.47764,1.779258,0.8273186,-2.568983,-0.1875506,-0.1550111,0.9445333,0.2205744,338.9897,206.9223,336.2773,1.268866,0.8683084,-2.461406,-0.04113583,0.007253934,0.9987328,0.02807334,356.7512,184.6973,0.6989943,2.015811,0.8161811,-2.190491,0.1882367,-0.232079,0.6787176,0.6708567,273.6097,242.536,262.8663,1.853129,0.8164895,-2.24876,0.1482316,-0.1489165,0.671782,0.710324,273.1239,346.8482,168.8844
0.1025817,1.614925,0.8640317,-2.414634,0.159307,0.004782989,0.9817724,0.103544,348.3584,161.3136,2.480096,1.779212,0.8273777,-2.568989,-0.187581,-0.1549913,0.9445325,0.2205664,338.9908,206.9252,336.2793,1.268843,0.8683656,-2.46146,-0.04121877,0.007276438,0.9987296,0.02805944,356.7526,184.7068,0.701369,2.015817,0.8161539,-2.190488,0.1882775,-0.2320643,0.6787326,0.6708351,273.6058,242.476,262.9241,1.853278,0.8165584,-2.248755,0.148221,-0.14894,0.6717692,0.7103334,273.1257,346.7977,168.9338
0.1154605,1.614435,0.86386,-2.415001,0.1592506,0.004726924,0.9817845,0.1035193,348.36,161.3211,2.472497,1.779308,0.8273357,-2.568987,-0.1875828,-0.1550386,0.9445286,0.2205479,338.9942,206.9257,336.2744,1.268881,0.8684378,-2.461495,-0.04125761,0.007233965,0.9987273,0.02809454,356.7487,184.7113,0.6962094,2.015835,0.8161296,-2.190553,0.1883239,-0.2320843,0.6787636,0.6707838,273.6049,242.3628,263.0317,1.853582,0.8170215,-2.249118,0.1465714,-0.1489488,0.6720763,0.7103834,273.1103,344.3825,171.4852
0.1323896,1.614353,0.8637543,-2.415041,0.159286,0.004778331,0.981777,0.1035333,348.3595,161.3162,2.4791,1.779218,0.8273336,-2.568963,-0.1876055,-0.1550641,0.9445152,0.2205684,338.9932,206.9297,336.2701,1.268813,0.8683852,-2.461486,-0.04121218,0.007321035,0.9987265,0.02816662,356.7401,184.7058,0.7060019,2.015516,0.8159002,-2.190586,0.1882091,-0.2320807,0.6787885,0.6707922,273.614,242.3725,263.0319,1.852941,0.8165975,-2.248961,0.1464304,-0.148895,0.6718535,0.7106344,273.1491,344.3054,171.5782
0.1444596,1.614092,0.8635823,-2.415142,0.1593368,0.00473278,0.9817752,0.1034746,348.3654,161.3111,2.473331,1.779244,0.8272898,-2.56902,-0.1875713,-0.1550448,0.9445239,0.2205737,338.9913,206.9254,336.2729,1.268866,0.8683617,-2.461477,-0.04122669,0.007327543,0.9987276,0.02810545,356.7471,184.7075,0.7069866,2.015474,0.8158724,-2.190617,0.1882645,-0.2320094,0.6787512,0.670839,273.6027,242.4506,262.9554,1.852273,0.8160701,-2.249093,0.1463557,-0.148871,0.6716782,0.7108206,273.1785,344.2691,171.6225
0.1662314,1.614169,0.8635995,-2.415095,0.1593319,0.004754557,0.981775,0.1034821,348.3649,161.3114,2.475918,1.779446,0.8273175,-2.569058,-0.1875746,-0.1549908,0.9445426,0.2205287,338.9948,206.923,336.2809,1.268829,0.8682919,-2.461456,-0.04128127,0.007403162,0.9987213,0.02822996,356.7324,184.7135,0.7148945,2.015553,0.8159527,-2.190615,0.1882533,-0.2320317,0.6787479,0.6708378,273.6053,242.4604,262.9445,1.851984,0.8157514,-2.24914,0.1462041,-0.1488031,0.671598,0.7109417,273.1953,344.1754,171.7343
0.1904709,1.614322,0.8637733,-2.414963,0.1592447,0.00469559,0.9817861,0.103514,348.36,161.3222,2.468726,1.779464,0.8273519,-2.56901,-0.1875843,-0.154937,0.9445429,0.2205571,338.9904,206.9241,336.286,1.268853,0.8683143,-2.461368,-0.04121197,0.00733906,0.9987274,0.02812971,356.7443,184.7057,0.7082415,2.015541,0.815995,-2.190622,0.1882247,-0.2320161,0.678722,0.6708773,273.6054,242.5483,262.8604,1.851632,0.8155427,-2.249276,0.1460323,-0.1487079,0.6714824,0.7111061,273.2184,344.1028,171.8288
0.2105451,1.614462,0.8638755,-2.414973,0.1593277,0.004738051,0.9817771,0.1034693,348.3661,161.3122,2.473721,1.779466,0.8273373,-2.569006,-0.1876145,-0.1549966,0.944522,0.2205793,338.9904,206.9298,336.2774,1.268834,0.8683268,-2.461299,-0.04121992,0.007308335,0.9987301,0.02803261,356.7555,184.7068,0.7051472,2.015811,0.8161766,-2.190558,0.1882333,-0.2320558,0.6787662,0.6708165,273.6094,242.4203,262.9843,1.851436,0.8153478,-2.249296,0.1459184,-0.1486966,0.6714287,0.7111825,273.2296,343.9734,171.9686
0.2218596,1.614391,0.863877,-2.414966,0.1593024,0.004739217,0.9817811,0.1034708,348.3659,161.3151,2.473582,1.779557,0.8274156,-2.568961,-0.1875553,-0.1550286,0.944523,0.2206023,338.9873,206.9242,336.274,1.268872,0.8683808,-2.461363,-0.04121979,0.007222412,0.9987286,0.02810688,356.7474,184.707,0.6949505,2.015901,0.8162556,-2.190572,0.1883072,-0.232065,0.6788177,0.6707405,273.6061,242.2403,263.1572,1.851304,0.8153202,-2.249324,0.1456711,-0.1486766,0.6714277,0.7112383,273.2354,343.6647,172.2994
0.2433944,1.614253,0.8637722,-2.415055,0.1593633,0.00472831,0.9817766,0.1034204,348.3716,161.3084,2.472071,1.77947,0.8274035,-2.569003,-0.1875812,-0.1550439,0.9445207,0.2205797,338.9908,206.9268,336.2725,1.268835,0.8683134,-2.461293,-0.04121408,0.007353931,0.9987275,0.02811918,356.7454,184.7059,0.7099885,2.015829,0.8162711,-2.190532,0.1882947,-0.232021,0.6787456,0.6708322,273.6012,242.443,262.9594,1.851592,0.8156165,-2.249506,0.1445089,-0.1486824,0.671541,0.7113673,273.2452,342.0477,174.0122
0.2656395,1.614033,0.8636687,-2.415144,0.1593646,0.004702751,0.9817768,0.1034174,348.3714,161.3086,2.469095,1.779652,0.8274895,-2.568941,-0.1875611,-0.1550388,0.9445265,0.2205753,338.9907,206.9241,336.2737,1.26885,0.8683197,-2.461357,-0.04123878,0.007286564,0.9987262,0.02814595,356.7426,184.709,0.7020601,2.015675,0.8160909,-2.1906,0.1883006,-0.2320183,0.6788002,0.6707762,273.6021,242.3006,263.1015,1.8513,0.8153219,-2.249531,0.1444197,-0.1487093,0.6715121,0.7114071,273.2516,341.8955,174.1695
0.2879045,1.61402,0.8636258,-2.415219,0.1593891,0.00468479,0.9817877,0.103277,348.3871,161.3068,2.464572,1.779516,0.8274717,-2.568929,-0.1875268,-0.1550219,0.9445488,0.220521,338.9953,206.9177,336.2786,1.268899,0.8683671,-2.461367,-0.04121118,0.007233714,0.9987288,0.0281114,356.7469,184.706,0.6962531,2.016172,0.8163784,-2.190408,0.1880807,-0.2319896,0.6785531,0.6710978,273.6093,243.0751,262.348,1.851418,0.8155049,-2.249575,0.1437634,-0.1486214,0.671496,0.7115735,273.2717,341.1519,174.9746
0.4501795,1.613246,0.8632935,-2.415445,0.1593966,0.004686122,0.981784,0.1033005,348.3845,161.3057,2.465276,1.779045,0.8272049,-2.568999,-0.1877187,-0.155021,0.9445212,0.2204763,339.0049,206.9391,336.2763,1.268873,0.8683876,-2.461394,-0.04114646,0.007304622,0.9987308,0.02811502,356.7462,184.6983,0.7045758,2.016012,0.8164349,-2.190478,0.1880743,-0.2318078,0.6788936,0.6708179,273.6041,242.2574,263.1818,1.851921,0.8160381,-2.249247,0.1436669,-0.1491055,0.6716758,0.711322,273.243,340.2363,175.8583
0.479848,1.613586,0.8633537,-2.415297,0.1594292,0.004739969,0.9817697,0.1033832,348.3762,161.3008,2.47347,1.77914,0.8272307,-2.568984,-0.1877006,-0.1549923,0.9445333,0.2204604,339.0054,206.9357,336.2807,1.268835,0.8685042,-2.461404,-0.04113694,0.007415611,0.9987259,0.02827313,356.7275,184.6968,0.7165929,2.015872,0.8163145,-2.190517,0.1880508,-0.2319106,0.6789493,0.6707326,273.6163,242.1053,263.327,1.851873,0.815809,-2.249187,0.1436096,-0.1492072,0.671612,0.7113725,273.2539,340.0319,176.0589
0.4960317,1.613478,0.8633122,-2.415313,0.15941,0.004733504,0.9817767,0.1033466,348.3802,161.3033,2.471779,1.77925,0.8273042,-2.568992,-0.1876768,-0.154986,0.9445396,0.220458,339.0049,206.9326,336.2821,1.268903,0.868446,-2.46141,-0.04115296,0.007469693,0.9987244,0.02829003,356.7253,184.6985,0.7226613,2.015876,0.8163289,-2.190518,0.1880771,-0.2319091,0.6789202,0.6707552,273.6133,242.163,263.2672,1.851858,0.8158156,-2.249176,0.1435709,-0.1492488,0.6716174,0.7113664,273.254,339.9158,176.1748
0.5099836,1.613147,0.863148,-2.415403,0.1594118,0.004714543,0.9817744,0.1033667,348.3775,161.3032,2.470018,1.779285,0.8273671,-2.568966,-0.1876367,-0.1550155,0.9445451,0.2204478,339.0059,206.928,336.2798,1.268886,0.8684112,-2.461427,-0.04124525,0.007494123,0.9987192,0.02833088,356.7205,184.709,0.724968,2.016037,0.8164012,-2.190496,0.1881952,-0.2318419,0.6790318,0.6706324,273.602,241.8201,263.606,1.851899,0.816059,-2.24925,0.1429407,-0.14917,0.6716258,0.711502,273.2708,339.196,176.9533
