Time,X,Y,Z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,118.1375752,-5.297241584,10.90991188,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5,0,-1.64,0,0,1,0,0,180,0,,-180,0,-180,,-61.86242475,5.297241584,169.0900881,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.847688,1.826186,-1.937088,0.1008267,-0.2779684,0.4257957,0.8551407,308.3455,321.1058,185.9465,,128.3455,141.1058,5.9465,,-10.20792475,146.4030416,-4.963411881,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,1.84785,1.822349,-1.923093,0.1199791,-0.258416,0.4156039,0.8637706,308.7411,326.3579,180.6893,,128.7411,146.3579,0.6893,,-10.60352475,151.6551416,-10.22061188,,18.4802614,233.8700301,-224.4588071,324.6821017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0514193,1.847475,1.815724,-1.904902,0.1401068,-0.2309708,0.4063127,0.8728875,309.2809,332.8031,174.8435,,129.2809,152.8031,-5.1565,,-11.14332475,158.1003416,-16.06641188,,22.02632427,142.2030576,-115.6453217,184.6096124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0659883,1.846985,1.813153,-1.899515,0.1404126,-0.2246785,0.4033961,0.8758284,309.6724,333.958,174.1845,,129.6724,153.958,-5.8155,,-11.53482475,159.2552416,-16.72541188,,32.8738772,61.19376429,-26.16028427,74.22754922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0796884,1.846278,1.810525,-1.894738,0.1382468,-0.2207237,0.3998037,0.8788207,310.205,334.5487,174.0874,,130.205,154.5487,-5.9126,,-12.06742475,159.8459416,-16.82251188,,45.35915646,17.85134437,25.61213497,55.06455328,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.096414,1.845094,1.805691,-1.88622,0.1298095,-0.2186754,0.3947969,0.8828737,311.0721,334.4247,175.0627,,131.0721,154.4247,-4.9373,,-12.93452475,159.7219416,-15.84721188,,34.43483655,-38.50270987,80.53272399,95.67516015,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1077372,1.843951,1.803395,-1.883538,0.1232389,-0.2208397,0.3946603,0.8833376,311.2649,333.6367,176.2262,,131.2649,153.6367,-3.7738,,-13.12732475,158.9339416,-14.68371188,,18.52463018,-60.2644473,93.24638949,112.560449,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.130367,1.84176,1.799791,-1.879096,0.1117838,-0.2235057,0.393638,0.8846461,311.718,332.484,178.1212,,131.718,152.484,-1.8788,,-13.58042475,157.7812416,-12.78871188,,34.16591279,-34.01911474,70.00710917,85.00355933,,4.577520447,21.91311635,0.218183876,22.38718307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1522488,1.840168,1.798141,-1.87659,0.1015511,-0.2230079,0.3874887,0.8887111,312.7751,332.1098,179.3526,,132.7751,152.1098,-0.6474,,-14.63752475,157.4070416,-11.55731188,,32.90403837,-10.57904345,46.80909769,58.18662671,,-0.696248322,-9.205980812,29.01272146,30.44622885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1635869,1.839479,1.797926,-1.877158,0.09804131,-0.2220956,0.3867303,0.8896635,312.9735,332.0638,179.776,,132.9735,152.0638,-0.224,,-14.83592475,157.3610416,-11.13391188,,-8.825816438,13.18778913,14.14796681,21.25976911,,-6.575128871,-38.49058689,54.93169086,67.3962036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1852511,1.838051,1.79878,-1.881376,0.09876364,-0.2170268,0.3928322,0.8881599,312.212,332.7231,179.58,,132.212,152.7231,-0.42,,-14.07442475,158.0203416,-11.32991188,,-39.2389987,37.0970379,-21.47494889,58.11250012,,-12.9533074,-60.31949909,73.36031907,95.85388128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1967841,1.836616,1.799236,-1.885034,0.1009751,-0.2140703,0.3964114,0.8870378,311.7123,333.2278,179.189,,131.7123,153.2278,-0.811,,-13.57472475,158.5250416,-11.72091188,,-40.99672986,27.61415023,-21.34125045,53.83978197,,-20.07990948,-76.33700433,85.54295988,116.3964732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2187778,1.833818,1.801143,-1.893329,0.1031226,-0.2121414,0.4028606,0.8843445,310.8619,333.48,178.9959,,130.8619,153.48,-1.0041,,-12.72432475,158.7772416,-11.91401188,,-42.45321299,-18.89166754,12.84682353,48.21007437,,-27.22374942,-85.12191048,90.96016437,127.5171505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2302417,1.832452,1.803003,-1.899015,0.1030336,-0.2146764,0.4071808,0.8817607,310.3318,332.9154,179.3911,,130.3318,152.9154,-0.6089,,-12.19422475,158.2126416,-11.51881188,,-47.74651341,-85.88967829,68.71475714,119.9103174,,-33.17570981,-88.43172959,92.04675189,131.8840515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2513575,1.829465,1.806115,-1.911757,0.09770354,-0.2257144,0.4170574,0.8749686,309.2918,330.3281,181.5651,,129.2918,150.3281,1.5651,,-11.15422475,155.6253416,-9.344811881,,-50.07873259,-170.6782329,149.8701815,232.5940884,,-39.17983096,-90.31730214,91.27756909,134.2530031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.262708,1.828297,1.808013,-1.919388,0.09107403,-0.2357472,0.4238818,0.8697431,308.714,327.8443,183.7987,,128.714,147.8443,3.7987,,-10.57642475,153.1415416,-7.111211881,,-54.39912287,-238.4968214,221.3012806,329.870058,,-43.51563173,-92.13348172,90.07349665,135.9978803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2845172,1.826785,1.812123,-1.935541,0.07513762,-0.2559796,0.4406669,0.8571123,307.4514,322.2139,189.1598,,127.4514,142.2139,9.1598,,-9.313824752,147.5111416,-1.750111881,,-50.04244373,-222.5820942,213.4118824,312.3966491,,-43.11825021,-101.46908,97.15208168,146.9478978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
