Time,x,y,z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,127.1532442,-1.122246215,4.673249402,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5,0,-1.64,0,0,1,0,0,180,0,,-180,0,-180,,-52.84675578,1.122246215,175.3267506,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.891119,1.779465,-2.052659,0.4426842,-0.896008,0.03448589,-0.003331871,307.5269,176.5644,186.1019,,127.5269,-3.4356,6.1019,,-0.373655777,-2.313353785,1.428650598,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,1.891064,1.779588,-2.052346,0.4434179,-0.8956429,0.03457155,-0.003019853,307.4316,176.598,186.1016,,127.4316,-3.402,6.1016,,-0.278355777,-2.279753785,1.428350598,,-3.191223676,-2.723248677,4.445547409,6.112518603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0446685,1.891085,1.779623,-2.052084,0.4437895,-0.8954171,0.03559056,-0.003521046,307.3917,176.4222,186.3213,,127.3917,-3.5778,6.3213,,-0.238455777,-2.455553785,1.648050598,,0.230388507,-7.352544436,8.450165604,11.20349442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0591039,1.891106,1.779608,-2.052036,0.4435932,-0.8954929,0.03608226,-0.003946101,307.4217,176.3128,186.4367,,127.4217,-3.6872,6.4367,,-0.268455777,-2.564953785,1.763450598,,1.785250723,-5.173882742,6.03040982,8.14383358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0786043,1.891234,1.779586,-2.051786,0.4433863,-0.8955777,0.03650658,-0.004077953,307.4508,176.2588,186.516,,127.4508,-3.7412,6.516,,-0.297555777,-2.618953785,1.842750598,,0.893783602,0.083178626,0.800021113,1.2024149,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0901184,1.891314,1.779707,-2.051506,0.4433481,-0.8956009,0.03641748,-0.003925277,307.4542,176.2926,186.4876,,127.4542,-3.7074,6.4876,,-0.300955777,-2.585153785,1.814350598,,0.518652817,5.33876219,-5.247306227,7.503706091,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1124899,1.891414,1.77985,-2.051053,0.4431581,-0.8957267,0.03569132,-0.00327549,307.4708,176.4658,186.308,,127.4708,-3.5342,6.308,,-0.317555777,-2.411953785,1.634750598,,0.822525481,6.7075114,-6.964547584,9.704235179,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1348589,1.891547,1.779949,-2.050726,0.4429577,-0.8958485,0.03515879,-0.002804962,307.491,176.5927,186.176,,127.491,-3.4073,6.176,,-0.337755777,-2.285053785,1.502750598,,1.696969544,2.451794101,-2.028920995,3.606594009,,0.108876079,-0.05849165,0.550068304,0.563782239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1578626,1.891421,1.779868,-2.050725,0.4425173,-0.8960547,0.0354475,-0.00281027,307.5483,176.575,186.2184,,127.5483,-3.425,6.2184,,-0.395055777,-2.302753785,1.545150598,,1.543662554,-2.042217598,3.187067781,4.087902621,,0.252749312,-0.018456458,0.335126436,0.420157808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1794916,1.891635,1.77997,-2.050302,0.442441,-0.8960721,0.03594219,-0.00300005,307.5612,176.5033,186.3164,,127.5612,-3.4967,6.3164,,-0.407955777,-2.374453785,1.643150598,,0.078490256,-0.703864696,1.694656692,1.836694731,,0.162828501,0.648979528,-0.419201002,0.789567621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2015651,1.891343,1.779943,-2.050545,0.4425033,-0.8960437,0.03590362,-0.002762136,307.5515,176.5454,186.2912,,127.5515,-3.4546,6.2912,,-0.398255777,-2.332353785,1.617950598,,-0.233331168,3.006577763,-2.519417179,3.929556744,,-0.02603936,1.281491165,-1.038362777,1.649574161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2236066,1.891774,1.780064,-2.04993,0.4424775,-0.8960703,0.03558135,-0.002385843,307.5509,176.6359,186.2053,,127.5509,-3.3641,6.2053,,-0.397655777,-2.241853785,1.532050598,,-0.378817587,3.148566273,-3.130415559,4.456060358,,-0.111775745,1.367235769,-1.051001371,1.728129436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2456489,1.892179,1.780265,-2.049287,0.4425877,-0.8960254,0.03535343,-0.002200654,307.5348,176.6842,186.1532,,127.5348,-3.3158,6.1532,,-0.381555777,-2.193553785,1.479950598,,-0.89556261,-0.253375372,-0.167320738,0.945636134,,-0.127956549,0.987343648,-0.455117522,1.094692795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2683695,1.892563,1.780406,-2.048674,0.4427958,-0.8959174,0.035466,-0.002489756,307.5107,176.6229,186.1993,,127.5107,-3.3771,6.1993,,-0.357455777,-2.254853785,1.526050598,,-1.455399421,-3.247648277,2.600947816,4.40798552,,-0.115895584,0.581549879,0.105959951,0.602378253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
