Time,X,Y,Z,wquat,xquat,yquat,zquat,xrot,yrot,zrot,,,,,,130.4695428,-16.75916874,22.05932882,,v_roll,v_pitch,v_yaw,V,,vxavg,vyavg,vzavg,avg speed,,Phase,GFO,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5,0,-1.64,0,0,1,0,0,180,0,,-180,0,-180,,-49.53045721,16.75916874,157.9406712,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.927704,1.789164,-2.207767,0.3228918,-0.9375476,0.1091488,-0.06951162,323.8232,165.5938,198.0086,,143.8232,-14.4062,18.0086,,-13.35365721,2.352968736,-4.050728825,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,1.927139,1.789204,-2.207311,0.3230232,-0.9375488,0.1089876,-0.06913696,323.7983,165.6461,197.9753,,143.7983,-14.3539,17.9753,,-13.32875721,2.405268736,-4.084028825,,-1.165963114,1.300532524,-0.574703395,1.838787324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0415286,1.926784,1.789246,-2.207206,0.3232191,-0.9374797,0.1090442,-0.0690699,323.7749,165.6458,197.9864,,143.7749,-14.3542,17.9864,,-13.30535721,2.404968736,-4.072928825,,0.570153158,-3.758997684,3.379348678,5.086760826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0561207,1.926267,1.78918,-2.206904,0.323116,-0.9374076,0.1095277,-0.06976177,323.8074,165.5363,198.0775,,143.8074,-14.4637,18.0775,,-13.33785721,2.295468736,-3.981828825,,2.426412333,-6.237382988,4.695349131,8.175495508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0689559,1.926021,1.789155,-2.206771,0.3229298,-0.9374139,0.109727,-0.07022513,323.8411,165.4725,198.1179,,143.8411,-14.5275,18.1179,,-13.37155721,2.231668736,-3.941428825,,1.89194834,-4.154544521,2.326915232,5.12388946,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0916615,1.925628,1.789043,-2.206514,0.3228114,-0.9373998,0.1098322,-0.07079142,323.8674,165.3967,198.1521,,143.8674,-14.6033,18.1521,,-13.39785721,2.155868736,-3.907228825,,1.01099564,-2.996375263,0.551892733,3.210134342,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.113776,1.925207,1.788804,-2.206219,0.3227078,-0.9374194,0.1096222,-0.07132762,323.8865,165.338,198.1432,,143.8865,-14.662,18.1432,,-13.41695721,2.097168736,-3.916128825,,0.773344257,-4.542234725,0.892925458,4.693322225,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1360307,1.924762,1.788684,-2.205987,0.3227526,-0.9373208,0.1096393,-0.07238626,323.9017,165.1949,198.1919,,143.9017,-14.8051,18.1919,,-13.43215721,1.954068736,-3.867428825,,1.048862938,-7.064469797,2.88309232,7.70188732,,0.637781208,-0.978882634,-0.663084715,1.343375383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1579431,1.924372,1.788606,-2.20572,0.3227137,-0.937215,0.1098516,-0.07359697,323.9327,165.0262,198.2703,,143.9327,-14.9738,18.2703,,-13.46315721,1.785368736,-3.789028825,,0.773312501,-6.039428691,1.581993427,6.290899327,,0.780819916,0.121256387,-1.547323418,1.737409742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
