TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,locRayDirection_x,locRayDirection_y,locRayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.2525892,0.9651396,2.798389,0.2491683,-0.01556541,0.9618254,0.1120934,347.092,150.7804,1.523659,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.2526178,0.9651545,2.798382,0.2491159,-0.01569019,0.9618484,0.1119947,347.0993,150.789,1.505878,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.2277925,1.067331,2.396194,-0.03625565,0.03521242,0.7474239,0.6624222,276.8922,183.6051,2.198801,B1,False,False,-0.2526178,0.9651545,2.798382,0.475709,0.2232613,-0.8507969,0,0,1,0,2.924,2.2,-3
0.02,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.2494426,0.9634699,2.798759,0.2491687,-0.01598,0.9617989,0.1122611,347.0613,150.7839,1.481917,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.2279565,1.067306,2.396232,-0.03631348,0.03512988,0.7472103,0.6626644,276.8553,183.703,2.09884,B1,False,False,-0.2494426,0.9634699,2.798759,0.4757124,0.2239087,-0.8506248,0,0,1,0,2.924,2.2,-3
0.0502053,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2498931,0.9636834,2.798777,0.2492509,-0.01601196,0.9617855,0.1121885,347.0686,150.7749,1.477239,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.2283523,1.067083,2.396217,-0.03552645,0.03530724,0.7471473,0.6627686,276.8411,183.0249,2.727256,B1,False,False,-0.2498931,0.9636834,2.798777,0.475859,0.2237845,-0.8505755,0,0,1,0,2.924,2.2,-3
0.0660212,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2498109,0.9636557,2.798737,0.2492146,-0.01600908,0.9617954,0.1121851,347.069,150.7793,1.476966,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.22842,1.067065,2.396205,-0.03587941,0.03578985,0.7474023,0.6624361,276.8888,182.9705,2.849735,B1,False,False,-0.2498109,0.9636557,2.798737,0.4757949,0.2237777,-0.8506132,0,0,1,0,2.924,2.2,-3
0.0799153,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2498742,0.9636671,2.798714,0.2491606,-0.01600009,0.9618095,0.1121859,347.0691,150.7857,1.477265,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.2284982,1.067081,2.39623,-0.03585126,0.0362251,0.7477807,0.6619867,276.9561,182.6771,3.17644,B1,False,False,-0.2498742,0.9636671,2.798714,0.4757001,0.223776,-0.8506666,0,0,1,0,2.924,2.2,-3
0.0974992,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2495553,0.9635034,2.79872,0.2491905,-0.01604633,0.9618053,0.1121486,347.0719,150.783,1.471329,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.2287738,1.066959,2.396343,-0.03549319,0.03654013,0.7482419,0.6614674,277.0361,182.2339,3.6164,B1,False,False,-0.2495553,0.9635034,2.79872,0.4757463,0.2237275,-0.8506535,0,0,1,0,2.924,2.2,-3
0.1091069,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2495503,0.9634913,2.798712,0.2492014,-0.01608096,0.9617956,0.1122022,347.065,150.7816,1.469184,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.2288945,1.066868,2.396419,-0.03516544,0.03650997,0.7481679,0.6615703,277.0221,182.0211,3.800098,B1,False,False,-0.2495503,0.9634913,2.798712,0.4757529,0.2238459,-0.8506187,0,0,1,0,2.924,2.2,-3
0.1313493,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.2495531,0.9635416,2.798637,0.2491211,-0.01596318,0.9618146,0.1122345,347.0647,150.7896,1.482362,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.2290673,1.066718,2.396462,-0.03489655,0.03678043,0.7473422,0.6625022,276.8803,181.6384,4.182481,B1,False,False,-0.2495531,0.9635416,2.798637,0.4756333,0.2238512,-0.8506842,0,0,1,0,2.924,2.2,-3
0.1428732,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.249455,0.9634839,2.798632,0.2491142,-0.01598734,0.9618119,0.1122693,347.0601,150.7905,1.48059,-3.325104,2.645662,2.405671,0.2082829,0.08605056,0.9539875,-0.1977912,24.40767,156.4831,5.15304,-0.229275,1.066686,2.396502,-0.03511962,0.03672365,0.7467343,0.6631787,276.7755,181.8172,4.016809,B1,False,False,-0.249455,0.9634839,2.798632,0.4756123,0.2239293,-0.8506754,0,0,1,0,2.924,2.2,-3
