TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,locRayDirection_x,locRayDirection_y,locRayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3559144,0.9601043,2.775068,0.2648992,-0.05005945,0.9535899,0.1341221,343.6015,149.1605,358.5417,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3566692,0.9605221,2.775019,0.2649367,-0.05004566,0.953587,0.1340742,343.6072,149.156,358.5424,0.9859748,1.645738,1.490906,0.1406331,-0.1040855,0.6231073,0.7623161,281.6824,4.693043,155.2724,0.9859748,1.645738,1.490906,0.1406331,-0.1040855,0.6231073,0.7623161,281.6824,4.693043,155.2724,None,False,False,-0.3566692,0.9605221,2.775019,0.4918607,0.2822207,-0.8236653,0,0,1,0,0,0,0
0.02,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3567779,0.9607474,2.775002,0.2646176,-0.04972359,0.953671,0.1342266,343.6006,149.1891,358.5782,0.9854879,1.645597,1.490955,0.1402376,-0.1042666,0.6229368,0.7625036,281.6987,4.443965,155.5389,0.9854879,1.645597,1.490955,0.1402376,-0.1042666,0.6229368,0.7625036,281.6987,4.443965,155.5389,None,False,False,-0.3567779,0.9607474,2.775002,0.4913678,0.2823316,-0.8239214,0,0,1,0,0,0,0
0.0440836,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3560555,0.9602273,2.775026,0.2645854,-0.04987482,0.9536866,0.1341232,343.6075,149.1962,358.5572,0.9852524,1.64549,1.491046,0.1403102,-0.1041564,0.6227694,0.762642,281.7266,4.485147,155.5003,0.9852524,1.64549,1.491046,0.1403102,-0.1041564,0.6227694,0.762642,281.7266,4.485147,155.5003,None,False,False,-0.3560555,0.9602273,2.775026,0.4912844,0.2822152,-0.8240111,0,0,1,0,0,0,0
0.0604469,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3566025,0.9605667,2.774957,0.2645939,-0.04977943,0.9536607,0.134326,343.5878,149.1921,358.5746,0.9848242,1.645178,1.491104,0.1395066,-0.1044247,0.6224386,0.7630227,281.7612,4.026177,156.0029,0.9848242,1.645178,1.491104,0.1395066,-0.1044247,0.6224386,0.7630227,281.7612,4.026177,156.0029,None,False,False,-0.3566025,0.9605667,2.774957,0.4912923,0.2825456,-0.8238931,0,0,1,0,0,0,0
0.0744968,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3563974,0.9604437,2.774904,0.264622,-0.04972164,0.9536734,0.1342016,343.6035,149.1887,358.5778,0.9846964,1.644997,1.491098,0.1391618,-0.104297,0.6223765,0.7631538,281.7722,3.943932,156.1241,0.9846964,1.644997,1.491098,0.1391618,-0.104297,0.6223765,0.7631538,281.7722,3.943932,156.1241,None,False,False,-0.3563974,0.9604437,2.774904,0.4913805,0.2822839,-0.8239302,0,0,1,0,0,0,0
0.0881929,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3572743,0.9609217,2.77493,0.2646096,-0.05000045,0.9536735,0.1341212,343.6039,149.1951,358.5432,0.9845486,1.644869,1.491113,0.1391658,-0.1039176,0.6222607,0.7632992,281.8004,4.081155,156.0174,0.9845486,1.644869,1.491113,0.1391658,-0.1039176,0.6222607,0.7632992,281.8004,4.081155,156.0174,None,False,False,-0.3572743,0.9609217,2.77493,0.4912901,0.2822769,-0.8239865,0,0,1,0,0,0,0
0.1049603,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.356952,0.9607201,2.775018,0.2646478,-0.04992801,0.9536604,0.1341662,343.601,149.189,358.5536,0.9844618,1.644823,1.491072,0.1385652,-0.1028954,0.622073,0.7636998,281.8553,4.25225,155.9795,0.9844618,1.644823,1.491072,0.1385652,-0.1028954,0.622073,0.7636998,281.8553,4.25225,155.9795,None,False,False,-0.356952,0.9607201,2.775018,0.4913709,0.2823247,-0.823922,0,0,1,0,0,0,0
0.1163291,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3567029,0.9605844,2.775086,0.2645286,-0.04979882,0.9536858,0.1342689,343.5937,149.2009,358.5694,0.9843616,1.6448,1.491078,0.1373864,-0.1029126,0.622034,0.7639422,281.8542,3.818276,156.5095,0.9843616,1.6448,1.491078,0.1373864,-0.1029126,0.622034,0.7639422,281.8542,3.818276,156.5095,None,False,False,-0.3567029,0.9605844,2.775086,0.4911815,0.2824472,-0.823993,0,0,1,0,0,0,0
0.1384698,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3575732,0.9610935,2.775084,0.2645425,-0.04971382,0.9536741,0.1343563,343.5865,149.1972,358.5821,0.9846139,1.644682,1.491103,0.1351577,-0.1018746,0.6216,0.7648317,281.9366,3.379995,157.2164,0.9846139,1.644682,1.491103,0.1351577,-0.1018746,0.6216,0.7648317,281.9366,3.379995,157.2164,None,False,False,-0.3575732,0.9610935,2.775084,0.4912159,0.2825671,-0.8239313,0,0,1,0,0,0,0
