"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",188.7324,"1","B5",NA,-0.0455754,0.013518,-0.9981038,0.7751382,1.0827104,6.2833481,-26.690716,0.0359357,0.0142476,-0.9982526,0.8171721,1.0771339,5.6571485,-16.0572265
"2",188.7437,"1","B5",NA,-0.0463693,0.0139041,-0.9980618,0.7972841,1.1282982,4.6885679,-51.3970718,0.0366447,0.0146749,-0.9982206,0.8416837,1.1178434,4.4566867,-37.5128662
"3",188.766,"1","B5",NA,-0.0472839,0.0144922,-0.9980106,0.8310074,1.1808253,5.5434796,-89.8319081,0.0374463,0.0153125,-0.9981813,0.8782514,1.1638738,5.1526658,-74.3378397
"4",188.7773,"1","B5",NA,-0.0477823,0.0146176,-0.997985,0.8381984,1.2094446,3.0800721,-141.6320908,0.0379121,0.0154627,-0.9981614,0.8868688,1.1906138,3.1199596,-124.9680379
"5",188.7885,"1","B5",NA,-0.047872,0.014939,-0.997976,0.8566267,1.2146079,2.3491207,-20.8231846,0.0380099,0.0157834,-0.9981527,0.9052671,1.1962395,2.3353932,-22.361824
"6",188.8107,"1","B5",NA,-0.0479668,0.0157079,-0.9979596,0.9007211,1.2200841,2.8734214,6.8431371,0.0379862,0.0165686,-0.9981408,0.9503017,1.1949038,2.8976509,-0.0942378
"7",188.833,"1","B5",NA,-0.0476706,0.0164102,-0.9979625,0.9409952,1.2031072,2.6519629,-18.6375336,0.0376625,0.0172589,-0.9981414,0.9899009,1.1763534,2.3286575,-39.8388296
"8",188.8553,"1","B5",NA,-0.047169,0.0167265,-0.997981,0.959134,1.1743245,2.0421874,-18.454968,0.0375568,0.0174924,-0.9981413,1.0032923,1.1702918,1.1208391,-8.8138571
"9",188.8771,"1","B5",NA,-0.0467164,0.0168574,-0.9980001,0.9666444,1.148345,1.8336542,-45.273294,0.0371324,0.0176002,-0.9981553,1.0094762,1.1459332,1.9172922,-6.4806926
"10",188.8887,"1","B5",NA,-0.0467082,0.0167647,-0.9980021,0.9613265,1.1478727,0.8942764,-12.0031229,0.0370468,0.0175201,-0.9981599,1.0048827,1.1410174,1.3431394,11.3021428
"11",188.9104,"1","B5",NA,-0.0463686,0.0170072,-0.9980139,0.9752338,1.1283843,2.1306252,57.4033518,0.0363737,0.0177968,-0.9981798,1.0207563,1.102392,2.9077141,56.1414856
"12",188.9324,"1","B5",NA,-0.0458783,0.0175679,-0.9980267,1.0073885,1.1002604,3.4029315,45.708874,0.0358327,0.0183405,-0.9981895,1.0519414,1.0713608,3.7917347,5.394186
"13",188.9439,"1","B5",NA,-0.0454588,0.0176523,-0.9980445,1.0122294,1.0761834,3.7891664,-7.1233675,0.0354098,0.0184091,-0.9982033,1.0558785,1.0470899,3.4536993,-12.4845291
"14",188.955,"1","B5",NA,-0.0450372,0.0180317,-0.9980567,1.0339849,1.0519965,3.258227,-7.2238566,0.0349813,0.0187694,-0.9982117,1.0765448,1.0225045,3.5028204,21.6395762
"15",188.9771,"1","B5",NA,-0.0441247,0.0182769,-0.9980932,1.0480477,0.9996252,3.9960281,11.3187182,0.0339378,0.0189924,-0.9982435,1.0893389,0.9626219,4.36149,19.9099073
"16",188.9994,"1","B5",NA,-0.0429806,0.0180403,-0.9981473,1.0344792,0.9339396,3.7563649,-35.3194454,0.0326666,0.0187297,-0.9982909,1.0742693,0.8896472,4.3830315,-33.5338513
"17",189.0216,"1","B5",NA,-0.0423183,0.0181146,-0.9981744,1.0387434,0.895924,2.42677,-59.0542015,0.0318626,0.0187928,-0.9983157,1.0778906,0.8435104,2.8726836,-36.1037605
"18",189.0436,"1","B5",NA,-0.041952,0.0183407,-0.9981856,1.0517089,0.8749109,1.1460017,13.7477679,0.0312955,0.0190273,-0.9983292,1.0913413,0.8109713,2.7808593,-41.6741793
"19",189.0548,"1","B5",NA,-0.0420441,0.018608,-0.9981769,1.0670368,0.8802076,2.1059792,80.2754755,0.0312929,0.0193098,-0.9983238,1.1075456,0.810827,1.8941046,16.0795417
"20",189.0766,"1","B5",NA,-0.0423916,0.0191566,-0.9981518,1.0984972,0.9001816,3.7374623,1.1088062,0.031771,0.0198515,-0.9982981,1.1386222,0.8382891,4.3211773,10.4887166
"21",189.0879,"1","B5",NA,-0.0428077,0.0194765,-0.9981277,1.1168481,0.9240815,2.9168443,-15.3861622,0.0322726,0.0201759,-0.9982755,1.1572286,0.8670907,3.3001525,-32.9433464
"22",189.11,"1","B5",NA,-0.0434666,0.0199511,-0.9980899,1.1440633,0.9619268,3.8417014,49.3642589,0.0328688,0.0206845,-0.9982457,1.1864028,0.901325,3.8409281,48.6111434
"23",189.1323,"1",NA,1,-0.0446268,0.0206073,-0.9980254,1.1816961,1.0285658,5.1101205,60.5409265,0.0340744,0.0213776,-0.9981906,1.2261638,0.9705547,5.4633156,88.6722536
"24",189.1543,"1",NA,1,-0.0457798,0.0211116,-0.9979626,1.210622,1.0947906,6.5225661,-20.3435757,0.0354375,0.0218992,-0.9981319,1.2560885,1.0488209,7.7643331,-22.3286693
"25",189.1659,"1",NA,1,-0.0464684,0.0213612,-0.9979256,1.224934,1.1343374,5.3058511,88.950587,0.0362809,0.0221531,-0.998096,1.2706502,1.0972481,6.0330442,71.0292816
"26",189.188,"1",NA,1,-0.0483494,0.0217073,-0.9978287,1.2447869,1.2423588,11.5555189,151.5192256,0.0383325,0.0225454,-0.9980105,1.293156,1.2150406,12.4709423,135.3772678
"27",189.1993,"1",NA,1,-0.0499875,0.0220647,-0.9977401,1.2652819,1.3364492,11.7843219,128.6301035,0.0400457,0.0229538,-0.9979339,1.3165858,1.3134251,12.2386926,105.4484669
"28",189.2214,"1",NA,1,-0.0540722,0.0226405,-0.9975142,1.2983064,1.5710802,17.0222905,189.371676,0.0442056,0.0236744,-0.9977414,1.3579242,1.5523227,17.3537377,188.9467207
"29",189.2436,"1",NA,1,-0.0589588,0.0229296,-0.9972306,1.3148914,1.8518199,20.1687231,177.2177946,0.0491525,0.0241393,-0.9974988,1.3845964,1.8364669,20.604782,188.3216821
"30",189.2656,"1",NA,1,-0.0646694,0.0231038,-0.9968726,1.3248798,2.1799926,24.8482197,289.2468227,0.0550371,0.0244952,-0.9971828,1.4050186,2.1745518,25.6691804,304.4821591
