"","X","Time","Phase","GFO","Movement","pitch2","yaw2","V2","V2a"
"1",1,23.93103,1,"B5",NA,-2.1271747,0.0325387,1.0214747,-26.8386132
"2",2,23.95302,1,"B5",NA,-2.1405995,0.0442779,1.44691223700928,23.6084404
"3",3,23.97523,1,"B5",NA,-2.1584462,0.0769886,1.51128983718263,-5.62169789955543
"4",4,23.99748,1,"B5",NA,-2.1486247,0.0981472,1.19663073702986,6.23865987173101
"5",5,24.01961,1,"B5",NA,-2.1565596,0.1191919,1.78571588526195,67.2049825162083
"6",6,24.03079,1,"B5",NA,-2.1561344,0.1393913,2.99081550050441,57.8943443019708
"7",7,24.04213,1,"B5",NA,-2.1789382,0.1728648,3.08151310790906,-31.5774721932766
"8",8,24.06436,1,"B5",NA,-2.2281264,0.213598,1.4997825907916,-20.1577371276258
"9",9,24.08637,1,"B5",NA,-2.2728314,0.2116266,2.17851586621009,32.9227685817151
"10",10,24.09753,1,"B5",NA,-2.2902814,0.2299655,2.56920561144598,-1.74552670654254
"11",11,24.11961,1,"B5",NA,-2.322264,0.2747761,1.71914559161827,-34.1469794789047
"12",12,24.14165,1,"B5",NA,-2.3346739,0.2895025,1.06246679221182,-16.6482538745113
"13",13,24.16407,1,"B5",NA,-2.3413789,0.2696675,0.983959936150904,-12.9275640391505
"14",14,24.18619,1,"B5",NA,-2.3396216,0.2534939,0.489500865952148,3.21163413927825
"15",15,24.19757,1,"B5",NA,-2.3226691,0.2515343,0.816980309001044,16.2564889126963
"16",16,24.21958,1,"B5",NA,-2.2906027,0.2536255,0.899214629188662,6.38657958424123
"17",17,24.2417,1,"B5",NA,-2.2506494,0.248332,1.09911160501822,15.3561587730204
"18",18,24.26385,1,"B5",NA,-2.2012116,0.2542247,1.57922135481924,4.20347177126281
"19",19,24.28613,1,"B5",NA,-2.1598881,0.268572,1.28360050725974,-11.2298812594797
"20",20,24.3082,1,"B5",NA,-2.1217966,0.2779957,1.08074802358474,-0.695599851392872
"21",21,24.31945,1,"B5",NA,-2.1049871,0.2749448,1.16849940306541,2.80663335105597
"22",22,24.34166,1,"B5",NA,-2.0705879,0.2877978,1.11992933311792,3.9624513612816
"23",23,24.35326,1,"B5",NA,-2.049085,0.2926082,1.23722573335298,-4.57078631579641
"24",24,24.37485,1,"B5",NA,-2.0308205,0.3013854,0.821546311178662,-2.57717862677471
"25",25,24.38617,1,"B5",NA,-2.0307962,0.3070246,0.98114669707375,27.4311239244198
"26",26,24.40814,1,"B5",NA,-2.0297032,0.32977,1.87671582311533,1053.66448829295
"27",27,24.43055,1,"B5",NA,-2.0258677,0.3728234,48.1884532218803,423.799115263417
"28",28,24.44195,1,"B5",NA,-2.0190731,-0.3885246,34.2922240384691,-1365.9135827736
"29",29,24.46389,1,"B5",NA,-2.0196537,-0.4164012,1.10008236707167,-767.346390037499
"30",30,24.4861,1,"B5",NA,-2.0322524,-0.4309958,0.615169510198113,-9.26676328299758
