"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a","FocusedObject","RayDirection_x","RayDirection_y","RayDirection_z"
"1",50.4248,"1","B5",NA,-0.0074189,-0.0077593,0.9996789,-0.4446992,-0.3733087,1.6263909,25.6732757,0.0125303,0.0077218,0.9995934,0.4425621,0.002456,2.1217532,-6.3800338,"B5","-0.06729091","-0.201329","-0.9771943"
"2",50.44167,"1","B5",NA,-0.0074092,-0.0075193,0.9996809,-0.4309435,-0.3738657,2.4433238,68.8839997,0.0127749,0.0074797,0.9995922,0.4286894,0.0115619,1.5219759,NA,"B5","-0.2272357","-0.1596715","-0.9606563"
"3",50.4571,"1","B5",NA,-0.0083617,-0.0074069,0.9996743,-0.4244988,-0.319271,3.8218834,-13.0194341,0.0123748,0.0073751,0.999598,0.4226935,0.0113707,NA,NA,"None","-0.3284041","-0.1535193","-0.9319762"
"4",50.47596,"1","B5",NA,-0.0086944,-0.0075801,0.9996701,-0.4344289,-0.3002031,1.6457849,-43.3258472,0.0126568,0.007548,0.9995932,0.4326041,0.0047961,1.7031109,NA,"B6","-0.4227668","-0.1608905","-0.8918355"
"5",50.49811,"1","B5",NA,-0.0085167,-0.0082982,0.9996658,-0.4755804,-0.3103848,2.2821541,15.8101108,0.0125298,0.0082661,0.9995891,0.4737615,0.0024811,2.4708715,19.904732,"B6","-0.4989832","-0.1419935","-0.8548859"
"6",50.52023,"1","B5",NA,-0.0093445,-0.0085165,0.9996565,-0.4880963,-0.2629427,2.3460861,24.5330767,0.0119254,0.0084937,0.9995946,0.4868043,0.0371231,2.5847361,12.3778632,"B6","-0.4942765","-0.1473675","-0.856705"
"7",50.54228,"1","B5",NA,-0.0084736,-0.0093188,0.9996575,-0.5340783,-0.312854,3.3642651,70.0335245,0.0116778,0.0092927,0.9995904,0.5326017,0.0513131,3.0170956,25.1945996,"B6","-0.4917239","-0.1465086","-0.8583272"
"8",50.56448,"1","B5",NA,-0.0100958,-0.0093193,0.9996423,-0.5341036,-0.2198738,5.4486482,-107.1493056,0.0106611,0.00931,0.9996016,0.5335914,0.1095875,3.7004351,-91.1588554,"B6","-0.4874812","-0.1514796","-0.8598807"
"9",50.5761,"1","B5",NA,-0.0099054,-0.0095575,0.9996421,-0.5477548,-0.2307848,1.8674834,-157.7090102,0.0107439,0.0095465,0.9995985,0.5471449,0.1048372,1.2242274,-102.5187757,"B6","-0.4872595","-0.1494474","-0.8603589"
"10",50.59835,"1","B5",NA,-0.0095673,-0.0097465,0.9996433,-0.5585903,-0.2501667,1.7066542,47.6936336,0.0107504,0.0097333,0.9995966,0.5578527,0.1044645,1.4035895,36.8069194,"B6","-0.4878995","-0.1488838","-0.8600965"
