"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,133.971,1,"B5",NA,-0.563035294,-0.303454902,0.330170588,-0.0260214,-0.009985,-0.9986293,-0.572669,0.1008216,3.0592981,-49.9393944,0.0464823,-0.009893,-0.998712,-0.5669284,0.0538546,3.7195621,60.4647191
"2",2,133.9933,1,"B5",NA,-0.572135294,-0.431854902,0.409070588,-0.0257046,-0.0102122,-0.9986352,-0.5857021,0.0826506,0.707512004852727,-14.9279334,0.045284,-0.0100661,-0.9987653,-0.576845,0.1225939,3.71449623523708,-72.7133649
"3",3,134.0045,1,"B5",NA,-0.546435294,-0.505954902,0.461870588,-0.0256478,-0.0098041,-0.9986407,-0.5622973,0.0793857,1.78576117797818,41.4667854638502,0.0446885,-0.0096267,-0.9987965,-0.5516647,0.1567638,2.31593847347103,-102.487618137928
"4",4,134.0266,1,"B5",NA,-0.534835294,-0.496354902,0.431770588,-0.0252498,-0.0095971,-0.9986529,-0.5504198,0.0565456,1.49097642351011,4.05263689081675,0.0444592,-0.0094192,-0.9988087,-0.5397744,0.1699232,0.545639906687845,-40.0707027548392
"5",5,134.0488,1,"B5",NA,-0.512735294,-0.456654902,0.373270588,-0.0247527,-0.0091905,-0.9986692,-0.5271021,0.0280216,1.96703212359775,35.7361109565882,0.0443804,-0.0090233,-0.9988159,-0.5170879,0.1744562,0.544809671911277,16.4773731959729
"6",6,134.0713,1,"B5",NA,-0.560635294,-0.518654902,0.456270588,-0.0253832,-0.0100576,-0.998645,-0.5768357,0.0642089,3.09266823142061,-10.3626797422521,0.0443932,-0.0098735,-0.9988072,-0.5658095,0.1737004,1.28713291989576,21.6847257985611
"7",7,134.0938,1,"B5",NA,-0.542635294,-0.600554902,0.573170588,-0.0263405,-0.0097864,-0.9986228,-0.5612779,0.1191259,1.50071153519825,-42.7370978984277,0.0445066,-0.009578,-0.9988051,-0.5488744,0.1671996,1.52062233284657,72.7991684723798
"8",8,134.116,1,"B5",NA,-0.546635294,-0.505654902,0.494070588,-0.0262134,-0.0098081,-0.998626,-0.5625266,0.1118325,1.1739149954485,4.18644816413717,0.0451182,-0.0096355,-0.9987771,-0.5521678,0.1321147,4.52252919224546,89.1650068857014
"9",9,134.1379,1,NA,1,-0.574435294,-0.180854902,0.217270588,-0.0256695,-0.0101154,-0.998637,-0.5801508,0.0806364,1.67966179533072,53.1555010479696,0.0471311,-0.0100699,-0.9986798,-0.5770619,0.0166273,5.4666159433541,84.7034041946308
"10",10,134.1494,1,NA,1,-0.602235294,0.026745098,0.046270588,-0.0254252,-0.0104787,-0.9986396,-0.6009863,0.0666235,2.63666351584378,117.223861533353,0.0484955,-0.0105177,-0.9986099,-0.6027285,0.0616666,6.91904092303968,87.202810292104
"11",11,134.1709,1,NA,1,-0.666135294,0.275145098,-0.094629412,-0.0262437,-0.011438,-0.9986079,-0.6560067,0.1135987,5.88811243212122,189.871887338541,0.050967,-0.0115985,-0.9984748,-0.6646669,0.2035135,7.9533585427114,-100.887411891492
"12",12,134.1822,1,NA,1,-0.694035294,0.318945098,-0.060529412,-0.0274149,-0.011896,-0.998571,-0.6822747,0.1808076,8.47031602764896,239.731821185666,0.0521791,-0.0120938,-0.9984063,-0.6930481,0.2730902,5.1296849361807,-152.962642379956
"13",13,134.2044,1,NA,1,-0.704535294,0.158745098,0.226270588,-0.0303023,-0.0121798,-0.9984842,-0.6985544,0.3464945,14.0414071342489,817.701012325096,0.0531663,-0.0123415,-0.9983512,-0.7072468,0.3297526,3.88553777955064,299.142205577999
"14",14,134.216,1,NA,1,-0.684735294,-0.040854902,0.545970588,-0.0332445,-0.0119562,-0.9983932,-0.6857322,0.5153294,30.1010500419891,1059.79285295564,0.0539011,-0.0120532,-0.9983153,-0.6907251,0.3719115,11.475731859642,593.538109749892
"15",15,134.2376,1,NA,1,-0.617935294,-0.591854902,1.659270588,-0.0453799,-0.0110928,-0.9979253,-0.6362091,1.2118846,45.9799386339047,1363.75321612158,0.0589702,-0.0109648,-0.9980413,-0.6283459,0.6628406,22.9831133620538,1527.60896831933
"16",16,134.249,1,NA,1,-0.576235294,-0.834954902,2.323870588,-0.0537506,-0.0104853,-0.997516,-0.6013666,1.6925675,68.6929874268641,1219.20015619867,0.0634903,-0.010193,-0.9977721,-0.5841168,0.9223341,51.739257602367,1859.15396054758
"17",17,134.2708,1,NA,1,-0.369935294,-0.529954902,3.559370588,-0.0792578,-0.0067425,-0.9958463,-0.3867003,3.1586841,78.4163893523844,253.28993906451,0.0850559,-0.0063333,-0.9961975,-0.3629321,2.161504,77.8085505946841,1375.46058786726
"18",18,134.2823,1,NA,1,-0.293735294,0.052845098,3.841270588,-0.0918116,-0.0050923,-0.9947773,-0.2920527,3.881291,79.1127404213526,82.5783747390813,0.0988863,-0.0049124,-0.9949279,-0.2815077,2.9574053,95.6919941426029,1115.03655346847
"19",19,134.3044,1,NA,1,-0.168135294,1.879045098,3.943670588,-0.1175149,-0.0015632,-0.9920811,-0.0896518,5.3635706,81.4244994870612,11.0381076165815,0.1318822,-0.0026855,-0.9911024,-0.1538918,4.8609991,110.609296552901,345.629424235492
"20",20,134.3264,1,NA,1,0.060564706,4.158645098,3.703970588,-0.1431023,0.0047791,-0.9887043,0.2740925,6.8438371,79.6088776047411,-284.024788937323,0.1680841,0.0012216,-0.9856117,0.0700062,6.9593917,110.96718791489,126.988381331534
