"","Time","Phase","GFO","Movement","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",29.00089,"1","B5",NA,0.0656025,0.0064268,-0.9950809,0.3692411,1.1762615,1.6104457,-2.8682823,0.0002271,0.0048225,-0.9939971,0.2779759,1.710147,1.0825062,-54.7198922
"2",29.01217,"1","B5",NA,0.0656922,0.0063421,-0.9950755,0.3643773,1.1710976,1.1188625,2.2988489,0.000219,0.004746,-0.9939975,0.2735644,1.7096829,1.1791747,37.8896791
"3",29.03422,"1","B5",NA,0.0662316,0.0062396,-0.9950404,0.358485,1.1400442,2.1811823,34.9897879,-0.0004726,0.004696,-0.9939977,0.2706827,-1.6698183,2.6611432,47.7516696
"4",29.05652,"1","B5",NA,0.0667433,0.0059347,-0.9950081,0.3409668,1.1105874,2.6673626,31.981472,-0.0010656,0.0044418,-0.9939984,0.2560317,-1.6356356,3.2920968,28.8427331
"5",29.07895,"1","B5",NA,0.0676308,0.0066621,-0.9949435,0.3827621,1.0594594,3.6130369,12.0548591,-0.0023096,0.005248,-0.9939923,0.3025017,-1.5639248,3.95135,-50.0215319
"6",29.10073,"1","B5",NA,0.0681561,0.0068064,-0.9949067,0.3910499,1.0292034,3.219877,13.8116711,-0.0022925,0.0054432,-0.9939913,0.3137518,-1.5649106,1.1322634,-49.3880113
"7",29.12144,"1","B5",NA,0.0694082,0.0068278,-0.99482,0.392279,0.9570918,4.1658013,-11.4420358,-0.001803,0.0055895,-0.9939915,0.3221845,-1.5931282,1.7672035,27.7980789
"8",29.14354,"1","B5",NA,0.0699406,0.0063027,-0.9947862,0.3621126,0.9264439,2.6506511,-12.0151764,-0.0015528,0.005124,-0.9939944,0.2953567,-1.6075525,2.318323,30.5471863
"9",29.16584,"1","B5",NA,0.0692451,0.0055537,-0.9948393,0.3190767,0.9665173,3.6436362,30.0768856,-0.0016737,0.0043113,-0.9939981,0.2485103,-1.6005807,3.1246205,43.4930555
"10",29.18797,"1","B5",NA,0.0686571,0.005043,-0.9948828,0.2897381,1.0003928,3.9894239,-74.4667298,-0.0022762,0.0037428,-0.9939992,0.2157424,-1.5658517,4.2494723,-58.0306894
"11",29.19918,"1","B5",NA,0.068479,0.0047143,-0.9948967,0.2708494,1.0106563,2.1447203,-23.4177278,-0.0025106,0.0033988,-0.9939999,0.195911,-1.552344,2.3786281,-63.5550514
"12",29.22124,"1","B5",NA,0.0691369,0.0042869,-0.9948531,0.2462962,0.9727763,4.7416962,20.0960888,-0.0029482,0.0030396,-0.9939998,0.1752054,-1.5271173,3.256187,-7.3069266
"13",29.23269,"1","B5",NA,0.0697832,0.0039721,-0.9948093,0.2282124,0.9355567,3.8539649,-49.778112,-0.0033775,0.0027899,-0.9939992,0.1608157,-1.5023741,2.6333711,-25.8565095
"14",29.25482,"1","B5",NA,0.0705267,0.0035732,-0.9947584,0.2052938,0.8927437,3.3665493,-15.5479426,-0.0038049,0.0024677,-0.9939985,0.1422386,-1.4777373,2.6927101,17.1001094
"15",29.2769,"1","B5",NA,0.0712171,0.0030051,-0.9947111,0.1726536,0.8529833,3.1662665,-22.5734638,-0.0046751,0.0019716,-0.9939959,0.1136444,-1.4275773,3.388646,-10.1563297
"16",29.2991,"1","B5",NA,0.0716337,0.0025054,-0.9946825,0.1439446,0.8289915,2.365376,-14.7818294,-0.0050916,0.0015158,-0.9939947,0.0873705,-1.4035707,2.2379868,-25.1156483
"17",29.32123,"1","B5",NA,0.0720372,0.0020892,-0.9946543,0.1200338,0.8057513,2.5094974,-52.8893923,-0.0053361,0.0011428,-0.9939939,0.0658696,-1.3894795,2.2733992,-12.2579755
"18",29.33245,"1","B5",NA,0.0721585,0.0020216,-0.9946457,0.1161474,0.7987656,1.2495893,-37.3461447,-0.0056241,0.0010879,-0.9939924,0.0627054,-1.3728745,1.980376,-4.6833016
"19",29.35472,"1","B5",NA,0.0723368,0.0015559,-0.9946336,0.0893891,0.7884999,2.0869187,47.6286816,-0.0061074,0.0006405,-0.9939899,0.0369211,-1.3450194,2.3533884,14.1880686
"20",29.3771,"1","B5",NA,0.0728206,0.0011289,-0.9945988,0.0648604,0.7606323,3.3773132,-2.7239382,-0.006492,0.000264,-0.9939876,0.0152188,-1.3228479,2.6135915,-30.2397785
"21",29.38834,"1","B5",NA,0.0732087,0.0009442,-0.9945705,0.0542467,0.7382777,2.6679989,-7.8808381,-0.0067049,0.0001198,-0.9939862,0.0069055,-1.3105751,1.8031184,3.1950452
"22",29.41051,"1","B5",NA,0.0738095,0.0004346,-0.9945265,0.0249691,0.703662,3.7176282,-92.656485,-0.0071682,-0.000324,-0.993983,-0.0186763,-1.2838721,3.54338,-32.9187723
"23",29.42193,"1","B5",NA,0.0739009,0.0001954,-0.9945198,0.0112269,0.6984,1.060679,-129.6165751,-0.0074399,-0.0005553,-0.9939809,-0.0320085,-1.2682083,1.8950882,-64.7653712
"24",29.44344,"1","B5",NA,0.0738944,0.0001767,-0.9945203,0.0101512,0.6987758,0.4890378,-2.1608478,-0.0078667,-0.0005797,-0.9939776,-0.0334121,-1.2436067,2.2135016,-52.7533299
