TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.355887,0.8293537,-2.504102,0.1971878,-0.005579412,0.9797283,0.03490538,355.9518,157.2347,0.1627375,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.355986,0.829594,-2.504106,0.1972463,-0.005198615,0.9797131,0.03505768,355.9433,157.2262,0.2092931,1.974953,0.7797906,-2.191243,0.1714231,-0.1895858,0.6500001,0.7156614,275.5224,329.7306,180.6549,1.885888,0.7808904,-2.248218,0.2107674,-0.2002009,0.663629,0.6892701,272.2473,5.499111,140.7066
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.354939,0.828481,-2.504231,0.1970489,-0.005835301,0.9797555,0.03488322,355.9485,157.252,0.132861,1.97467,0.7794766,-2.19138,0.1715466,-0.1895257,0.6500326,0.7156181,275.5125,329.8601,180.5201,1.886125,0.7810728,-2.248166,0.2107339,-0.2002597,0.6636352,0.6892573,272.243,5.336392,140.8672
0.0490303,1.623154,0.836965,-2.418208,0.1405966,-0.009445612,0.9831914,0.1160948,346.6474,163.6267,0.8286589,1.559681,0.846415,-2.45892,-0.01789196,-0.07937095,0.9898008,0.1169379,346.7824,183.1787,350.4623,1.355393,0.8287444,-2.504294,0.1969797,-0.005895992,0.9797736,0.03475571,355.9614,157.2606,0.122853,1.974632,0.7794056,-2.191444,0.1714612,-0.1895162,0.6500553,0.7156206,275.5125,329.798,180.5903,1.885944,0.7809433,-2.248113,0.2107723,-0.2003466,0.6636698,0.6891869,272.2337,5.320199,140.8729
0.0777193,1.623805,0.8375829,-2.417908,0.1397721,-0.01110316,0.9833163,0.115886,346.6435,163.7471,0.6218418,1.559603,0.846736,-2.458611,-0.01862479,-0.0834567,0.9894333,0.1170891,346.7856,183.3212,349.9724,1.355159,0.8291576,-2.504569,0.1973681,-0.00539729,0.9796911,0.03495759,355.9501,157.2128,0.1851654,1.974123,0.7791186,-2.191573,0.171516,-0.1895815,0.6500454,0.7155991,275.5119,329.7818,180.5964,1.885696,0.7807916,-2.248116,0.2108072,-0.2002965,0.6637571,0.6891068,272.2236,5.61755,140.5769
0.0927176,1.624534,0.8380077,-2.417453,0.1391171,-0.01094181,0.9833854,0.1161035,346.6209,163.8214,0.6351218,1.559638,0.8469497,-2.458327,-0.01887046,-0.08568653,0.9892258,0.1171925,346.7838,183.3813,349.707,1.355551,0.8295394,-2.504405,0.1976087,-0.004731371,0.9796333,0.03531402,355.9252,157.1814,0.2692096,1.974228,0.7792881,-2.191484,0.1714171,-0.1895866,0.6500646,0.715604,275.5129,329.6981,180.6879,1.885786,0.7807935,-2.247977,0.2107632,-0.2002086,0.6638044,0.6891003,272.2211,5.750889,140.4547
0.1120225,1.624459,0.8378667,-2.417405,0.1386748,-0.01072874,0.983455,0.1160624,346.6288,163.871,0.6529761,1.55912,0.8466139,-2.458561,-0.01893038,-0.08671441,0.9891425,0.1171297,346.7952,183.4015,349.586,1.356079,0.8290602,-2.503877,0.1971818,-0.005333781,0.9797329,0.03484698,355.9639,157.2346,0.1890307,1.973966,0.77915,-2.191556,0.1714734,-0.1896273,0.6501386,0.7155125,275.4997,329.6694,180.7086,1.886039,0.7810104,-2.248028,0.210725,-0.2002751,0.6638225,0.6890752,272.2146,5.582079,140.6212
0.1347789,1.624796,0.8382273,-2.417159,0.1414988,-0.0106424,0.9830657,0.1159595,346.6439,163.5366,0.7003142,1.558987,0.846623,-2.458696,-0.01903393,-0.08667699,0.989153,0.1170518,346.8051,183.4121,349.5894,1.356099,0.8294609,-2.504016,0.1973028,-0.004915429,0.9797019,0.0350971,355.9453,157.2184,0.2422922,1.973516,0.778835,-2.191693,0.1712125,-0.1896884,0.6502416,0.7154652,275.4949,329.3816,181.0133,1.886083,0.7810494,-2.248027,0.2107576,-0.2003604,0.663755,0.6891054,272.2203,5.39713,140.7961
0.1564016,1.625518,0.8385452,-2.416943,0.1427325,-0.01102323,0.9828748,0.1160307,346.6303,163.3955,0.6745513,1.558439,0.8464034,-2.458936,-0.01933696,-0.08806077,0.9890308,0.1170023,346.8188,183.4656,349.4234,1.356115,0.8289169,-2.503941,0.1968121,-0.005896905,0.9798195,0.03440946,356.0003,157.2808,0.1142163,1.973834,0.7789665,-2.191614,0.1711865,-0.189754,0.650337,0.7153674,275.482,329.2607,181.1309,1.886153,0.7812374,-2.248079,0.2107721,-0.2003478,0.6637599,0.6890999,272.2203,5.457645,140.7354
0.1677121,1.625839,0.8386831,-2.416884,0.1421681,-0.01167532,0.9829592,0.1159445,346.6289,163.4713,0.5897864,1.55839,0.8463507,-2.45893,-0.01932976,-0.08829381,0.989013,0.1169785,346.8222,183.4676,349.3963,1.356192,0.8289109,-2.503914,0.1968523,-0.005872759,0.9798112,0.03441967,355.9997,157.276,0.1173294,1.973621,0.7787292,-2.191637,0.1712375,-0.1897317,0.6503828,0.7153195,275.473,329.2976,181.0918,1.886474,0.7813362,-2.247943,0.2107521,-0.2003617,0.6637759,0.6890866,272.2171,5.41569,140.7779
