TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.088682,1.262421,-1.949249,-0.07202429,-0.02158678,0.9807858,0.1800161,339.5124,189.1557,355.8203,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.088495,1.262511,-1.948916,-0.07077068,-0.02102344,0.9811047,0.1788382,339.6385,188.9831,355.9285,2.068111,1.354184,-1.825021,0.4383002,-0.8980927,0.03296215,0.01535953,307.9748,179.8784,184.2632,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.047347,1.253205,-1.799295,-0.004319237,-0.009583476,-0.9999316,0.8824142,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.073135,1.25074,-1.826197,-0.03193767,-0.01939534,0.9982794,-0.04518949,5.247741,183.5703,357.9376,2.068476,1.35444,-1.82492,0.4378965,-0.8982485,0.03428481,0.01486403,308.029,179.6909,184.5223,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.046044,1.246892,-1.797883,-0.007676912,-0.01626094,-0.9998254,0.9930743,0,0,0
0.0422365,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.072128,1.251149,-1.825461,-0.03265041,-0.01738623,0.9982783,-0.04552037,5.279788,183.6624,358.1734,2.068566,1.354705,-1.824805,0.4381866,-0.8980589,0.03562948,0.01460667,307.994,179.5356,184.7704,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.046504,1.247056,-1.797805,-0.00894918,-0.0168476,-0.9998107,0.9315911,0,0,0
0.0542379,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.072382,1.251696,-1.825395,-0.03382819,-0.01606027,0.9982985,-0.04469834,5.182658,183.8059,358.3289,2.068172,1.354899,-1.82448,0.4384486,-0.8979063,0.03610662,0.01494801,307.959,179.5512,184.8246,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.047185,1.247306,-1.797866,-0.01018799,-0.01803112,-0.9997717,0.9487344,0,0,0
0.0751234,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.072358,1.252,-1.825245,-0.03474296,-0.01569251,0.9982833,-0.04446624,5.156141,183.9133,358.3751,2.068447,1.355251,-1.824178,0.4392689,-0.897474,0.03670523,0.01536535,307.8525,179.5642,184.8972,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.049202,1.247665,-1.797867,-0.009549148,-0.01241724,-0.999875,0.9344917,0,0,0
0.0865749,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.072398,1.252077,-1.825078,-0.03512939,-0.01570919,0.9982727,-0.04439501,5.148671,183.9578,358.3749,2.068453,1.355359,-1.824054,0.4392219,-0.8974844,0.03696252,0.01548129,307.858,179.563,184.9306,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.063691,1.248762,-1.798608,-0.02375209,-0.00736797,-0.9996767,0.9151744,0,0,0
0.1081827,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.072693,1.252064,-1.82491,-0.0359567,-0.01637923,0.9982301,-0.04444686,5.158675,184.0494,358.3024,2.067707,1.355508,-1.823562,0.4391015,-0.8975304,0.03700482,0.01611605,307.8699,179.6669,184.8848,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.104959,1.251614,-1.80038,-0.06989437,-0.005172031,-0.9975389,0.8930647,0,0,0
0.1303014,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.072686,1.252119,-1.824713,-0.03655877,-0.01739412,0.9982058,-0.04411415,5.125744,184.1138,358.1876,2.066951,1.355476,-1.822878,0.4390749,-0.8975373,0.03667172,0.01718332,307.8675,179.8732,184.7414,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.104405,1.251759,-1.800191,-0.06981397,-0.003609473,-0.9975458,0.8451829,0,0,0
0.1526715,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.072905,1.252058,-1.82471,-0.03676256,-0.01876924,0.9981875,-0.04379541,5.09527,184.1307,358.0294,2.067037,1.35547,-1.822852,0.4391175,-0.897541,0.03557612,0.01817536,307.857,180.129,184.4766,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.076333,1.249981,-1.798654,-0.03809986,-0.007663663,-0.9992369,0.8612176,0,0,0
