TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.102219,1.281476,-1.772805,-0.02155384,0.06820674,0.9824421,0.1723101,340.0311,181.1489,7.740588,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.101474,1.281602,-1.771875,-0.02152033,0.06813946,0.9824151,0.1724949,340.01,181.1449,7.733491,2.060633,1.355909,-1.376025,0.4575126,-0.8883247,0.03915851,-0.005292843,305.6665,175.5505,187.3324,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.034143,1.259063,-1.353666,0.008072761,-0.04003574,-0.9991618,0.9938183,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.063876,1.252192,-1.381346,-0.02406099,0.005659599,0.9995534,-0.01679577,1.908543,182.7695,0.6949642,2.060666,1.355753,-1.376737,0.4565413,-0.8888265,0.03921479,-0.004421575,305.7842,175.7173,187.2455,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.035388,1.253215,-1.353149,0.005491131,-0.04116395,-0.9991295,1.002129,0,0,0
0.0406724,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.06343,1.2516,-1.381819,-0.02496978,0.005090421,0.9994979,-0.0188326,2.142908,182.8741,0.6373714,2.0609,1.355294,-1.37748,0.4547818,-0.8897225,0.03941945,-0.003682398,306.0047,175.8631,187.182,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.049479,1.253147,-1.354299,-0.007493643,-0.03955186,-0.9991762,0.9468961,0,0,0
0.0536116,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063817,1.250997,-1.382404,-0.02575612,0.004701598,0.9994255,-0.02152547,2.452093,182.9654,0.6025476,2.060875,1.355023,-1.377858,0.4541124,-0.890056,0.03962794,-0.003456983,306.0896,175.8971,187.1857,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.068751,1.253129,-1.35561,-0.02922126,-0.0295064,-0.9991238,0.9160925,0,0,0
0.0646269,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063777,1.250837,-1.382558,-0.02577585,0.004619038,0.9994017,-0.02259305,2.574647,182.9682,0.5963318,2.060796,1.354838,-1.378216,0.4533708,-0.8904378,0.03954136,-0.00346989,306.1843,175.9173,187.1579,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.073639,1.253024,-1.356089,-0.03563301,-0.02812237,-0.9989683,0.9075194,0,0,0
0.0868635,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063682,1.250428,-1.382824,-0.0260221,0.004117817,0.9993441,-0.02484865,2.834455,182.9967,0.5463306,2.060562,1.354229,-1.378905,0.451407,-0.89145,0.03922961,-0.003112195,306.4313,176.0445,187.0368,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.079977,1.252739,-1.356831,-0.04375705,-0.0258981,-0.9986972,0.8707775,0,0,0
0.1091689,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063553,1.249922,-1.382809,-0.02606483,0.003300048,0.9992856,-0.0271695,3.10283,183.0007,0.4597163,2.060198,1.353892,-1.379305,0.4491876,-0.892603,0.03852203,-0.00252541,306.7075,176.2479,186.8256,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.066679,1.252151,-1.356374,-0.03440046,-0.02271459,-0.9991482,0.7457322,0,0,0
0.1312981,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063188,1.249678,-1.382807,-0.02590319,0.002252006,0.9992499,-0.02869884,3.281286,182.9797,0.343619,2.060045,1.353514,-1.379629,0.4474873,-0.8935047,0.03741609,-0.002128369,306.9172,176.4407,186.574,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.083658,1.252153,-1.35745,-0.05366076,-0.01878529,-0.9983726,0.8610445,0,0,0
0.1535798,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063426,1.24939,-1.382743,-0.02577787,0.001338559,0.9992288,-0.02959021,3.38619,182.9627,0.2410982,2.059388,1.353373,-1.379955,0.4464822,-0.8940469,0.03648167,-0.001682623,307.0386,176.6131,186.3609,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.095221,1.251962,-1.358344,-0.05961664,-0.03050259,-0.9977435,0.9782273,0,0,0
