TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.092208,1.269154,-2.004262,-0.02861117,-0.01602233,0.9921427,0.1207374,346.1925,183.5802,357.716,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.092047,1.26921,-2.004238,-0.02874489,-0.01599608,0.9921107,0.1209722,346.1656,183.5963,357.7161,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.115056,1.266856,-1.879676,-0.06850976,-0.3099937,-0.9482481,0.4910885,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.110274,1.264195,-1.908422,-0.05805291,-0.004749571,0.9978201,-0.03102174,3.581007,186.6488,359.6626,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B7,False,False,2.124791,1.261803,-1.880198,-0.1113995,-0.06093789,-0.9919,1.105925,2.074,1,-3.5
0.0540321,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.110263,1.263209,-1.908182,-0.06413805,-0.005888762,0.9973918,-0.03257684,3.769293,187.3445,359.5654,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.149657,1.262088,-1.884651,-0.1416708,-0.0501975,-0.9886272,0.958462,0,0,0
0.0684313,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111003,1.26117,-1.907742,-0.07243703,-0.01485304,0.9968254,-0.02951952,3.497411,188.2681,358.5455,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B7,False,False,2.149167,1.262866,-1.884315,-0.1325915,-0.06195728,-0.9892303,1.059936,2.074,1,-3.5
0.083229,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.110794,1.26065,-1.907759,-0.0716765,-0.01767076,0.9968817,-0.0278767,3.33149,188.1729,358.207,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B7,False,False,2.148553,1.263464,-1.883806,-0.1216696,-0.06040821,-0.9907257,0.932228,2.074,1,-3.5
0.1044777,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111571,1.260738,-1.907775,-0.0711677,-0.01970952,0.9968833,-0.02775701,3.333421,188.1078,357.971,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B7,False,False,2.148471,1.264178,-1.884145,-0.1132091,-0.07246147,-0.9909161,1.073211,2.074,1,-3.5
0.116043,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111627,1.260806,-1.907799,-0.0710429,-0.02034799,0.9969119,-0.0265602,3.201493,188.0933,357.8879,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B7,False,False,2.148614,1.264372,-1.884179,-0.1130232,-0.08553864,-0.9898936,0.9650306,2.074,1,-3.5
0.1380741,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111588,1.261122,-1.90817,-0.07178209,-0.02063514,0.9969555,-0.02238846,2.728486,188.1847,357.8238,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.149162,1.263897,-1.883928,-0.215633,0.1904329,-0.9577181,0,0,0,0
0.1601919,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111071,1.262161,-1.90836,-0.07322509,-0.01861171,0.9969563,-0.01923273,2.354033,188.3611,358.0331,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.148885,1.26431,-1.884048,-0.2100523,0.2201771,-0.9525641,32.768,0,0,0
