TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.115428,1.320582,-1.76717,-0.08614,0.004771258,0.967598,0.2373002,332.61,190.6725,357.9573,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.11563,1.320551,-1.766242,-0.08511537,0.004674706,0.9676952,0.2372753,332.6118,190.5462,357.977,2.052654,1.3546,-1.471976,0.4394981,-0.8949062,0.02804909,0.07209428,307.7524,189.8161,178.7676,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.102442,1.258711,-1.450753,-0.1626517,-0.06970914,-0.9842106,0.8105481,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.065291,1.251079,-1.471345,-0.07223938,-0.01829967,0.9963018,-0.04277036,5.040983,188.2175,358.2578,2.052329,1.354531,-1.471891,0.4387157,-0.8952339,0.02732167,0.07306385,307.8613,190.0255,178.5818,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.089395,1.249672,-1.447136,-0.1442194,-0.06644309,-0.9873052,0.8355294,0,0,0
0.0414265,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064825,1.25096,-1.470948,-0.07269241,-0.01945123,0.9962223,-0.0433444,5.116966,188.2633,358.1328,2.052518,1.354564,-1.471863,0.4383456,-0.8953887,0.0269676,0.07351948,307.913,190.1245,178.4929,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.041387,1.245924,-1.441049,-0.09208648,-0.07217105,-0.9931248,0.906926,0,0,0
0.0537004,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064886,1.250759,-1.470711,-0.07311238,-0.02123538,0.9961356,-0.04379051,5.183611,188.302,357.934,2.05181,1.354919,-1.471783,0.4382516,-0.8954167,0.02641377,0.07393784,307.9319,190.2379,178.3683,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.039387,1.245671,-1.44079,-0.08712037,-0.06756467,-0.9938988,0.8361838,0,0,0
0.0711673,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064966,1.250736,-1.470663,-0.07365281,-0.02228047,0.9960886,-0.04343219,5.152485,188.3594,357.814,2.051099,1.354878,-1.471451,0.4384838,-0.8952383,0.02549575,0.07503572,307.9152,190.5007,178.1205,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.039359,1.245608,-1.44052,-0.0846663,-0.06069583,-0.994552,0.8206186,0,0,0
0.0930744,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064682,1.250841,-1.470462,-0.07436799,-0.02298562,0.9960425,-0.04289972,5.099102,188.439,357.7325,2.051208,1.354792,-1.47116,0.4388193,-0.8949578,0.02489815,0.07660493,307.8832,190.8192,177.8846,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.042018,1.245703,-1.440697,-0.08777278,-0.06140108,-0.9942378,0.8316301,0,0,0
0.1154104,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064307,1.250876,-1.470189,-0.07502329,-0.02305377,0.9960048,-0.04259757,5.066615,188.5146,357.7255,2.051041,1.354567,-1.470834,0.4391567,-0.8947182,0.02499045,0.07743521,307.8413,190.9581,177.824,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.056533,1.246963,-1.44223,-0.1044813,-0.06547142,-0.9923567,0.8503166,0,0,0
0.1375109,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064224,1.251078,-1.470005,-0.07540098,-0.02263595,0.9960094,-0.04204308,5.000484,188.5611,357.7707,2.051457,1.354622,-1.470628,0.4395565,-0.8944965,0.02553751,0.07754973,307.7842,190.9409,177.8965,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.062555,1.247583,-1.442798,-0.1140962,-0.06484008,-0.9913483,0.837456,0,0,0
0.1598078,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063835,1.251261,-1.469696,-0.07566831,-0.02238985,0.99602,-0.04144073,4.93008,188.594,357.7952,2.051471,1.354644,-1.470463,0.4402236,-0.8941549,0.02606223,0.07753061,307.6931,190.908,177.9704,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.061953,1.247673,-1.442498,-0.1139801,-0.06521758,-0.9913314,0.8529032,0,0,0
0.171081,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063954,1.25128,-1.469589,-0.07585283,-0.02213694,0.9960227,-0.04117226,4.897607,188.6169,357.8228,2.051475,1.354709,-1.470426,0.4404688,-0.8940161,0.0262888,0.07766195,307.6595,190.9164,177.9918,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.062924,1.247836,-1.442511,-0.1152875,-0.06567632,-0.9911575,0.8693777,0,0,0
0.1930478,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063969,1.251285,-1.469362,-0.0758463,-0.02170789,0.9960532,-0.040672,4.836687,188.6189,357.8677,2.051817,1.35491,-1.470185,0.4409506,-0.8937556,0.02669324,0.07778849,307.5937,190.9141,178.0379,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.064164,1.247956,-1.44244,-0.1191604,-0.06639387,-0.9906408,0.8762491,0,0,0
0.21532,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.063952,1.251259,-1.469149,-0.07542759,-0.02123586,0.9961042,-0.04044886,4.806224,188.5732,357.9179,2.05216,1.355031,-1.470084,0.441472,-0.8935359,0.02715317,0.07719333,307.5206,190.7858,178.1527,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.064079,1.247987,-1.442239,-0.1141347,-0.06551327,-0.991298,0.8412576,0,0,0
0.2269119,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064047,1.251302,-1.469128,-0.07527447,-0.0211332,0.996121,-0.04037446,4.796517,188.5562,357.9283,2.052265,1.354947,-1.470102,0.4415771,-0.893504,0.02719594,0.07694604,307.5063,190.7424,178.1782,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.064433,1.248034,-1.442187,-0.1124674,-0.06454113,-0.9915443,0.811431,0,0,0
0.2487629,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064044,1.251385,-1.468979,-0.07504721,-0.02093227,0.9961478,-0.04024234,4.779222,188.5312,357.9491,2.052443,1.355233,-1.469545,0.4417948,-0.8934219,0.02742374,0.07656796,307.4751,190.6637,178.2432,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.058473,1.247605,-1.441345,-0.1040594,-0.06031428,-0.9927248,0.7940333,0,0,0
0.2710678,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064129,1.25141,-1.468834,-0.07456823,-0.02054537,0.9961913,-0.04025385,4.776271,188.4778,357.9912,2.052553,1.355504,-1.46944,0.4418606,-0.8934129,0.02764778,0.0762108,307.4634,190.5859,178.3092,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.056837,1.247543,-1.44096,-0.1009111,-0.06562736,-0.9927147,0.8644317,0,0,0
0.293078,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064324,1.251337,-1.468812,-0.07418355,-0.01994929,0.996224,-0.04045523,4.793498,188.4361,358.0594,2.052691,1.355476,-1.469447,0.441896,-0.8934475,0.02791249,0.07550155,307.4545,190.4445,178.4122,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.060193,1.24783,-1.441242,-0.1041746,-0.06624859,-0.9923419,0.8637735,0,0,0
0.3153095,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064468,1.251182,-1.468768,-0.07370593,-0.01958549,0.9962482,-0.0409063,4.841109,188.3822,358.1025,2.052788,1.35561,-1.469429,0.4415339,-0.8936796,0.02812522,0.07478967,307.4969,190.2999,178.5151,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.065385,1.248178,-1.441764,-0.1117539,-0.06517451,-0.9915847,0.9692239,0,0,0
0.3265408,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064538,1.251095,-1.468799,-0.07348454,-0.01947874,0.9962565,-0.04115243,4.867947,188.357,358.1157,2.052902,1.355208,-1.46924,0.4412075,-0.8938634,0.02809898,0.0745293,307.5382,190.2523,178.5392,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.065084,1.248117,-1.441674,-0.1119112,-0.06546606,-0.9915566,0.992186,0,0,0
0.348652,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064091,1.25109,-1.468691,-0.07310468,-0.0191002,0.9962876,-0.04125477,4.875786,188.3149,358.158,2.052531,1.35531,-1.469335,0.4406904,-0.8941267,0.02773764,0.07456608,307.6082,190.279,178.4864,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.047961,1.246711,-1.43938,-0.09331424,-0.06970493,-0.9931793,1.138648,0,0,0
0.371037,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.06427,1.251093,-1.468877,-0.07249901,-0.01854909,0.9963383,-0.04135076,4.881101,188.2477,358.219,2.052963,1.355465,-1.469553,0.4407416,-0.8941478,0.02813184,0.0738591,307.596,190.1281,178.6102,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.051525,1.246972,-1.439764,-0.09724376,-0.07257217,-0.9926071,0.9592553,0,0,0
