TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.044436,1.282491,-1.790531,0.02147939,0.005799783,0.9968967,0.07551178,351.3553,177.4665,0.8581862,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.0448,1.282926,-1.790257,0.02132038,0.005910833,0.9968963,0.07555298,351.3508,177.4839,0.8697397,2.083599,1.359432,-1.645428,0.4426534,-0.8965211,0.01716857,0.003635565,307.456,179.1821,182.5979,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.125124,1.255412,-1.617523,-0.06529506,-0.06835978,-0.9955162,0.7711915,0,0,0
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.090625,1.255401,-1.645603,-0.01155067,0.002704921,0.9991339,-0.03988371,4.567635,181.3392,0.3636405,2.083733,1.359524,-1.645354,0.4429722,-0.8963642,0.0170475,0.00402832,307.414,179.2567,182.5463,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.079256,1.251148,-1.618713,-0.002934542,-0.06890621,-0.9976075,0.6748775,0,0,0
0.0410634,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.090329,1.255466,-1.645569,-0.0120999,0.001756293,0.9991642,-0.03900586,4.468099,181.3976,0.2559503,2.083193,1.359453,-1.645324,0.4435292,-0.8960953,0.01657596,0.004523196,307.3411,179.3768,182.4279,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.066561,1.250943,-1.618908,0.02131584,-0.06355216,-0.9977433,0.742557,0,0,0
0.0536213,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.090088,1.255466,-1.64545,-0.01204406,0.0008988979,0.9991816,-0.03860396,4.423219,181.3873,0.1566678,2.083462,1.359334,-1.645393,0.4436592,-0.8960353,0.01631957,0.004572344,307.3242,179.4059,182.3809,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.06745,1.250938,-1.618948,0.02181103,-0.07022905,-0.9972793,0.8096792,0,0,0
0.0725412,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.090011,1.25534,-1.645308,-0.01184042,-0.0001056331,0.9991876,-0.03852117,4.415127,181.3594,0.04029071,2.083418,1.359372,-1.645323,0.4436239,-0.8960677,0.01537892,0.004913236,307.3273,179.5427,182.1929,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.120802,1.252133,-1.617371,-0.05255397,-0.07057244,-0.9961094,0.6539704,0,0,0
0.0946876,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.089674,1.255163,-1.645066,-0.01134229,-0.001285266,0.9991924,-0.03852825,4.417492,181.297,359.9026,2.08269,1.359087,-1.645037,0.4436968,-0.8960479,0.01425246,0.005309708,307.3165,179.704,181.9691,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.124687,1.25209,-1.617257,-0.05174566,-0.07796293,-0.9956015,0.6987187,0,0,0
0.1169298,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.089549,1.25507,-1.644878,-0.01072263,-0.002371903,0.9991779,-0.03902661,4.475909,181.2209,359.7757,2.082743,1.358953,-1.64499,0.4432866,-0.8962696,0.01300436,0.00535303,307.3686,179.8174,181.7528,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.124435,1.252118,-1.617154,-0.06129382,-0.07138837,-0.9955552,0.6877503,0,0,0
0.1281762,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.089362,1.255032,-1.644765,-0.01035402,-0.002871116,0.9991665,-0.03938106,4.51706,181.1763,359.7171,2.082575,1.358889,-1.644918,0.443083,-0.8963769,0.01246971,0.005517524,307.3942,179.8907,181.648,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.123685,1.2521,-1.617097,-0.06248248,-0.06856263,-0.9956734,0.7022155,0,0,0
0.1503067,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.089318,1.254957,-1.644541,-0.009758878,-0.003859598,0.9991518,-0.03981975,4.568292,181.1033,359.6013,2.081777,1.358899,-1.644626,0.4425769,-0.8966439,0.01120124,0.005472782,307.4588,179.9905,181.4361,1,0,-1.64,0,0,1,0,0,180,0,None,False,False,2.11226,1.251733,-1.617749,-0.03142009,-0.008652849,-0.9994627,0.8110018,0,0,0
