TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
0,1.25,1,-1.64,0,0,1,0,0.75,1,-1.64,0,0,1,0,1.196344,1.113243,-2.212127,-0.0330227,-0.0289971,0.9740232,0.2221432
0.0907086,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.245786,1.398211,-2.207588,-0.05714012,0.0495325,0.9907069,0.1130552
0.2012775,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.257757,1.505179,-2.180156,-0.06701076,0.03618422,0.9919474,0.101197
0.3015576,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.274695,1.580648,-2.146318,-0.0565662,0.03126016,0.9934906,0.09380563
0.4123151,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.291725,1.622667,-2.107665,-0.05782086,0.02877474,0.9969324,-0.04421119
0.5126958,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.30712,1.620338,-2.072623,-0.03483944,0.01517394,0.995589,-0.08578324
0.6237247,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.308714,1.632006,-2.040589,-0.04814631,0.03420116,0.9959788,-0.06736824
0.734689,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.313869,1.635949,-2.016929,-0.04040156,0.006670678,0.9965605,-0.07204486
0.8457729,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.307886,1.640646,-2.006418,-0.04139914,-0.001331691,0.9972909,-0.06078912
0.9570709,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.307353,1.636362,-2.00527,-0.0553132,0.00368013,0.9951022,-0.0818449
1.057386,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.304491,1.638475,-2.009147,-0.04812448,0.01353612,0.9955197,-0.0802585
1.159456,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.302238,1.644323,-2.011813,-0.05023148,0.01120076,0.9971156,-0.05578544
1.260827,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.295834,1.646643,-2.014169,-0.06160842,0.01796618,0.9970198,-0.04281617
1.371486,1,0,-1.64,0,0,1,0,1,0,-1.64,0,0,1,0,1.265532,1.648199,-2.004335,-0.05321044,0.01460029,0.9978755,-0.03464277
