TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.256977,0.9125814,-2.422684,0.001282351,0.004692381,0.999801,-0.01935113,2.218279,179.8634,0.5351654
0.0747114,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.2565,0.912106,-2.422802,0.0009193979,0.004388676,0.9997933,-0.0198341,2.27341,179.9046,0.5011123
0.1808614,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.256649,0.9123796,-2.42267,0.001417637,0.004420797,0.9998,-0.01945699,2.230443,179.8473,0.5037119
0.2814945,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.256637,0.9124415,-2.422595,0.001406558,0.004370293,0.9998043,-0.01924487,2.206118,179.8484,0.4979741
0.3844865,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.256359,0.9121552,-2.422763,0.0006483385,0.004105174,0.9997986,-0.0196353,2.25047,179.9349,0.4692319
0.4846562,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.255493,0.9117193,-2.422757,-0.0004770419,0.002694287,0.9997895,-0.02033533,2.330262,180.061,0.3100471
0.5962326,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.255245,0.9115678,-2.422436,-0.001068037,0.00237947,0.9997872,-0.02046555,2.345044,180.1281,0.2753455
0.7050124,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.255225,0.9116566,-2.422521,-0.0004983469,0.002404314,0.9997909,-0.02030358,2.326635,180.0627,0.2768452
0.8113585,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.255034,0.9115181,-2.422557,-0.0003200581,0.002574667,0.9997793,-0.02084699,2.388959,180.0429,0.2959931
0.9224164,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254764,0.9111766,-2.422408,-0.0005252895,0.002557653,0.9997565,-0.02191476,2.511285,180.0667,0.2946174
1.029481,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254874,0.9115357,-2.422162,-0.001046181,0.002241482,0.9997576,-0.02187886,2.507057,180.1256,0.259665
1.140483,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.255862,0.9120747,-2.422269,0.0006395449,0.003720292,0.999764,-0.02139815,2.452489,179.9358,0.4250384
1.243544,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.256282,0.9125242,-2.422392,0.00146735,0.004212496,0.9997694,-0.02100544,2.407908,179.8419,0.4795022
1.354051,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.256403,0.9124035,-2.422296,0.001579451,0.004384671,0.9997534,-0.02171268,2.489053,179.8298,0.4988695
1.464101,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.256264,0.9124029,-2.422397,0.00134752,0.00401469,0.9997454,-0.02216327,2.54053,179.8557,0.4569641
1.57313,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.256015,0.9121499,-2.422483,0.0009913302,0.003140105,0.9997438,-0.02239799,2.567179,179.8944,0.3575541
1.684487,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.255026,0.9110951,-2.422438,-0.000498227,0.001085502,0.9997024,-0.02436899,2.792693,180.0602,0.1258933
1.795528,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254246,0.9108595,-2.422271,-0.002423433,8.947313E-05,0.9996812,-0.02513361,2.88037,180.2782,0.01725112
1.90687,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254622,0.9110916,-2.422379,-0.001688537,0.0004682969,0.9997064,-0.02416931,2.769773,180.1949,0.0583919
2.00785,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254843,0.911162,-2.422291,-0.001488416,0.0003382781,0.9997105,-0.02401366,2.751967,180.1716,0.04289784
2.117712,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254997,0.9107856,-2.42243,-0.0007655455,0.0005042569,0.9997102,-0.02405796,2.75706,180.0892,0.05994672
2.218685,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254586,0.9104148,-2.422426,-0.001593914,0.0002225949,0.9996936,-0.02470366,2.831075,180.1835,0.03004845
2.329058,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253984,0.9101939,-2.422296,-0.002412717,-0.0005352923,0.999687,-0.02489683,2.853401,180.2752,359.9455
2.439609,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254243,0.9103717,-2.422065,-0.001822509,-2.640003E-05,0.9997013,-0.02437249,2.793159,180.209,0.002068192
2.550373,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254826,0.9105988,-2.422023,-0.0009089682,0.0007895521,0.999716,-0.02380168,2.727645,180.1064,0.09303494
2.651479,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254803,0.9106845,-2.421979,-0.0009780672,0.0007806373,0.9997185,-0.02369263,2.71514,180.1143,0.09218822
2.761915,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254415,0.9104418,-2.422005,-0.001804659,4.712839E-05,0.9997021,-0.02434181,2.789627,180.2071,0.01044514
2.872514,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254591,0.9104159,-2.422078,-0.001569211,0.0005915827,0.9996961,-0.02459744,2.818833,180.1817,0.07228033
2.982159,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254381,0.9105269,-2.422096,-0.001483538,0.0005758403,0.9997032,-0.0243106,2.785963,180.1718,0.07018264
3.093229,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254415,0.9104695,-2.422152,-0.001638552,0.0003291561,0.9996966,-0.0245778,2.816627,180.1889,0.04237309
3.197255,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254439,0.9104816,-2.42206,-0.001399143,0.000583605,0.9996977,-0.02453884,2.81213,180.1621,0.07087567
3.304881,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254344,0.9104396,-2.422155,-0.00137484,0.0004786196,0.9997081,-0.02411805,2.763915,180.159,0.05869772
3.41601,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254208,0.910278,-2.422227,-0.0018114,3.00789E-05,0.9996997,-0.02443921,2.800796,180.2078,0.008528817
3.516312,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253968,0.9099858,-2.422415,-0.002390199,-0.0004717046,0.9996909,-0.02474137,2.835562,180.2728,359.9527
3.628367,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.252704,0.9095074,-2.422329,-0.005100037,-0.002845427,0.9996488,-0.02585118,2.964272,180.5766,359.6888
3.739702,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.252477,0.9093457,-2.422308,-0.005768828,-0.003179304,0.9996164,-0.02690447,3.085436,180.652,359.6531
3.84865,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253017,0.9096988,-2.422444,-0.004395742,-0.002039918,0.9996466,-0.02613924,2.996672,180.4981,359.7792
3.949856,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253316,0.9099809,-2.422428,-0.003319941,-0.0004425609,0.9996501,-0.02624055,3.007442,180.3795,359.9592
4.060596,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253289,0.9100654,-2.422425,-0.003848431,-0.0003574366,0.9996502,-0.02616645,2.998932,180.4404,359.9706
4.171875,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253545,0.9100493,-2.422448,-0.003825551,-3.940788E-07,0.999644,-0.02640498,3.026118,180.4388,0.01154626
4.28227,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253706,0.9101584,-2.422542,-0.003290021,-0.0001652111,0.9996644,-0.02569547,2.944855,180.3769,359.9908
4.382722,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253677,0.9100066,-2.422366,-0.003641402,-0.000416246,0.999661,-0.02578093,2.954759,180.4165,359.963
4.483248,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253887,0.9100791,-2.422402,-0.00349606,-0.0001002337,0.9996712,-0.02540387,2.911405,180.4007,-0.001306569
4.593752,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.254062,0.9101408,-2.422422,-0.003291195,0.0002048659,0.9996813,-0.02503094,2.868541,180.3781,0.03294996
4.705115,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253942,0.9100701,-2.422267,-0.003746831,8.639936E-05,0.9996775,-0.0251206,2.878854,180.43,0.02070924
4.805418,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253828,0.9101213,-2.421873,-0.003721313,0.0002496152,0.9996812,-0.02497508,2.862104,180.4276,0.03929384
4.915862,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.253788,0.9101385,-2.421532,-0.003774974,0.0007338559,0.9996854,-0.02478736,2.840374,180.4351,0.09490639
