TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,locRayDirection_x,locRayDirection_y,locRayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.313826,1.734513,-1.574789,-0.08469363,-0.01156259,0.9960222,-0.02516275,2.985536,189.6925,358.923,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.313658,1.73387,-1.571643,-0.08959041,-0.01244409,0.9957811,-0.01544806,1.890847,190.2613,358.7378,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.313658,1.73387,-1.571643,-0.1780404,-0.03299552,-0.9834698,0,0,1,0,1,1.6,-3.5
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.468369,1.606577,-1.59578,-0.06238721,0.005357911,0.9968425,-0.04882806,5.547978,187.2091,0.965676,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.468369,1.606577,-1.59578,-0.1249037,-0.09667924,-0.9874473,0,0,1,0,1,1.6,-3.5
0.0487401,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.461673,1.606136,-1.591808,-0.0643053,0.003123676,0.9967869,-0.04765572,5.428497,187.4161,0.711172,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.461673,1.606136,-1.591808,-0.1284951,-0.09460346,-0.9871875,0,0,1,0,1,1.6,-3.5
0.0630214,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.457685,1.606559,-1.589169,-0.06773631,0.002316243,0.9966429,-0.04592762,5.23455,187.8047,0.6236345,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.457685,1.606559,-1.589169,-0.1352306,-0.09123308,-0.9866049,0,0,1,0,1,1.6,-3.5
0.0759461,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.454627,1.606699,-1.587426,-0.0700563,0.000754692,0.9965084,-0.04541523,5.187055,188.0632,0.4526248,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.454627,1.606699,-1.587426,-0.1396919,-0.09040758,-0.9860591,0,0,1,0,1,1.6,-3.5
0.0954191,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.451351,1.606883,-1.585595,-0.07214738,-0.001041242,0.9963706,-0.04515843,5.171621,188.2947,0.2555029,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.451351,1.606883,-1.585595,-0.143677,-0.09013931,-0.9855109,0,0,1,0,1,1.6,-3.5
0.1067507,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.4497,1.607441,-1.585003,-0.07351574,-0.002217483,0.9962799,-0.04491,5.152786,188.4461,0.1256829,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.4497,1.607441,-1.585003,-0.1462853,-0.08981189,-0.9851571,0,0,1,0,1,1.6,-3.5
0.1287049,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.447356,1.607808,-1.58416,-0.07693449,-0.002891951,0.9960648,-0.0439038,5.043212,188.8358,0.05719009,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.447356,1.607808,-1.58416,-0.1530096,-0.08790704,-0.9843071,0,0,1,0,1,1.6,-3.5
0.1510951,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.444439,1.607897,-1.583001,-0.08071954,-0.00314305,0.9957535,-0.04415371,5.073859,189.2712,0.04997023,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,B5,False,False,1.444439,1.607897,-1.583001,-0.160476,-0.08843984,-0.9830696,0,0,1,0,1,1.6,-3.5
