TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.72474,0.8591868,-2.277565,0.7585974,-0.04463127,0.6488906,0.03846059,353.2448,81.0847,0.02484268,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.069675,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.724363,0.8590672,-2.277394,0.7584867,-0.0449936,0.648963,0.03899464,353.1733,81.09814,0.04359476,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.1775645,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.724616,0.8591268,-2.277478,0.7586263,-0.0450687,0.6487945,0.03899577,353.1667,81.07327,0.03957283,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.278145,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.724728,0.859094,-2.277497,0.7586333,-0.04513019,0.6487947,0.03878539,353.177,81.07414,0.01657988,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.3894051,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725104,0.8591224,-2.277599,0.7585762,-0.04519741,0.6488829,0.03834473,353.204,81.08873,359.9723,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.4895151,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725566,0.859138,-2.277684,0.7585233,-0.04531132,0.6489564,0.03801203,353.2189,81.10136,359.934,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.6006024,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725347,0.8590224,-2.277702,0.7584946,-0.04520359,0.6490064,0.03786028,353.2397,81.10817,359.9284,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.7111182,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725157,0.8589409,-2.277685,0.7583047,-0.04511763,0.6492389,0.03777823,353.2533,81.14278,359.9256,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.8156843,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725199,0.8590353,-2.277622,0.758357,-0.04518757,0.6491787,0.03768024,353.2545,81.13441,359.9123,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.9267114,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725256,0.859017,-2.277592,0.7583781,-0.04517425,0.6491584,0.03762199,353.26,81.13129,359.9084,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.037806,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725369,0.8590178,-2.27753,0.7581256,-0.04505313,0.6494637,0.0375872,353.2732,81.17655,359.9118,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.148898,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725211,0.8590181,-2.277619,0.7581246,-0.0450949,0.649462,0.03758682,353.2696,81.17667,359.9086,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.24899,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725458,0.8589877,-2.277599,0.7579646,-0.04514086,0.6496465,0.03756961,353.2669,81.20509,359.902,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.359832,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725658,0.859156,-2.277687,0.7578689,-0.04529904,0.6497517,0.0374897,353.2591,81.22258,359.8822,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.460087,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725588,0.8589321,-2.277637,0.757806,-0.04531613,0.6498142,0.03765677,353.2451,81.23199,359.8949,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.571152,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725109,0.8587152,-2.27772,0.7576681,-0.04548094,0.6499573,0.03776328,353.2228,81.25504,359.8905,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.682043,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.725032,0.8586102,-2.277686,0.7575955,-0.04532568,0.6500592,0.03765274,353.2447,81.26926,359.8917,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.793031,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.724993,0.8587455,-2.277692,0.7574453,-0.04536391,0.6502389,0.03752747,353.2507,81.29705,359.8763,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
1.904267,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.720593,0.8584199,-2.274475,0.7666386,-0.05357369,0.6383104,0.04421737,352.0336,79.56456,359.9655,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
2.015136,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.724684,0.8596445,-2.274182,0.7506889,-0.03430038,0.6590871,0.02990122,354.7839,82.56558,359.9815,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
2.126129,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.728281,0.8598454,-2.27778,0.7360819,-0.03008447,0.6762199,0.0022574,357.2865,85.19659,357.8563,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
2.2373,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.731825,0.8665075,-2.278539,0.7094957,-0.05972921,0.7011297,-0.0382833,358.2194,89.44399,352.0594,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
2.349059,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.733129,0.8706419,-2.275487,0.6565859,-0.08515875,0.7469132,-0.06134988,358.8436,97.4863,348.0055,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
2.459382,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.726732,0.8768926,-2.272988,0.5906892,-0.1085718,0.7947768,-0.08734076,0.6055357,106.6744,343.9916,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
2.570837,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.707073,0.8820348,-2.25766,0.4751501,-0.1381508,0.8626764,-0.1045764,2.817022,121.8184,340.236,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
2.681661,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.701486,0.9008216,-2.232206,0.4166054,-0.1204382,0.8962853,-0.09277571,3.781781,129.5724,342.9123,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
