TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.026973,0.9123815,-2.344013,0.1063225,-0.002935773,0.9943042,-0.006798299,0.7388426,167.7903,359.5826,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.0745448,1.620677,0.8667961,-2.415817,0.1304265,-0.04384786,0.9854567,0.09970672,347.9977,165.2937,356.4591,1,0,-1.64,0,0,1,0,0,180,0,1.022478,0.9118015,-2.340756,0.105101,-0.003843711,0.9944186,-0.008418173,0.9130136,167.9292,359.4605,2.020312,0.8124842,-2.238458,0.07649081,-0.1040753,0.702087,0.7002795,272.2398,258.9141,266.4121,1.874783,0.8145759,-2.242873,0.1067417,-0.118358,0.6763294,0.7191496,273.5956,335.6588,186.0148
0.1822364,1.621614,0.8672356,-2.415501,0.1304009,-0.04380259,0.9854638,0.09968987,348.0004,165.2961,356.4637,1,0,-1.64,0,0,1,0,0,180,0,1.020492,0.9132221,-2.340404,0.1048168,-0.004931527,0.9944341,-0.009492006,1.022471,167.9601,359.3239,2.020263,0.8123187,-2.238333,0.07666647,-0.1039181,0.702081,0.7002896,272.213,258.9014,266.4234,1.874134,0.8145862,-2.24293,0.1063679,-0.1180646,0.6760344,0.7195305,273.6502,335.8124,185.9156
0.4410489,1.621984,0.8675861,-2.415273,0.1305524,-0.04394634,0.9854293,0.09976924,347.9886,165.2801,356.4501,1,0,-1.64,0,0,1,0,0,180,0,1.018688,0.9140499,-2.339639,0.104352,-0.005068949,0.9944804,-0.009681678,1.042759,168.0133,359.3065,2.020199,0.8121222,-2.23839,0.07658718,-0.1042935,0.7022443,0.7000787,272.252,258.181,267.1194,1.873988,0.8142684,-2.242975,0.1065027,-0.118205,0.6759218,0.7195933,273.6641,335.8521,185.8533
0.5479147,1.623355,0.8680467,-2.414908,0.1304677,-0.04367652,0.985465,0.09964545,348.0071,165.2867,356.4785,1.524915,0.8700293,-2.446463,-0.002221053,-0.08465323,0.9899603,0.1131703,347.074,181.385,350.068,1.020376,0.9150902,-2.341277,0.105404,-0.00267054,0.9943972,-0.007564712,0.8297684,167.8959,359.6043,2.020004,0.8124156,-2.238273,0.07673373,-0.1043243,0.7022332,0.7000693,272.2424,258.1586,267.1274,1.874064,0.8143348,-2.24286,0.1070135,-0.1180686,0.676,0.7194665,273.6346,336.5676,185.1071
0.6585451,1.622488,0.8675041,-2.415154,0.1303724,-0.043709,0.9854674,0.09973288,347.9969,165.2984,356.4748,1.520745,0.868596,-2.448041,-0.001239896,-0.08367432,0.9898917,0.1145056,346.9096,181.2717,350.1908,1.018679,0.914366,-2.339941,0.1050772,-0.00421462,0.9944164,-0.008780274,0.9498228,167.9313,359.4139,2.019761,0.8122786,-2.238345,0.07681229,-0.1043397,0.7021061,0.7001858,272.2361,258.6486,266.6297,1.87405,0.8144454,-2.243187,0.1072426,-0.1181689,0.6761007,0.7193212,273.6128,336.6366,185.0112
0.7588319,1.622821,0.867782,-2.414977,0.1306137,-0.04377154,0.9854073,0.09998302,347.9666,165.2709,356.4742,1.523912,0.8698568,-2.446675,-0.002294093,-0.08449115,0.9898947,0.1138616,346.9951,181.3986,350.0834,1.018015,0.9148995,-2.340033,0.1050853,-0.003578787,0.9944219,-0.008334218,0.9066464,167.9313,359.4918,2.019997,0.8123391,-2.238318,0.07703871,-0.10421,0.7021342,0.700152,272.2076,258.4629,266.8076,1.874066,0.8141114,-2.242782,0.1071915,-0.1181783,0.6761219,0.7193074,273.6113,336.5519,185.0993
0.8698178,1.623598,0.8682501,-2.414629,0.1304418,-0.04387175,0.9854221,0.1000177,347.9617,165.2923,356.4609,1.523538,0.8695911,-2.446833,-0.002788983,-0.08417539,0.9899228,0.1138404,347.002,181.4518,350.114,1.01989,0.9148041,-2.340546,0.1058667,-0.001151958,0.9943588,-0.006447221,0.7206736,167.8442,359.7905,2.020075,0.8124599,-2.23828,0.07696988,-0.1045682,0.7020599,0.7001808,272.2416,258.7283,266.5184,1.873852,0.8144171,-2.243046,0.106978,-0.1178451,0.6758404,0.7196582,273.6587,336.9193,184.7766
0.9811802,1.624236,0.8685594,-2.414356,0.1304282,-0.04391568,0.9854208,0.1000294,347.9598,165.2944,356.4559,1,0,-1.64,0,0,1,0,0,180,0,1.017844,0.9142241,-2.3397,0.1052465,-0.002212622,0.9944155,-0.007497082,0.8276485,167.9144,359.6574,2.019987,0.8126468,-2.238306,0.0767891,-0.1046563,0.7021171,0.70013,272.2639,258.5486,266.7056,1.873879,0.8142291,-2.242827,0.1070124,-0.1179666,0.6758021,0.7196692,273.6642,336.8207,184.8623
1.091974,1.624308,0.8686031,-2.414416,0.130508,-0.04399103,0.9854394,0.09970821,347.9951,165.2858,356.4435,1,0,-1.64,0,0,1,0,0,180,0,1.016575,0.9141797,-2.338136,0.1048336,-0.003160256,0.9944489,-0.008449816,0.9249784,167.9606,359.5383,2.020257,0.8126022,-2.238283,0.07700283,-0.1042066,0.702107,0.7001837,272.2097,258.5928,266.6808,1.873718,0.8142393,-2.24292,0.1067217,-0.1179453,0.6756591,0.7198501,273.6951,336.6037,185.1048
