TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,locRayDirection_x,locRayDirection_y,locRayDirection_z,ConvergenceDistance,foc_Objectpos_X,foc_Objectpos_Y,foc_Objectpos_Z
0,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3738515,1.038469,2.737899,0.2504831,-0.08356679,0.9435211,0.2001071,335.1986,151.0625,356.3717,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
0,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3738527,1.038446,2.737894,0.2504965,-0.08347705,0.9435182,0.2001414,335.1973,151.0583,356.3838,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.009941,1.760077,2.03573,-0.07431316,0.09697232,0.5609407,0.8187914,291.0927,12.09881,182.0546,None,False,False,-0.3738527,1.038446,2.737894,0.4392815,0.4194955,-0.7943899,0,0,1,0,0,0,0
0.02,1.75,1,-1.64,0,0,1,0,0,180,0,1.25,1,-1.64,0,0,1,0,0,180,0,-0.3749316,1.039079,2.737881,0.2505659,-0.08376317,0.9434378,0.2003139,335.169,151.0549,356.3569,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.01352,1.759193,2.041696,-0.07094686,0.09610713,0.5634149,0.8174923,290.8022,12.55312,181.2424,None,False,False,-0.3749316,1.039079,2.737881,0.4392288,0.4199437,-0.7941822,0,0,1,0,0,0,0
0.0442781,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3749785,1.039106,2.737868,0.2505164,-0.08371925,0.9434571,0.2003032,335.1717,151.0602,356.3604,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.017112,1.758133,2.047941,-0.06892062,0.09688488,0.5655202,0.816119,290.5415,13.21041,180.4758,None,False,False,-0.3749785,1.039106,2.737868,0.4391645,0.419901,-0.7942402,0,0,1,0,0,0,0
0.0604661,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3750392,1.039137,2.737859,0.2505531,-0.08375245,0.943462,0.2002205,335.18,151.0571,356.3549,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.020762,1.757297,2.053827,-0.07068677,0.09830386,0.5673947,0.8144956,290.2521,13.34922,180.5949,None,False,False,-0.3750392,1.039137,2.737859,0.4392367,0.4197697,-0.7942698,0,0,1,0,0,0,0
0.0765024,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3750979,1.039166,2.737792,0.2505741,-0.08369453,0.9434509,0.2002705,335.1759,151.0525,356.364,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.022719,1.756936,2.056741,-0.07232627,0.1002962,0.5684398,0.8133793,290.0786,13.63518,180.6063,None,False,False,-0.3750979,1.039166,2.737792,0.4392856,0.4198342,-0.7942086,0,0,1,0,0,0,0
0.0920612,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3751565,1.039203,2.73778,0.25048,-0.08366665,0.9434856,0.2002366,335.1809,151.0642,356.3636,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.024829,1.756748,2.059837,-0.07436993,0.1034578,0.56953,0.8120352,289.8904,14.17428,180.4947,None,False,False,-0.3751565,1.039203,2.73778,0.4391422,0.4197544,-0.7943301,0,0,1,0,0,0,0
0.1090042,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3752172,1.039216,2.737757,0.2505251,-0.08371102,0.9434744,0.2002144,335.182,151.0597,356.3589,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.028878,1.756385,2.066163,-0.07887377,0.1117895,0.5694339,0.8105721,289.8189,15.63919,180.0933,None,False,False,-0.3752172,1.039216,2.737757,0.4392077,0.4197377,-0.7943027,0,0,1,0,0,0,0
0.1474233,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.375104,1.039187,2.737754,0.2505005,-0.08370709,0.9434677,0.2002781,335.1749,151.0621,356.3607,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.034888,1.756723,2.075267,-0.08805303,0.1188618,0.5647507,0.8118961,290.2866,15.65352,181.442,None,False,False,-0.375104,1.039187,2.737754,0.4391489,0.4198492,-0.7942763,0,0,1,0,0,0,0
0.1631598,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3751669,1.039229,2.737733,0.2505556,-0.08373608,0.9434765,0.2001556,335.1878,151.057,356.355,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.039236,1.757123,2.080615,-0.09190493,0.1225265,0.5657381,0.8102353,290.0684,15.99644,181.719,None,False,False,-0.3751669,1.039229,2.737733,0.4392661,0.4196454,-0.7943193,0,0,1,0,0,0,0
0.1773578,1.5,0,-1.64,0,0,1,0,0,180,0,1.5,0,-1.64,0,0,1,0,0,180,0,-0.3751838,1.039263,2.737708,0.2505018,-0.08368165,0.9434694,0.2002793,335.1755,151.0614,356.3638,4.401724,3.216009,0.7026623,-0.5919972,-0.1911104,0.7600315,-0.1880648,30.80674,254.5823,355.4703,1.041456,1.757394,2.083577,-0.09300092,0.1239953,0.565862,0.8098001,290.0266,16.20506,181.7228,None,False,False,-0.3751838,1.039263,2.737708,0.4391621,0.4198396,-0.7942742,0,0,1,0,0,0,0
