Time: 20200803_2153
TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuatTimeStamp,FocusedObject,LeftBlink,RightBlink,RayOrigin_x,RayOrigin_y,RayOrigin_z,RayDirection_x,RayDirection_y,RayDirection_z,ConvergenceDistance
89.75555,0,0,0,1,0,0,0,0.5217749,0.8955114,0.8955114,0.6566714,0.1415573,0.7224061,0.1639318,0.3318788,1.30259,1.30259,0.991977,0.1232665,-0.0247338,0.0132398,None,False,False,0.3341216,1.298239,-2.276201,0.02830446,-0.1255189,0.9916742,0.408114
90.25555,0,0,0,1,0,0,0,0.5144378,0.9098161,0.9098161,0.6582721,0.1362961,0.7225474,0.1613276,0.3436783,1.299174,1.299174,0.993303,0.1155307,-0.0002243193,0.001329753,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
90.75555,0,0,0,1,0,0,0,0.5196491,0.9151824,0.9151824,0.6600104,0.1344116,0.7216105,0.1599941,0.3527392,1.300194,1.300194,0.992893,0.1138816,0.03420837,0.004935182,None,False,False,0.3547775,1.295968,-2.279667,0.02166339,-0.1139667,0.9932343,2.127778
91.25555,0,0,0,1,0,0,0,0.5224749,0.9195576,0.9195576,0.6614075,0.1330739,0.72041,0.160751,0.3503953,1.30148,1.30148,0.9938113,0.1090227,0.02117936,0.002130527,None,False,False,0.3517219,1.29606,-2.276894,-0.2362817,-0.09038719,0.9674568,1.136795
91.75555,0,0,0,1,0,0,0,0.5254577,0.9231935,0.9231935,0.6629022,0.1325279,0.7189994,0.1613594,0.325282,1.299131,1.299131,0.9902964,0.1006237,-0.09567969,0.005763342,None,False,False,0.3472973,1.296222,-2.271786,-0.3280357,-0.1074875,0.9385261,1.909253
92.25555,0,0,0,1,0,0,0,0.5288945,0.9271452,0.9271452,0.6633789,0.1339293,0.7179882,0.1627402,0.3176571,1.298584,1.298584,0.987606,0.09568943,-0.1233599,0.01613039,None,False,False,0.3159681,1.293518,-2.281261,-0.3258534,-0.1040414,0.9396605,2.207447
92.75555,0,0,0,1,0,0,0,0.5308745,0.9300526,0.9300526,0.6631188,0.1371151,0.717513,0.1632424,0.3209077,1.297828,1.297828,0.9897192,0.08642332,-0.1132114,0.01304703,None,False,False,0.347159,1.294798,-2.272853,-0.1382151,-0.09069244,0.9862279,0.3236168
93.25555,0,0,0,1,0,0,0,0.53106,0.9297234,0.9297234,0.6633295,0.1365269,0.7177221,0.1619547,0.3381886,1.302323,1.302323,0.9948282,0.1012541,-0.001314038,0.007915904,None,False,False,0.3499759,1.298295,-2.2753,0.07445921,-0.1273685,0.9890535,0.1
93.75555,0,0,0,1,0,0,0,0.5310149,0.9294187,0.9294187,0.6639832,0.1333915,0.7178494,0.1613238,0.3450899,1.301236,1.301236,0.9941686,0.1070881,0.01157315,0.005193181,None,False,False,0.3406724,1.296569,-2.275486,0.04718641,-0.1148557,0.9922482,1.325858
94.25555,0,0,0,1,0,0,0,0.5304534,0.9293287,0.9293287,0.6647048,0.1320044,0.7173661,0.1616427,0.3450278,1.301383,1.301383,0.9943275,0.1061284,0.003991522,0.005799151,None,False,False,0.3426579,1.296693,-2.274837,0.04538517,-0.1111969,0.992749,0.5539688
94.75555,0,0,0,1,0,0,0,0.5300771,0.9285543,0.9285543,0.6652266,0.1321709,0.7167966,0.1618859,0.3342866,1.304509,1.304509,0.9937319,0.0971269,-0.05279395,0.01661605,None,False,False,0.3674053,1.300691,-2.27234,-0.2960002,-0.1039911,0.9494969,1.124351
95.25555,0,0,0,1,0,0,0,0.5285337,0.9279276,0.9279276,0.6651655,0.1313366,0.7166288,0.1635506,0.3114272,1.302802,1.302802,0.9878875,0.09499684,-0.1218221,0.01460462,None,False,False,0.2973543,1.296271,-2.283211,-0.2994299,-0.1184728,0.9467313,1.964754
95.75555,0,0,0,1,0,0,0,0.5287548,0.9273998,0.9273998,0.6652021,0.1324047,0.7166976,0.1622334,0.3274058,1.300744,1.300744,0.9930766,0.1054008,-0.05132755,0.007421365,None,False,False,0.3506373,1.29731,-2.273181,-0.02050803,-0.1094473,0.993767,0.2693962
96.25555,0,0,0,1,0,0,0,0.5285172,0.9254797,0.9254797,0.6656656,0.1364856,0.7149815,0.1645065,0.3393991,1.33666,1.33666,0.9966447,-0.07836093,0.02324801,0.004291692,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
96.75555,0,0,0,1,0,0,0,0.5264827,0.9239644,0.9239644,0.6638027,0.1394576,0.715901,0.1655393,0.3264808,1.362126,1.362126,0.9756752,-0.2189541,0.005067701,0.009555639,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
97.25555,0,0,0,1,0,0,0,0.5150266,0.909129,0.909129,0.6624146,0.1354211,0.7184904,0.1632168,0.3316731,1.368259,1.368259,0.9657882,-0.2581942,0.02361477,-0.005595906,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
97.75555,0,0,0,1,0,0,0,0.5222149,0.9172456,0.9172456,0.6629282,0.1340493,0.7182087,0.1635033,0.3334316,1.359496,1.359496,0.9762808,-0.2148838,0.02634747,-0.002560652,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
98.25555,0,0,0,1,0,0,0,0.5217552,0.9169286,0.9169286,0.6630329,0.1331876,0.7181017,0.1642508,0.3298522,1.355439,1.355439,0.980013,-0.1982526,0.01606416,-0.00353657,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
98.75555,0,0,0,1,0,0,0,0.522254,0.917294,0.917294,0.6633248,0.1324376,0.7179574,0.16431,0.3335371,1.36484,1.36484,0.9689939,-0.2463353,-0.0006983676,-0.01921742,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive,inactive
