TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.27239,0.8678409,-2.463136,-0.040631,0.006775822,0.9987391,0.02869632,356.6824,184.6407,0.6429547,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.272418,0.8678665,-2.463131,-0.04071996,0.006711287,0.9987361,0.0286906,356.6833,184.6511,0.6352869,1.989905,0.8193281,-2.183512,0.2461331,-0.2836551,0.6657943,0.6447297,273.4871,218.679,277.2983,1.864048,0.8150365,-2.240403,0.1043421,-0.1126207,0.6800312,0.7169288,273.0645,338.5259,183.8178
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.272282,0.8677325,-2.463129,-0.04075268,0.006748903,0.9987356,0.0286514,356.6876,184.6547,0.6396718,1.989731,0.8192572,-2.183586,0.2462008,-0.2837028,0.6657413,0.6447375,273.4832,218.7317,277.2356,1.863994,0.8150871,-2.240351,0.1043798,-0.1126046,0.6798183,0.7171277,273.096,338.739,183.6029
0.0494439,1.616536,0.8647583,-2.414279,0.159112,0.004179004,0.9817487,0.1040936,348.2842,161.34,2.419167,1.781389,0.8342144,-2.565691,-0.1877541,-0.1556808,0.9444895,0.2201171,339.0632,206.9438,336.2113,1.27226,0.8677454,-2.463124,-0.04076171,0.006859158,0.9987341,0.0286661,356.6854,184.6554,0.6522138,1.989733,0.8193626,-2.18356,0.2461492,-0.2837113,0.6657629,0.6447312,273.4887,218.7402,277.2308,1.863648,0.8148916,-2.240522,0.1042431,-0.1126074,0.6799187,0.717052,273.0846,338.4824,183.8705
0.0780358,1.616014,0.864441,-2.414527,0.159151,0.004117169,0.9817454,0.1040679,348.286,161.3363,2.412036,1.781539,0.8342795,-2.565733,-0.1877572,-0.1556573,0.9444889,0.2201333,339.0609,206.9443,336.2133,1.272215,0.8677444,-2.46313,-0.04077927,0.00683052,0.998733,0.02868329,356.6835,184.6575,0.6487929,1.989808,0.8192781,-2.183587,0.2462246,-0.2837441,0.6658022,0.6446473,273.4907,218.5648,277.3967,1.863673,0.8149328,-2.240508,0.1042848,-0.1125978,0.679829,0.7171324,273.097,338.6121,183.7382
0.0934383,1.616052,0.8644476,-2.414515,0.1591277,0.00413571,0.9817482,0.1040757,348.2854,161.3388,2.414036,1.781273,0.8341659,-2.565697,-0.1877682,-0.1557282,0.9444682,0.2201629,339.0599,206.9482,336.2036,1.272245,0.8677671,-2.463139,-0.04079932,0.00685254,0.9987314,0.02870864,356.6805,184.6597,0.6511332,1.989642,0.8191683,-2.183604,0.2462002,-0.2837371,0.6657565,0.6447069,273.4877,218.6997,277.2646,1.863628,0.814858,-2.240585,0.1041643,-0.112616,0.6799353,0.7170464,273.0843,338.3497,184.009
0.1067243,1.616359,0.8645163,-2.41444,0.1591063,0.004203807,0.9817567,0.1040248,348.2924,161.3408,2.420601,1.781661,0.834396,-2.565751,-0.1878037,-0.1556708,0.9444835,0.2201077,339.0652,206.9492,336.2118,1.27226,0.8677497,-2.463073,-0.04077388,0.006785203,0.9987339,0.02867111,356.6852,184.657,0.6436719,1.98972,0.819117,-2.18365,0.2462158,-0.2836995,0.6657803,0.644693,273.4854,218.6221,277.3441,1.863576,0.814826,-2.240594,0.1041589,-0.1126603,0.6799908,0.7169876,273.0763,338.2366,184.1189
0.1277826,1.615878,0.8643687,-2.414567,0.1592115,0.0041104,0.98174,0.1040259,348.2908,161.3295,2.411167,1.781316,0.8343073,-2.565693,-0.1878206,-0.1557625,0.9444568,0.2201427,339.0643,206.9544,336.1992,1.27232,0.8678218,-2.46311,-0.04071505,0.006725289,0.9987382,0.02862131,356.6912,184.6505,0.6372287,1.98966,0.8191886,-2.1836,0.2461526,-0.2836217,0.6657188,0.6448148,273.4772,218.8321,277.1465,1.863711,0.8149034,-2.240412,0.104341,-0.1126177,0.679863,0.7170889,273.0904,338.6371,183.7069
0.1504596,1.616043,0.8644404,-2.414463,0.1591872,0.004130829,0.9817383,0.1040788,348.2852,161.3318,2.414256,1.781358,0.8341922,-2.565669,-0.1877557,-0.1557542,0.9444749,0.2201266,339.0643,206.9459,336.2021,1.272378,0.8678609,-2.463146,-0.04079149,0.006735883,0.9987324,0.02871114,356.6808,184.6592,0.6377738,1.989645,0.8192238,-2.183605,0.2461627,-0.2836848,0.6657357,0.6447657,273.4834,218.7866,277.1855,1.863695,0.8150629,-2.240399,0.1043031,-0.1126368,0.6797976,0.7171535,273.1016,338.5966,183.7489
0.172071,1.616113,0.8644469,-2.414407,0.1591879,0.004063718,0.9817428,0.1040376,348.2886,161.3327,2.40575,1.781413,0.834267,-2.565631,-0.1877671,-0.155743,0.9444648,0.2201679,339.0597,206.9485,336.2016,1.272349,0.867856,-2.463081,-0.04068353,0.006756774,0.9987418,0.02853215,356.7012,184.6468,0.6413544,1.989521,0.8190869,-2.183577,0.2462721,-0.2836679,0.6657721,0.6446938,273.4786,218.5741,277.3901,1.863583,0.8149121,-2.240404,0.104317,-0.1125512,0.679796,0.7171663,273.1011,338.7497,183.6017
