TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.356158,0.8291349,-2.503756,0.1964987,-0.005773842,0.9798958,0.03404769,356.0437,157.3176,0.1186058,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.355951,0.8288816,-2.50391,0.1962802,-0.006097598,0.9799439,0.03386512,356.0569,157.3447,0.07715959,1.721666,0.7827092,-2.297,0.0442184,-0.07361116,0.7021682,0.7068139,272.4113,274.2013,256.238,1.629009,0.7792676,-2.302048,-0.1142242,0.1171984,0.6738204,0.7205438,273.7943,13.06568,185.7813
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,1.355675,0.8288993,-2.503914,0.1960511,-0.006776292,0.9799947,0.03359225,356.0723,157.3745,359.9937,1.72224,0.7832249,-2.296699,0.04426388,-0.07346039,0.702141,0.7068538,272.3963,274.3934,256.0545,1.629114,0.7793373,-2.302015,-0.1143603,0.117027,0.6740445,0.7203404,273.7581,12.71865,186.1252
0.0489848,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355463,0.8285097,-2.504092,0.1958985,-0.007371596,0.9800349,0.03318285,356.1049,157.3952,359.9168,1.722524,0.7834472,-2.296649,0.0442513,-0.07353427,0.7021855,0.7068028,272.4022,274.182,256.2608,1.628711,0.7797794,-2.302038,-0.1143323,0.1173946,0.673952,0.7203716,273.7701,13.21023,185.6616
0.0634544,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355122,0.8285949,-2.504235,0.1961035,-0.007223555,0.9799908,0.0333046,356.0946,157.3704,359.9371,1.722558,0.7834984,-2.296629,0.04425757,-0.07350212,0.7022366,0.7067549,272.3979,274.0053,256.4396,1.628699,0.7798221,-2.302047,-0.1143489,0.1173671,0.6739671,0.7203594,273.7677,13.15785,185.7131
0.0779182,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354774,0.8289526,-2.504598,0.1962427,-0.006916957,0.9799559,0.03357847,356.0707,157.3526,359.9783,1.722718,0.7834528,-2.296718,0.04424019,-0.07340425,0.7022989,0.7067042,272.3901,273.8169,256.6375,1.62895,0.7795494,-2.302188,-0.114314,0.1171421,0.6738562,0.7205053,273.7875,12.89408,185.9556
0.1002286,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354896,0.8286114,-2.504356,0.1960459,-0.007397203,0.9800064,0.03314807,356.1083,157.378,359.9138,1.722726,0.7832942,-2.296646,0.04424883,-0.07340473,0.7023325,0.7066703,272.3886,273.6891,256.7645,1.629214,0.7790383,-2.302025,-0.1145343,0.1173741,0.6737787,0.7205051,273.7938,12.92127,185.9656
0.1225975,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354629,0.8288189,-2.504585,0.1962006,-0.007094772,0.9799718,0.03332195,356.0955,157.3586,359.9523,1.722741,0.7832803,-2.296668,0.04419084,-0.07343194,0.7023911,0.7066128,272.3941,273.4432,257.0129,1.629011,0.7792746,-2.301793,-0.1144878,0.1174561,0.6737435,0.7205319,273.7996,13.07503,185.8148
0.1447203,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354677,0.8290974,-2.504654,0.196459,-0.006741019,0.9799062,0.03379862,356.0499,157.3263,0.003960191,1.722759,0.7833719,-2.296645,0.04412594,-0.07343484,0.7024521,0.7065559,272.3982,273.2012,257.2599,1.62881,0.7798176,-2.302029,-0.1143319,0.117684,0.6738433,0.7204263,273.785,13.56363,185.332
0.1560799,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355166,0.8288689,-2.50422,0.1962241,-0.006908898,0.9799595,0.03358356,356.0703,157.3548,359.9792,1.7227,0.7833484,-2.296645,0.04408617,-0.07343581,0.7025098,0.7065009,272.4002,272.9759,257.4883,1.628889,0.7797061,-2.302072,-0.1143046,0.1176635,0.6736793,0.7205873,273.8112,13.54173,185.3502
0.1672625,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355055,0.8290299,-2.504385,0.1963996,-0.006688484,0.9799172,0.03383627,356.0468,157.333,0.01048351,1.722723,0.7833873,-2.29664,0.04413451,-0.07347169,0.7025276,0.7064764,272.3987,272.8947,257.5627,1.628889,0.7797228,-2.302074,-0.1142913,0.1176515,0.6736961,0.7205756,273.809,13.54466,185.3451
0.1891838,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355328,0.8285242,-2.503956,0.1962198,-0.007115481,0.9799616,0.03350292,356.0747,157.3561,359.9542,1.722654,0.7833856,-2.296604,0.04399909,-0.07332867,0.7025858,0.706442,272.3971,272.7303,257.7498,1.629053,0.7797967,-2.302263,-0.113966,0.1174323,0.6737309,0.7206303,273.8112,13.64952,185.1955
0.2114428,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.35531,0.8284199,-2.503963,0.196086,-0.007550711,0.9799966,0.03316785,356.1026,157.3739,359.8971,1.722651,0.7833112,-2.296598,0.04400764,-0.07333574,0.7026048,0.7064219,272.3965,272.6548,257.824,1.628909,0.7797107,-2.302113,-0.1141423,0.1176877,0.6736784,0.7206099,273.8142,13.7604,185.1201
0.2336888,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354955,0.8284072,-2.50429,0.1959541,-0.007874358,0.9800278,0.03294733,356.1201,157.3908,359.8552,1.722595,0.7832514,-2.296653,0.04398178,-0.07336444,0.7026612,0.7063643,272.3998,272.4226,258.056,1.629134,0.7793726,-2.302229,-0.1139546,0.1175737,0.6736264,0.7207068,273.8268,13.82359,185.0322
0.2559983,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354865,0.8287159,-2.504524,0.1961739,-0.007504334,0.9799787,0.03318452,356.1018,157.3634,359.903,1.722522,0.7832726,-2.296674,0.04392413,-0.07330289,0.7027185,0.7063173,272.3984,272.2279,258.2603,1.62874,0.7796507,-2.301939,-0.1139482,0.1177023,0.6735933,0.7207178,273.8312,13.98771,184.8782
0.2780883,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354653,0.8285828,-2.504504,0.1959714,-0.007759554,0.9800208,0.03307864,356.1079,157.3882,359.8711,1.722496,0.7832096,-2.296681,0.04390519,-0.07332379,0.7027201,0.7063147,272.4016,272.2104,258.2777,1.628752,0.7796306,-2.302066,-0.1138996,0.1176807,0.6737528,0.7205799,273.8073,14.04641,184.8136
0.3001109,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354855,0.8288187,-2.504398,0.1959858,-0.007483201,0.9800111,0.03334488,356.0842,157.3851,359.9083,1.722491,0.7831915,-2.29665,0.04388551,-0.07336684,0.7027593,0.7062725,272.4058,272.0388,258.4474,1.628994,0.7794746,-2.30215,-0.1138477,0.1179111,0.6736402,0.7206557,273.8245,14.37701,184.4977
0.3115008,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.355007,0.8288672,-2.504304,0.1959957,-0.007438954,0.9800113,0.03329075,356.0913,157.3839,359.9121,1.722655,0.7832004,-2.296716,0.04394372,-0.07339374,0.702809,0.7062166,272.4023,271.8398,258.6394,1.628914,0.7793951,-2.302006,-0.1138913,0.11753,0.6736526,0.7206994,273.8242,13.8461,185.0009
0.3333673,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.35493,0.828593,-2.50428,0.195905,-0.007729016,0.9800315,0.03316347,356.0991,157.3957,359.8762,1.72268,0.7833199,-2.296662,0.04389131,-0.07339425,0.7028035,0.7062253,272.4066,271.8575,258.6259,1.628557,0.7795206,-2.301731,-0.1141966,0.1176916,0.6736156,0.7206593,273.8231,13.69147,185.1939
0.344652,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354988,0.8285229,-2.504161,0.1958027,-0.007893333,0.9800484,0.03322886,356.0881,157.4082,359.8588,1.722714,0.7832541,-2.296715,0.04384413,-0.07350053,0.7027922,0.7062284,272.4193,271.8486,258.6301,1.62875,0.7794937,-2.302092,-0.1140834,0.1178096,0.6735744,0.7206964,273.8308,13.96416,184.9217
0.3667363,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354724,0.8284584,-2.504325,0.195676,-0.008129395,0.9800761,0.03310086,356.0972,157.4241,359.8288,1.722565,0.7833848,-2.296669,0.0437746,-0.07344282,0.7027494,0.7062812,272.4211,272.0333,258.4557,1.628716,0.7794619,-2.301882,-0.1142211,0.1179419,0.6736492,0.7205831,273.8156,13.98678,184.9211
0.389013,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354509,0.8283165,-2.50439,0.1954866,-0.008299361,0.9801177,0.03294695,356.1107,157.4471,359.8055,1.722565,0.7833185,-2.296607,0.04378991,-0.07339309,0.70282,0.7062153,272.4145,271.7887,258.7031,1.628914,0.7794793,-2.302173,-0.1141993,0.1177718,0.6737331,0.720536,273.804,13.81107,185.081
0.4113408,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,1.354051,0.8290752,-2.50492,0.1959441,-0.007594013,0.9800141,0.03347522,356.0671,157.3902,359.8986,1.722584,0.7831989,-2.296672,0.04377008,-0.07346641,0.7029032,0.706126,272.4205,271.4376,259.0499,1.628999,0.7794205,-2.302231,-0.1141442,0.1174767,0.673654,0.7206668,273.8196,13.48632,185.3771
