TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat
0,-0.25,1,-2.4,1,0,0,0,0.25,1,-2.4,1,0,0,0,0.3523641,1.379647,-2.341251,0.9454961,-0.3031187,0.1174801,-0.01882846
0.3533334,0,0,-2.4,1,0,0,0,0.07450187,1.290511,-2.331549,-0.216971,0.7840328,0.5812463,0.01920529,0.3523716,1.379653,-2.34125,0.9454826,-0.3031041,0.1176676,-0.01857357
0.8673273,0,0,-2.4,1,0,0,0,0.05993056,1.286499,-2.334088,-0.2108984,0.7728985,0.5980864,0.02103712,0.3439926,1.323578,-2.285385,0.9971005,0.01906863,0.07015913,-0.02246692
1.378131,0,0,-2.4,1,0,0,0,0.1379098,1.374009,-2.116654,0.7046971,-0.6547284,-0.2503056,-0.1099088,0.3226688,1.307591,-2.304375,0.9897686,0.1420853,0.009648703,-0.008767904
1.883488,0,0,-2.4,1,0,0,0,0.2432408,1.316136,-1.979162,0.7225983,-0.5241842,-0.1112956,-0.4366876,0.2930478,1.326412,-2.290572,0.9959009,-0.01020305,-0.08004642,0.04086544
2.393775,0,0,-2.4,1,0,0,0,0.1861449,1.324066,-1.966556,0.7571742,-0.5023385,-0.1514014,-0.3891285,0.3202172,1.374406,-2.310558,0.9548272,-0.2947415,0.008884511,-0.03679109
2.904793,0,0,-2.4,1,0,0,0,0.05687749,1.360313,-2.064809,0.6969669,-0.5917549,-0.3552471,-0.1945837,0.3083441,1.374788,-2.313368,0.9641373,-0.2636825,-0.02127515,-0.02140656
3.41552,0,0,-2.4,1,0,0,0,0.07333994,1.370924,-2.125836,0.6426034,-0.6649247,-0.3438138,-0.1634874,0.3103591,1.381615,-2.323586,0.9530435,-0.2998638,-0.03312042,-0.02632483
3.926508,0,0,-2.4,1,0,0,0,0.05054319,1.366774,-2.155555,0.6093301,-0.6765513,-0.3912143,-0.1339648,0.3126602,1.381395,-2.325764,0.9507236,-0.3077897,-0.01950432,-0.03177451
4.429652,0,0,-2.4,1,0,0,0,0.05790401,1.365286,-2.175241,0.5747724,-0.6966891,-0.408778,-0.1310022,0.3319998,1.381568,-2.329434,0.9491271,-0.3111297,0.03675026,-0.03170997
